FName,LName,City,State,HS,Age,Body,Height,Weight,Team,Class,#,RedShirted,Scholarship,Position,Inside,PInside,Jumpshot,PJumpshot,Ft,PFt,3p,P3p,3pUsage,Handling,PHandling,Passing,PPassing,ORb,PORb,DRb,PDRb,PostD,PPostD,PerD,PPerD,Stealing,PStealing,Blocking,PBlocking,Fouling,Quickness,Jumping,Strength,Stamina,Intelligence,OverallPot,Games,Minutes,FGM,FGA,FTM,FTA,3PM,3PA,OReb,DReb,Ast,Stl,Blk,TO,PF,Prestige
Tobias,Cameron,Logo Vista,TX,Lago Vista High School,21,3,77,210,Abilene Christian Wildcats,1,11,-1,-1,5,40,40,23,68,14,48,60,60,74,50,72,26,37,5,17,17,18,13,31,39,41,35,35,5,19,53,39,51,34,93,46,0,27,780,97,226,57,134,71,85,7,51,38,43,3,40,58,1
Chase,Cobb,New Orleans,LA,Lawless High School,21,5,73,190,Abilene Christian Wildcats,3,22,0,-1,5,29,29,26,26,15,56,60,60,64,51,56,20,20,28,28,47,47,23,23,19,35,19,20,3,19,34,46,50,50,92,38,0,27,768,92,202,48,109,36,46,36,128,23,14,2,33,73,1
Damien,Daniels,Pittsfield,IL,Pittsfield High School,21,2,67,140,Abilene Christian Wildcats,1,4,-1,-1,5,24,27,14,23,6,66,57,70,69,51,51,47,47,4,18,16,16,12,17,26,38,25,45,0,67,49,16,32,36,81,49,0,27,682,25,86,12,34,23,29,5,43,91,21,0,44,54,1
Hayden,Farquhar,Hart,MI,Hart High School,21,4,79,215,Abilene Christian Wildcats,4,15,0,-1,3,31,34,24,27,64,64,30,38,38,30,38,5,5,40,54,10,10,22,29,13,13,24,28,4,4,39,61,48,66,75,41,0,27,655,124,278,55,140,50,65,9,23,43,24,3,64,71,1
Jaylen,Franklin,Rifle,CO,Rifle High School,20,4,74,205,Abilene Christian Wildcats,4,13,0,0,5,42,42,21,21,4,45,60,60,65,40,40,38,38,24,24,34,34,22,22,32,39,30,30,5,48,36,38,43,48,71,38,0,27,651,97,242,28,82,50,59,29,85,56,27,3,60,61,1
Jalone,Friday,Paris,TX,Paris High School,22,2,81,235,Abilene Christian Wildcats,3,21,-1,-1,1,28,28,38,38,0,8,38,38,55,43,43,14,26,36,36,30,38,21,29,9,22,18,98,31,31,8,43,41,43,45,23,0,27,374,45,91,0,0,17,34,26,39,10,4,12,27,65,1
Clay,Gayman,Aransas Pass,TX,Aransas Pass High School,23,4,78,220,Abilene Christian Wildcats,1,42,-1,-1,3,26,26,34,34,0,67,23,23,49,50,50,13,13,35,35,24,43,15,50,5,21,16,16,8,26,8,37,36,40,51,26,0,26,334,24,54,0,0,9,26,22,24,7,1,1,10,53,1
Paul,Hiepler,Loretto,TN,Loretto High School,20,4,76,170,Abilene Christian Wildcats,2,33,-1,0,5,29,45,29,29,0,30,32,32,40,40,40,23,53,37,37,40,40,28,28,16,37,23,56,31,31,22,44,44,50,54,29,0,20,269,36,84,0,2,11,17,21,44,20,6,9,26,37,1
Kolton,Kohl,Burton,MI,Bendle Senior High School,18,4,84,240,Abilene Christian Wildcats,2,34,0,-1,1,28,35,37,37,0,46,50,50,94,43,77,11,15,30,30,28,45,21,45,28,28,36,47,18,95,12,32,33,46,31,24,0,25,216,15,44,0,1,24,37,13,21,4,17,1,15,34,1
Trey,Lenox,Joshua,TX,Joshua High School,22,4,75,220,Abilene Christian Wildcats,3,14,0,-1,5,34,34,16,29,0,57,28,28,38,46,46,14,28,22,22,26,28,23,23,15,15,23,37,21,43,31,32,38,46,33,34,0,24,199,21,63,3,15,9,15,2,13,10,6,1,11,27,1
Jaren,Lewis,Boonville,NY,Adirondack High School,21,5,78,215,Abilene Christian Wildcats,4,1,0,-1,3,34,34,10,43,4,56,19,19,26,47,52,24,25,28,28,31,76,24,29,23,23,27,40,19,32,55,29,39,50,46,46,0,17,195,11,32,6,18,5,5,7,17,30,9,0,15,15,1
B.J.,Maxwell,Edinburg,TX,Edinburg North High School,19,4,77,190,Abilene Christian Wildcats,3,13,0,-1,5,34,34,16,41,0,46,29,29,60,49,49,15,15,32,49,29,36,22,26,11,37,22,57,19,28,26,32,37,49,28,33,0,25,176,18,42,4,9,14,24,12,18,11,4,0,8,27,1
Joe,Pleasant,Denver,CO,John F. Kennedy High School,21,1,80,220,Abilene Christian Wildcats,1,32,0,-1,3,37,39,48,48,16,51,85,85,66,54,54,32,64,37,37,47,47,34,43,35,35,34,52,17,26,69,52,57,49,89,56,0,27,813,101,193,41,99,34,49,36,95,45,19,8,29,46,4
Payten,Ricks,Delta,CO,Delta High School,22,2,74,190,Abilene Christian Wildcats,3,5,0,-1,5,37,37,48,55,17,45,85,85,77,56,56,41,42,9,45,27,55,20,20,51,51,45,61,0,28,61,39,39,40,100,55,0,27,720,67,153,20,48,48,67,9,53,58,29,0,27,47,4
LeSean,Brown,Andrew,IA,Andrew High School,20,1,74,185,Air Force Falcons,3,13,0,-1,5,53,53,45,62,14,45,85,85,68,44,76,41,54,8,20,28,61,27,48,30,30,29,44,11,40,83,46,60,45,84,59,0,21,601,97,205,40,100,41,59,7,46,49,11,4,45,25,4
Zach,Couper,Palisade,CO,Palisade High School,19,3,76,205,Air Force Falcons,1,2,0,-1,5,36,49,37,37,0,6,72,72,57,48,48,27,27,45,45,47,47,37,37,33,44,36,36,22,22,43,49,55,53,80,42,0,26,584,73,169,11,59,26,39,33,68,33,14,7,32,53,4
Ameka,Akaya,Covington,IN,Covington High School,19,5,78,215,Air Force Falcons,2,11,-1,0,3,52,52,43,43,29,41,54,54,45,49,49,34,34,27,27,32,32,28,28,23,23,33,100,15,35,36,40,60,48,76,41,0,26,555,73,140,49,97,16,30,15,39,48,12,2,31,54,4
Bryce,Hughes,Maplewood,MO,Maplewood High School,19,2,76,195,Air Force Falcons,2,25,0,-1,5,13,17,21,34,42,55,38,44,38,37,49,11,16,3,4,8,10,18,22,47,60,14,22,37,49,67,47,80,49,53,40,0,25,504,68,148,27,69,22,28,11,38,50,20,3,28,27,4
Christopher,Joyce,Luneburg,Germany,,18,5,77,185,Air Force Falcons,2,5,0,-1,5,35,35,68,68,17,41,85,85,84,45,45,35,35,37,99,54,54,35,44,34,34,44,44,22,50,11,47,46,59,69,29,0,21,490,55,100,5,12,33,54,22,69,45,19,6,40,66,4
Abe,Kinrade,Ellicott,CO,Ellicott High School,19,3,79,190,Air Force Falcons,1,15,0,-1,3,37,37,50,50,0,59,85,85,78,44,44,32,33,58,58,51,51,48,48,52,52,52,52,42,42,43,48,52,60,83,41,0,11,310,38,78,2,15,26,35,25,41,30,17,9,25,29,4
Pervis,Louder,Pleasant Grove,AL,Pleasant Grove High School,22,2,76,187,Air Force Falcons,4,22,0,-1,5,42,55,40,40,0,43,48,48,44,48,48,21,56,29,29,31,74,33,44,27,27,41,41,54,54,18,61,60,39,50,31,0,26,228,28,57,5,9,11,14,14,24,11,7,15,24,48,4
Isaac,Monson,Windsor,CO,Windsor High School,20,2,81,205,Air Force Falcons,1,20,-1,-1,3,35,52,16,51,0,40,36,36,41,51,51,19,24,36,79,35,54,33,53,21,21,30,38,25,32,40,45,57,47,35,40,0,25,212,13,38,6,24,7,12,12,20,10,2,3,7,22,4
Caleb,Morris,Lakewood,CO,Lakewood High School,22,3,76,185,Air Force Falcons,3,0,-1,-1,5,36,50,22,22,0,38,44,44,57,48,48,27,27,35,65,42,47,30,71,34,34,45,45,23,35,29,45,49,52,35,36,0,15,177,9,24,1,6,8,12,8,20,26,9,2,12,32,4
Charles,O'Briant,Fruitport,MI,Fruitport High School,21,2,80,210,Air Force Falcons,2,24,0,0,3,50,50,32,32,0,38,34,34,79,46,46,20,31,30,70,39,39,39,39,28,38,40,40,43,48,38,36,43,55,28,38,0,18,125,10,18,1,3,8,17,1,10,11,5,3,9,15,4
