 351,Field 2,Field 3,Field 4,Field 5,Field 6,Field 7,Field 8,Field 9,Field 10,Field 11,Field 12,Field 13,Field 14,Field 15
ID,Name,Mascot,Prestige,Abbr,Logo,City,State,Conference,Division,TeamColor,TravelPart,Lat,Long,Academics
1,Abilene Christian,Wildcats,7,ACU  ,abilenechristian,Abilene,TX,27,1,#523295,0,32.47,-99.71,1
2,Air Force,Falcons,41,AF   ,airforce,Colorado Springs,CO,20,1,#1062A9,0,38.86,-104.79,1
3,Akron,Zips,63,AKRON,akron,Akron,OH,17,1,#0A1E5B,0,41.07,-81.52,1
4,Alabama,Crimson Tide,74,BAMA ,alabama,Tuscaloosa,AL,25,1,#A42D47,0,33.21,-87.53,1
5,Alabama A&M,Bulldogs,13,AAMU ,alabamaam,Huntsville,AL,28,1,#790000,6,34.71,-86.6,1
6,Alabama State,Hornets,23,AL ST,alabamastate,Montgomery,AL,28,1,#EE9D11,5,32.36,-86.28,1
7,Albany,Great Danes,51,ALB  ,albany,Albany,NY,1,1,#331165,0,42.66,-73.78,1
8,Alcorn State,Braves,10,ALC  ,alcornstate,Lorman,MS,28,1,#4D3069,270,31.82,-91.19,1
9,American,Eagles,46,AMER ,american,Washington,DC,24,1,#353C91,0,38.91,-77.01,1
10,Appalachian State,Mountaineers,25,APP  ,appalachianstate,Boone,NC,30,1,#FCD116,0,36.21,-81.67,1
11,Arizona,Wildcats,93,ARIZ ,arizona,Tucson,AZ,23,1,#102142,12,32.21,-110.92,1
12,Arizona State,Sun Devils,72,AZ ST,arizonastate,Tempe,AZ,23,1,#8E0C3A,11,33.39,-111.93,1
13,Arkansas,Razorbacks,77,ARK  ,arkansas,Fayetteville,AR,25,1,#9C1831,0,36.08,-94.16,1
14,Arkansas Little Rock,Trojans,36,UALR ,arkansaslittlerock,Little Rock,AR,30,1,#993333,0,34.74,-92.33,1
15,Arkansas Pine Bluff,Golden Lions,16,UAPB ,arkansaspinebluff,Pine Bluff,AR,28,1,#FFBD24,175,34.22,-92.02,1
16,Arkansas State,Red Wolves,35,ARKST,arkansasstate,Jonesboro,AR,30,1,#E81018,0,35.83,-90.69,1
17,Army,Black Knights,32,ARMY ,army,West Point,NY,24,1,#CE9C00,0,41.37,-74.04,1
18,Auburn,Tigers,52,AUB  ,auburn,Auburn,AL,25,1,#002649,0,32.6,-85.48,1
19,Austin Peay,Governors,22,PEAY ,austinpeay,Clarksville,TN,22,2,#C41E3A,0,36.56,-87.36,1
20,Ball State,Cardinals,26,BALL ,ballstate,Muncie,IN,17,2,#DE0000,0,40.19,-85.39,1
21,Baylor,Bears,87,BAY  ,baylor,Waco,TX,6,1,#004833,0,31.55,-97.16,1
22,Belmont,Bruins,64,BEL  ,belmont,Nashville,TN,22,1,#182142,0,36.15,-86.76,1
23,Bethune Cookman,Wildcats,15,BCC  ,bethunecookman,Daytona Beach,FL,18,1,#7B1831,0,29.21,-81.04,1
24,Binghamton,Bearcats,12,BING ,binghamton,Binghamton,NY,1,1,#00614A,0,42.1,-75.91,1
25,Boise State,Broncos,74,BOISE,boisestate,Boise,ID,20,1,#29299C,0,43.61,-116.24,1
26,Boston College,Eagles,59,BC   ,bostoncollege,Newton,MA,4,1,#222222,0,42.34,-71.21,1
27,Boston University,Terriers,43,BU   ,bostonu,Boston,MA,24,1,#CC0000,0,42.32,-71.09,1
28,Bowling Green,Falcons,48,BGSU ,bowlinggreen,Bowling Green,OH,17,1,#F04C27,0,41.37,-83.65,1
29,Bradley,Braves,35,BRAD ,bradley,Peoria,IL,19,1,#B70002,0,40.72,-89.61,1
30,Brown,Bears,35,BROWN,brown,Providence,RI,15,1,#593D2B,350,41.82,-71.42,1
31,Bryant,Bulldogs,34,BRY  ,bryant,Smithfield,RI,21,1,#866A17,0,41.92,-71.55,1
32,Bucknell,Bison,51,BUCK ,bucknell,Lewisburg,PA,24,1,#000060,0,40.96,-76.89,1
33,Buffalo,Bulls,67,BUFF ,buffalo,Buffalo,NY,17,1,#004A84,0,42.9,-78.85,1
34,Butler,Bulldogs,79,BUT  ,butler,Indianapolis,IN,7,1,#004F87,0,39.79,-86.15,1
35,BYU,Cougars,80,BYU  ,brighamyoung,Provo,UT,31,1,#002942,251,40.24,-111.66,1
