FName,LName,City,State,HS,Age,Body,Height,Weight,Team,Class,#,RedShirted,Scholarship,Position,Inside,PInside,Jumpshot,PJumpshot,Ft,PFt,3p,P3p,3pUsage,Handling,PHandling,Passing,PPassing,ORb,PORb,DRb,PDRb,PostD,PPostD,PerD,PPerD,Stealing,PStealing,Blocking,PBlocking,Fouling,Quickness,Jumping,Strength,Stamina,Intelligence,OverallPot,Games,Minutes,FGM,FGA,FTM,FTA,3PM,3PA,OReb,DReb,Ast,Stl,Blk,TO,PF,Prestige
Cassius,WINSTON,Detroit,MI,University of Detroit Jesuit,21,3,73,185,Michigan State,4,5,0,-1,5,45,45,74,74,77,77,84,84,67,56,56,74,74,10,10,38,38,27,27,52,52,48,48,6,6,68,91,62,39,99,64,6,39,1308,243,528,163,194,84,211,13,104,291,40,4,114,75,5
Josh,LANGFORD,Huntsville,AL,Madison Academy,22,3,77,210,Michigan State,4,1,0,-1,4,47,47,73,73,77,77,85,85,71,41,41,30,30,24,24,45,45,32,32,49,49,48,48,10,10,52,70,61,49,84,43,5,13,372,70,158,26,31,29,72,9,38,30,11,1,31,31,0
Rocket,WATTS,Detroit,MI,SPIRE Academy,19,2,74,185,Michigan State,1,2,0,-1,5,60,60,41,41,64,64,34,34,46,57,57,25,25,14,14,41,41,27,27,61,61,54,54,6,6,65,71,50,41,90,54,6,8,180,17,62,12,16,6,29,2,20,19,8,0,13,13,0
Malik,HALL,Aurora,IL,Sunrise Christian Academy,18,3,79,215,Michigan State,1,25,0,-1,3,48,48,50,50,40,40,22,22,26,49,49,22,22,45,45,65,65,43,43,33,33,46,46,32,32,32,55,60,62,61,37,6,12,182,23,42,11,19,4,10,10,33,19,5,3,9,26,0
Aaron,HENRY,Indianapolis,IN,Ben Davis HS,20,3,78,210,Michigan State,2,11,0,-1,3,43,43,64,64,70,70,61,61,57,44,44,30,30,38,38,51,51,49,49,45,45,45,45,50,50,65,58,64,54,96,50,6,11,297,38,82,23,29,13,35,11,31,34,7,9,22,17,0
Xavier,TILLMAN,Grand Rapids,MI,Grand Rapids Christian HS,20,3,80,245,Michigan State,3,23,0,-1,2,67,67,57,57,48,48,29,29,27,43,43,31,31,71,71,94,94,68,68,40,40,49,49,61,61,42,46,59,82,97,40,6,12,362,59,109,31,49,6,21,30,88,33,13,15,30,33,0
Ashton,HAGANS,Carterville,GA,Newton HS,20,3,75,192,Kentucky,2,0,0,-1,5,58,58,64,64,79,79,32,32,32,51,51,55,55,15,15,46,46,30,30,72,72,68,68,7,7,61,79,62,44,100,56,6,11,350,47,98,52,61,7,25,5,38,79,23,1,36,24,0
Nick,RICHARDS,Kingston,Jamaica,St. Patrick HS,22,3,83,244,Kentucky,3,4,0,-1,2,74,74,61,61,60,60,0,0,0,46,46,12,12,65,65,71,71,64,64,21,21,35,35,76,76,36,43,59,71,92,35,5,11,314,53,78,23,32,0,0,23,53,5,4,25,17,32,0
Tyrese,MAXEY,Garland,TX,South Garland HS,19,3,75,198,Kentucky,1,3,0,-1,5,60,60,57,57,76,76,40,40,47,61,61,34,34,11,11,50,50,33,33,45,45,45,45,11,11,56,76,60,47,100,54,6,11,351,46,115,40,48,12,49,3,42,36,8,2,23,27,0
Kahlil,WHITNEY,Chicago,IL,Roselle Catholic HS,18,3,78,210,Kentucky,1,2,0,-1,3,45,45,39,39,25,25,28,28,29,42,42,12,12,49,49,43,43,39,39,43,43,46,46,26,26,51,55,59,51,68,40,6,11,187,22,53,9,19,4,13,12,15,6,5,2,14,18,0
Keion,BROOKS,Fort Wayne,IN,La Lumiere HS,19,3,79,205,Kentucky,1,12,0,-1,2,60,60,49,49,33,33,23,23,22,45,45,10,10,60,60,62,62,56,56,34,34,38,38,49,49,61,44,50,62,71,44,6,11,194,30,64,8,15,3,11,13,28,5,3,4,10,12,0
Johnny,JUZANG,Los Angeles,CA,Harvard-Westlake HS,18,2,78,214,Kentucky,1,10,0,-1,4,53,53,17,17,0,0,14,14,39,47,47,11,11,30,30,50,50,36,36,47,47,46,46,10,10,61,55,58,51,50,45,6,11,125,6,27,6,6,2,14,5,18,3,3,0,5,10,0
