 43 
ID,Name,Teams,Day1,Day2,Day3,Day4,Prestige,Host
1,Battle for Atlantis,8,34,35,36,0,3,0
2,Brooklyn Classic,8,33,36,37,0,2,0
3,Cancun Challenge,8,27,33,34,0,2,0
4,Charleston Classic,8,25,26,31,0,2,0
5,Chattanooga Regional,4,34,35,0,0,1,0
6,Coaches v. Cancer Classic,16,16,21,26,27,3,0
7,Corpus Christi Coastal Classic,8,31,36,37,0,2,0
8,Detroit Regional,4,32,34,0,0,1,0
9,Diamond Head Classic,8,72,73,75,0,3,0
10,Emerald Coast Classic,8,31,36,37,0,2,0
11,Fargo Regional,4,26,27,0,0,1,0
12,Great Alaska Shootout,8,34,36,37,0,2,0
13,Gulf Coast Showcase,8,32,33,34,0,1,0
14,Hall of Fame Classic,16,16,22,32,33,3,0
15,Hall of Fame Tip-Off,8,23,27,31,0,2,0
16,Las Vegas Classic,16,64,66,72,73,2,0
17,Las Vegas Holiday Classic,4,71,72,0,0,1,0
18,Las Vegas Invitational,8,32,35,36,0,2,0
19,Legends Classic,8,25,32,33,0,3,0
20,Little Rock Regional,4,27,31,0,0,1,0
21,Los Angeles Classic,4,16,17,0,0,1,0
22,Main Event,8,32,33,34,0,2,0
23,Maui Invitational,8,32,33,34,0,3,0
24,Meadowlands Regional,4,36,37,0,0,1,0
25,Michigan Showcase,4,26,31,0,0,1,0
26,Michigan Tournament,4,26,31,0,0,1,0
27,Military Classic,4,16,17,0,0,1,0
28,Music City Challenge,4,36,41,0,0,1,0
29,New Jersey Regional,4,26,31,0,0,1,0
30,New Orleans Classic,4,36,41,0,0,1,0
31,New York Classic,16,16,21,25,26,2,0
32,NIT Season Tip-Off,8,34,35,36,0,3,0
33,Ohio Classic,4,26,31,0,0,1,0
34,Orlando Classic,8,35,36,41,0,1,0
35,Paradise Jam,8,25,31,32,0,2,0
36,Puerto Rico Tip-Off,8,25,26,31,0,2,0
37,Rainbow Classic,4,17,22,0,0,1,0
38,South Carolina Showcase,4,35,37,0,0,1,0
39,Sun Bowl Classic,4,16,17,0,0,1,0
40,Toledo Regional,4,32,33,0,0,1,0
41,Utah Classic,4,65,67,0,0,1,0
42,Utah Tournament,4,34,37,0,0,1,0
43,Wooden Legacy,8,35,36,41,0,2,0
