City,Country,Lat,Long,Pop
Sydney,Australia,-33.861481,151.205475,4394585
Melbourne,Australia,-37.813938,144.963425,3730212
Brisbane,Australia,-27.47101,153.024292,1843459
Perth,Australia,-31.95224,115.861397,1446715
Adelaide,Australia,-34.928661,138.598633,1074168
Gold Coast,Australia,-28.00029,153.430878,501175
Newcastle,Australia,-32.927792,151.784485,497961
Canberra,Australia,-35.27603,149.13435,324025
Wollongong,Australia,-34.424,150.893448,260918
Hobart,Australia,-42.883209,147.331665,204863
Cairns,Australia,-16.92304,145.766251,154318
Geelong,Australia,-38.153461,144.358093,150438
Townsville,Australia,-19.26639,146.805695,138959
Albury,Australia,-36.07494,146.923935,104261
Darwin,Australia,-12.45722,130.836639,93081
Toowoomba,Australia,-27.56056,151.953857,92802
Ballarat,Australia,-37.56266,143.862579,85110
Bendigo,Australia,-36.758179,144.280243,81658
Mackay,Australia,-21.15345,149.165543,75924
Mandurah,Australia,-32.526901,115.721703,73369
Launceston,Australia,-41.438759,147.134674,72462
Rockhampton,Australia,-23.38032,150.505951,65851
Coffs Harbour,Australia,-30.296261,153.11351,62978
Wagga Wagga,Australia,-35.125771,147.353745,55382
Bundaberg,Australia,-24.866211,152.3479,52478
Port Macquarie,Australia,-31.43084,152.908936,48553
Mildura,Australia,-34.185509,142.162506,47867
Hervey Bay,Australia,-25.285,152.873,47561
Taree,Australia,-31.91099,152.453873,44183
Cranbourne,Australia,-38.113419,145.283264,39420
Caloundra,Australia,-26.797091,153.137711,38714
Tamworth,Australia,-31.090481,150.929047,38552
Melton,Australia,-37.683392,144.585434,32369
Queanbeyan,Australia,-35.354931,149.231995,32249
Wodonga,Australia,-36.121792,146.888092,31518
Lismore,Australia,-28.81328,153.275803,31433
Palmerston,Australia,-12.45722,130.836639,31075
Gladstone,Australia,-23.84761,151.256348,30493
Orange,Australia,-33.283089,149.100006,30402
Warrnambool,Australia,-38.38176,142.487991,29928
Sunbury,Australia,-37.577419,144.726074,29926
Dubbo,Australia,-32.24295,148.604843,29362
Geraldton,Australia,-28.778971,114.614594,27259
Bunbury,Australia,-33.32711,115.641373,26370
Alice Springs,Australia,-23.697479,133.883621,26188
Albany,Australia,-35.003101,117.865952,23913
Mount Gambier,Australia,-37.831799,140.77919,23210
Armidale,Australia,-30.50828,151.671234,22673
Mount Isa,Australia,-20.725229,139.497269,22564
Caboolture,Australia,-27.08465,152.951096,21478
Goulburn,Australia,-34.751549,149.720856,20941
Maryborough,Australia,-25.54073,152.704926,20680
Kwinana,Australia,-32.230129,115.781281,20087
Burnie,Australia,-41.05584,145.903748,19976
Kawana Waters,Australia,-26.705999,153.131577,19881
Craigieburn,Australia,-37.6,144.95,19728
Whyalla,Australia,-33.032681,137.564835,19646
Devonport,Australia,-41.176949,146.351517,19318
Roebourne,Australia,-20.772289,117.146477,19264
Traralgon,Australia,-38.195278,146.541504,18226
Nerang,Australia,-27.98941,153.336334,17684
Broken Hill,Australia,-31.961729,141.459976,17395
Grafton,Australia,-29.690121,152.933365,16399
Cessnock,Australia,-32.832111,151.356232,16394
Gawler,Australia,-34.602509,138.749023,16362
Deception Bay,Australia,-27.193541,153.026306,16090
Griffith,Australia,-34.288528,146.050934,15456
Buderim,Australia,-26.684429,153.057053,15228
Flinders,Australia,-32.79924,134.211594,15000
Nambour,Australia,-26.626129,152.959412,14919
Sawtell,Australia,-30.36459,153.10141,14608
Port Hedland,Australia,-20.312149,118.610588,14289
Ballina,Australia,-28.86414,153.565414,14248
Wangaratta,Australia,-36.358459,146.320557,14023
Singleton,Australia,-32.567421,151.166031,13813
Bongaree,Australia,-27.08367,153.159424,13649
Raymond Terrace,Australia,-32.75,151.75,13606
Broome,Australia,-17.955379,122.23922,13218
Sale,Australia,-38.11095,147.068024,12917
Horsham,Australia,-36.711311,142.199814,12830
Busselton,Australia,-33.652489,115.345497,12374
Warwick,Australia,-28.219009,152.034378,12347
Port Pirie,Australia,-33.191761,138.017456,12328
Port Augusta,Australia,-32.495972,137.772812,12133
Victoria Point,Australia,-27.58329,153.311722,11930
Karratha,Australia,-20.73649,116.84638,11694
Muswellbrook,Australia,-32.261181,150.890091,11630
Morwell,Australia,-38.23476,146.394989,11585
Murray Bridge,Australia,-35.119862,139.273453,11356
Port Lincoln,Australia,-34.72625,135.87442,11247
Parkes,Australia,-33.137199,148.175903,11137
Lithgow,Australia,-33.482471,150.136307,11129
Gympie,Australia,-26.189159,152.658188,11029
Bairnsdale,Australia,-37.822891,147.610413,11006
Kurri Kurri,Australia,-32.819328,151.47908,10991
Bowen,Australia,-20.01367,148.247543,10983
Yeppoon,Australia,-23.126829,150.744064,10769
Pakenham,Australia,-38.070179,145.474106,10602
Batemans Bay,Australia,-35.706581,150.175415,10557
Kiama,Australia,-34.668282,150.852188,10380
Morayfield,Australia,-27.108761,152.949066,10261
