Name,State,Latitude,Longitude,Population
Wien,Austria,48.22,16.37,1504100
Graz,Austria,47.08,15.42,216100
Linz,Austria,48.31,14.29,184800
Salzburg,Austria,47.81,13.04,145800
Innsbruck,Austria,47.28,11.41,116400
Klagenfurt,Austria,46.62,14.31,89700
Villach,Austria,46.62,13.85,57900
Wels,Austria,48.17,14.03,56600
Sankt polten,Austria,48.21,15.61,49600
Dornbirn,Austria,47.42,9.74,43100
Steyr,Austria,48.04,14.41,39300
Wiener neustadt,Austria,47.82,16.24,37800
Feldkirch,Austria,47.25,9.59,29100
Bregenz,Austria,47.51,9.73,27300
Klosterneuburg,Austria,48.31,16.31,25300
Wolfsberg,Austria,46.85,14.85,25200
Leoben,Austria,47.38,15.09,25200
Baden,Austria,48.01,16.24,24800
Krems,Austria,48.42,15.59,24100
Traun,Austria,48.23,14.24,23700
Amstetten,Austria,48.13,14.86,22500
Leonding,Austria,48.28,14.23,22400
Kapfenberg,Austria,47.45,15.29,21900
Modling,Austria,48.1,16.3,20800
Lustenau,Austria,47.44,9.66,19800
Hallein,Austria,47.68,13.11,18500
Traiskirchen,Austria,48.02,16.3,16300
Braunau,Austria,48.26,13.04,16300
Spittal,Austria,46.8,13.5,16000
Kufstein,Austria,47.62,12.19,15800
Schwechat,Austria,48.14,16.5,15500
Saalfelden,Austria,47.44,12.85,15400
Ternitz,Austria,47.72,16.03,15300
Ansfelden,Austria,48.22,14.3,14800
Stockerau,Austria,48.39,16.23,14600
Bad ischl,Austria,47.72,13.61,14100
Feldkirchen,Austria,46.73,14.08,14000
Hohenems,Austria,47.37,9.68,14000
Perchtoldsdorf,Austria,48.11,16.28,14000
Tulln,Austria,48.33,16.06,14000
Bludenz,Austria,47.16,9.82,13800
Telfs,Austria,47.3,11.07,13300
Bruck an der mur,Austria,47.42,15.27,13200
Gmunden,Austria,47.92,13.81,13200
Sankt veit,Austria,46.77,14.35,12700
Schwaz,Austria,47.34,11.73,12600
Knittelfeld,Austria,47.22,14.83,12400
Lienz,Austria,46.83,12.76,12100
Vocklabruck,Austria,48.01,13.66,11800
Hard,Austria,47.48,9.68,11700
Waidhofen,Austria,47.96,14.78,11700
Ried,Austria,48.21,13.48,11700
Hall,Austria,47.6,14.44,11500
Zwettl,Austria,48.61,15.17,11500
Volkermarkt,Austria,46.66,14.63,11400
Rankweil,Austria,47.28,9.65,11400
Marchtrenk,Austria,48.19,14.11,11300
Neunkirchen,Austria,47.72,16.08,11200
Eisenstadt,Austria,47.91,16.7,11200
Wals-siezenheim,Austria,47.79,12.97,11100
Korneuburg,Austria,48.35,16.35,11100
Worgl,Austria,47.49,12.08,11000
Bad voslau,Austria,47.97,16.22,11000
Sankt andra,Austria,46.76,14.81,10700
Enns,Austria,48.22,14.48,10700
Mistelbach,Austria,48.57,16.57,10600
Hollabrunn,Austria,48.56,16.09,10500
Koflach,Austria,47.06,15.07,10400
Sankt johann im pongau,Austria,47.35,13.21,10400
Gotzis,Austria,47.33,9.63,10300
Bischofshofen,Austria,47.42,13.21,10300
Voitsberg,Austria,47.04,15.15,10100
Judenburg,Austria,47.17,14.66,9900
Zell am see,Austria,47.32,12.78,9700
Altmunster,Austria,47.9,13.75,9500
Murzzuschlag,Austria,47.6,15.67,9400
Seekirchen,Austria,47.9,13.13,9400
Laakirchen,Austria,47.98,13.82,9300
Weiz,Austria,47.22,15.62,9000
Sankt valentin,Austria,48.17,14.51,9000
Imst,Austria,47.25,10.73,8900
Lauterach,Austria,47.48,9.73,8900
Berndorf,Austria,47.95,16.11,8800
Ebreichsdorf,Austria,47.95,16.4,8800
Kitzbuhel,Austria,47.45,12.38,8700
Sierning,Austria,48.04,14.3,8600
Guntramsdorf,Austria,48.07,16.33,8600
Gerasdorf,Austria,48.3,16.47,8600
Velden am worthersee,Austria,46.62,14.05,8500
Fohnsdorf,Austria,47.21,14.66,8500
Rum,Austria,47.29,11.46,8500
Wiener neudorf,Austria,48.08,16.33,8500
Trofaiach,Austria,47.42,14.99,8400
Ebensee,Austria,47.8,13.76,8400
Gross-enzersdorf,Austria,48.2,16.55,8400
Ganserndorf,Austria,48.34,16.75,8300
Finkenstein,Austria,46.58,13.86,8100
Sankt johann in tirol,Austria,46.64,14.47,8100
Maria enzersdorf,Austria,48.11,16.29,8100
Wolfurt,Austria,47.47,9.75,8000
Purkersdorf,Austria,48.22,16.18,8000
Deutschlandsberg,Austria,46.82,15.21,7900
Herzogenburg,Austria,48.27,15.68,7800
Engerwitzdorf,Austria,48.35,14.45,7800
Zeltweg,Austria,47.19,14.75,7700
Bad goisern,Austria,47.64,13.61,7700
Ferlach,Austria,46.53,14.3,7600
Freistadt,Austria,48.52,14.5,7500
Ebenthal,Austria,46.61,14.34,7400
Landeck,Austria,47.14,10.56,7400
Langenzersdorf,Austria,48.3,16.35,7400
Wattens,Austria,47.29,11.59,7300
Vorchdorf,Austria,48,13.92,7300
Neulengbach,Austria,48.18,15.97,7300
Perg,Austria,48.25,14.62,7300
Hermagor,Austria,46.62,13.36,7200
Bruck an der leitha,Austria,48.02,16.78,7200
Hochst,Austria,47.47,9.63,7000
Deutsch-wagram,Austria,48.3,16.57,7000
Strasshof,Austria,48.33,16.69,7000
Langenlois,Austria,48.47,15.66,7000
Liezen,Austria,47.57,14.24,6900
Strasswalchen,Austria,48,13.26,6900
Sieghartskirchen,Austria,48.25,16,6900
Arnoldstein,Austria,46.55,13.71,6800
Leibnitz,Austria,46.78,15.56,6800
Jenbach,Austria,47.39,11.75,6800
Garsten,Austria,48.02,14.4,6800
Bad hofgastein,Austria,47.17,13.1,6700
Vols,Austria,47.25,11.33,6700
Kottingbrunn,Austria,47.95,16.21,6700
Wilhelmsburg,Austria,48.1,15.6,6700
Radentheim,Austria,46.8,13.71,6600
Gratkorn,Austria,47.13,15.35,6600
Oberwart,Austria,47.29,16.2,6600
Kuchl,Austria,47.63,13.14,6600
Grodig,Austria,47.73,13.03,6600
Sankt andra-wordern,Austria,48.34,16.22,6600
Frohnleiten,Austria,47.27,15.32,6500
Hartberg,Austria,47.28,15,6500
Kremsmunster,Austria,48.05,14.12,6500
