Name,State,Latitude,Longitude,Population
Wien,Belgium,48.22,16.37,1504100
Graz,Belgium,47.08,15.42,216100
Linz,Belgium,48.31,14.29,184800
Salzburg,Belgium,47.81,13.04,145800
Innsbruck,Belgium,47.28,11.41,116400
Klagenfurt,Belgium,46.62,14.31,89700
Villach,Belgium,46.62,13.85,57900
Wels,Belgium,48.17,14.03,56600
Sankt polten,Belgium,48.21,15.61,49600
Dornbirn,Belgium,47.42,9.74,43100
Steyr,Belgium,48.04,14.41,39300
Wiener neustadt,Belgium,47.82,16.24,37800
Feldkirch,Belgium,47.25,9.59,29100
Bregenz,Belgium,47.51,9.73,27300
Klosterneuburg,Belgium,48.31,16.31,25300
Wolfsberg,Belgium,46.85,14.85,25200
Leoben,Belgium,47.38,15.09,25200
Baden,Belgium,48.01,16.24,24800
Krems,Belgium,48.42,15.59,24100
Traun,Belgium,48.23,14.24,23700
Amstetten,Belgium,48.13,14.86,22500
Leonding,Belgium,48.28,14.23,22400
Kapfenberg,Belgium,47.45,15.29,21900
Modling,Belgium,48.1,16.3,20800
Lustenau,Belgium,47.44,9.66,19800
Hallein,Belgium,47.68,13.11,18500
Traiskirchen,Belgium,48.02,16.3,16300
Braunau,Belgium,48.26,13.04,16300
Spittal,Belgium,46.8,13.5,16000
Kufstein,Belgium,47.62,12.19,15800
Schwechat,Belgium,48.14,16.5,15500
Saalfelden,Belgium,47.44,12.85,15400
Ternitz,Belgium,47.72,16.03,15300
Ansfelden,Belgium,48.22,14.3,14800
Stockerau,Belgium,48.39,16.23,14600
Bad ischl,Belgium,47.72,13.61,14100
Feldkirchen,Belgium,46.73,14.08,14000
Hohenems,Belgium,47.37,9.68,14000
Perchtoldsdorf,Belgium,48.11,16.28,14000
Tulln,Belgium,48.33,16.06,14000
Bludenz,Belgium,47.16,9.82,13800
Telfs,Belgium,47.3,11.07,13300
Bruck an der mur,Belgium,47.42,15.27,13200
Gmunden,Belgium,47.92,13.81,13200
Sankt veit,Belgium,46.77,14.35,12700
Schwaz,Belgium,47.34,11.73,12600
Knittelfeld,Belgium,47.22,14.83,12400
Lienz,Belgium,46.83,12.76,12100
Vocklabruck,Belgium,48.01,13.66,11800
Hard,Belgium,47.48,9.68,11700
Waidhofen,Belgium,47.96,14.78,11700
Ried,Belgium,48.21,13.48,11700
Hall,Belgium,47.6,14.44,11500
