Name,State,Latitude,Longitude,Population
Sarajevo,Bosnia,43.85,18.38,602500
Banja luka,Bosnia,44.78,17.19,196500
Zenica,Bosnia,44.2,17.91,139800
Tuzla,Bosnia,44.54,18.67,123500
Mostar,Bosnia,43.34,17.81,94100
Bihac,Bosnia,44.82,15.87,64600
Brcko,Bosnia,44.87,18.81,38000
Bijeljina,Bosnia,44.76,19.22,36700
Prijedor,Bosnia,44.98,16.71,36300
Bugojno,Bosnia,44.06,17.45,35700
Trebinje,Bosnia,42.71,18.34,29300
Travnik,Bosnia,44.23,17.67,27400
Doboj,Bosnia,44.73,18.09,26700
Cazin,Bosnia,44.97,15.94,19400
Gorazde,Bosnia,43.67,18.98,17700
Velika kladusa,Bosnia,45.19,15.81,17600
Visoko,Bosnia,43.99,18.18,16900
Konjic,Bosnia,43.65,17.96,15300
Bosanska krupa,Bosnia,44.88,16.15,15100
Foca,Bosnia,43.51,18.78,15000
Gracanica,Bosnia,44.7,18.31,14700
Gradacac,Bosnia,44.88,18.43,14600
Bosanska gradiska,Bosnia,45.14,17.25,14500
Zavidovici,Bosnia,44.45,18.15,14300
Sanski most,Bosnia,44.77,16.67,14000
Mrkonjic grad,Bosnia,44.42,17.09,13600
Zivinice,Bosnia,44.45,18.65,13000
Lukavac,Bosnia,44.52,18.42,12300
Bileca,Bosnia,42.87,18.43,12200
Kakanj,Bosnia,44.13,18.12,12100
Livno,Bosnia,43.83,17.01,11400
Derventa,Bosnia,44.98,17.91,11200
Bosanska dubica,Bosnia,45.18,16.81,10800
Odzak,Bosnia,45.01,18.33,10800
Bosanski brod,Bosnia,45.14,17.99,10300
Novi travnik,Bosnia,44.17,17.66,10300
Sipovo,Bosnia,44.28,17.08,10100
Jajce,Bosnia,44.34,17.27,10000
Bosanski novi,Bosnia,45.05,16.38,9900
Stijena,Bosnia,44.94,16.02,9800
Prozor,Bosnia,43.82,17.61,9400
Zvornik,Bosnia,44.39,19.1,9200
Ljubuski,Bosnia,43.2,17.55,9100
Todorovo,Bosnia,45.09,15.93,8700
Vogosca,Bosnia,43.9,18.35,8600
Listica,Bosnia,43.38,17.59,8500
Potoci,Bosnia,43.41,17.88,8500
Donji vakuf,Bosnia,44.14,17.4,8200
Sokolac,Bosnia,43.94,18.8,7900
Zepce,Bosnia,44.43,18.04,7900
Kiseljak,Bosnia,43.94,18.08,7800
Mionica,Bosnia,44.87,18.46,7800
Vitez,Bosnia,44.15,17.79,7800
Capljina,Bosnia,43.11,17.7,7700
Fojnica,Bosnia,43.96,17.9,7600
Kljuc,Bosnia,44.54,16.77,7600
Milici,Bosnia,44.17,19.09,7600
Banovici,Bosnia,44.41,18.52,7500
Maglaj,Bosnia,44.55,18.1,7500
Stolac,Bosnia,43.08,17.96,7500
Trn,Bosnia,44.86,17.24,7500
Hadzici,Bosnia,43.82,18.21,7400
Prnjavor,Bosnia,44.87,17.66,7300
Pale,Bosnia,43.82,18.57,7100
Tomislavgrad,Bosnia,43.72,17.23,7100
Visegrad,Bosnia,43.78,19.3,7100
Tesanj,Bosnia,44.61,17.99,7000
Vares,Bosnia,44.16,18.33,6900
Nevesinje,Bosnia,43.26,18.11,6800
Srbac,Bosnia,45.1,17.53,6700
Teslic,Bosnia,44.61,17.86,6700
Buzim,Bosnia,45.05,16.03,6600
Divicani,Bosnia,44.37,17.33,6600
Kladanj,Bosnia,44.23,18.69,6600
Djurdjevik,Bosnia,44.41,18.65,6500
Hajdarevici,Bosnia,44.46,18.26,6500
Skender vakuf,Bosnia,44.49,17.38,6500
Gornji vakuf,Bosnia,43.94,17.59,6400
Janja,Bosnia,44.67,19.25,6400
Celinac,Bosnia,44.72,17.33,6300
Vrnograc,Bosnia,45.16,15.95,6300
Ilijas,Bosnia,43.95,18.27,6200
Srebrenik,Bosnia,44.71,18.49,6200
Otoka,Bosnia,44.96,16.18,6100
Podzvizd,Bosnia,45.17,15.87,6100
Trzacka rastela,Bosnia,44.97,15.79,6100
Bosansko grahovo,Bosnia,44.18,16.36,6000
Kotor varos,Bosnia,44.62,17.37,6000
Laktasi,Bosnia,44.91,17.3,6000
Modrica,Bosnia,44.95,18.3,6000
Tojsici,Bosnia,44.5,18.79,6000
Varoska rijeka,Bosnia,45.08,16.01,6000
Gostovici,Bosnia,44.42,18.16,5900
Gromiljak,Bosnia,43.97,18.05,5900
Pecigrad,Bosnia,45.05,15.9,5900
Jablanica,Bosnia,43.66,17.77,5800
Kovaci,Bosnia,44.45,18.21,5800
Omarska,Bosnia,44.89,16.9,5800
Sanica,Bosnia,44.61,16.64,5800
Rogatica,Bosnia,43.8,19,5700
Sekovici,Bosnia,44.3,18.85,5600
Mala kladusa,Bosnia,45.13,15.86,5500
Kalenderovci,Bosnia,44.94,17.81,5400
Bratunac,Bosnia,44.19,19.34,5300
Crnici,Bosnia,43.13,17.86,5300
Podhum,Bosnia,43.72,17,5300
Zeljezno polje,Bosnia,44.41,17.93,5300
Citluk,Bosnia,43.23,17.7,5200
Tesanjka,Bosnia,44.67,18.01,5200
Blatnica,Bosnia,44.46,17.83,5100
Donja mahala,Bosnia,45.05,18.67,5100
Donja orahovica,Bosnia,44.65,18.37,5100
Vlasenica,Bosnia,44.18,18.94,5100
Ostrozac,Bosnia,44.91,15.94,5000
Jelah,Bosnia,44.65,17.96,4900
Rodoc,Bosnia,43.31,17.81,4900
Turbe,Bosnia,44.24,17.57,4900
Bosanska kostajnica,Bosnia,45.22,16.54,4800
Coralici,Bosnia,45.01,15.87,4800
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
