City,Country,Lat,Long,Pop
São Paulo,Brazil,-23.473293,-46.665803,10021437
Rio de Janeiro,Brazil,-22.9,-43.233333,6023742
Salvador,Brazil,-12.983333,-38.516667,2711903
Fortaleza,Brazil,-3.316667,-41.416667,2416920
Belo Horizonte,Brazil,-19.916667,-43.933333,2373255
Brasília,Brazil,-15.783333,-47.916667,2207812
Curitiba,Brazil,-25.416667,-49.25,1718433
Manaus,Brazil,-3.113333,-60.025278,1598227
Recife,Brazil,-8.05,-34.9,1478118
Belém,Brazil,-1.45,-48.483333,1407737
Porto Alegre,Brazil,-30.033333,-51.2,1372763
Goiânia,Brazil,-16.666667,-49.266667,1171209
Guarulhos,Brazil,-23.45068,-46.526175,1169601
Campinas,Brazil,-22.9,-47.083333,1031573
Nova Iguaçu,Brazil,-22.759188,-43.431887,1002129
Maceió,Brazil,-9.666667,-35.716667,955010
São Gonçalo,Brazil,-22.800278,-43.025556,939101
São Luís,Brazil,-2.516667,-44.266667,917252
Duque de Caxias,Brazil,-22.790321,-43.325009,818339
Natal,Brazil,-5.783333,-35.216667,763057
Teresina,Brazil,-5.083333,-42.816667,744526
São Bernardo do Campo,Brazil,-23.7,-46.55,743386
Campo Grande,Brazil,-20.45,-54.616667,729164
Jaboatão,Brazil,-8.116667,-35.016667,702632
Osasco,Brazil,-23.566667,-46.783333,677869
Santo André,Brazil,-23.666667,-46.516667,662387
João Pessoa,Brazil,-7.116667,-34.866667,650896
Contagem,Brazil,-19.916667,-44.1,627132
São José dos Campos,Brazil,-23.183333,-45.883333,613776
Uberlândia,Brazil,-18.916667,-48.3,563545
Sorocaba,Brazil,-23.483333,-47.45,558874
Ribeirão Prêto,Brazil,-21.166667,-47.8,551278
Cuiabá,Brazil,-15.583333,-56.083333,521961
Aracaju,Brazil,-10.916667,-37.066667,490184
Feira de Santana,Brazil,-12.25,-38.95,481926
Londrina,Brazil,-23.3,-51.15,471836
Juiz de Fora,Brazil,-21.751667,-43.352778,470201
Belford Roxo,Brazil,-22.761995,-43.404654,466101
Joinville,Brazil,-26.3,-48.833333,461312
Niterói,Brazil,-22.90214,-43.130301,456461
São João de Meriti,Brazil,-22.798614,-43.360894,454855
Ananindeua,Brazil,-1.366667,-48.383333,433956
Florianópolis,Brazil,-27.583333,-48.566667,412731
Santos,Brazil,-23.95,-46.333333,411411
Ribeirão das Neves,Brazil,-19.783333,-44.1,406840
Vila Velha,Brazil,-20.333333,-40.283333,394937
Serra,Brazil,-20.116667,-40.3,394160
Diadema,Brazil,-23.7,-46.616667,390641
Campos,Brazil,-21.75,-41.3,387422
Mauá,Brazil,-23.666667,-46.45,386077
Betim,Brazil,-19.966667,-44.216667,384038
Caxias do Sul,Brazil,-29.1689,-51.1785,381277
São José do Rio Prêto,Brazil,-20.8,-49.383333,374706
Olinda,Brazil,-8.016667,-34.85,366761
Carapicuíba,Brazil,-23.516667,-46.833333,361120
Campina Grande,Brazil,-7.216667,-35.883333,348943
Piracicaba,Brazil,-22.716667,-47.633333,342216
Macapá,Brazil,0.033333,-51.05,338937
Itaquaquecetuba,Brazil,-23.483333,-46.35,336686
Bauru,Brazil,-22.316667,-49.066667,335031
Montes Claros,Brazil,-16.716667,-43.866667,332384
Cariacica,Brazil,-20.266667,-40.416667,330681
Canoas,Brazil,-29.933333,-51.183333,328297
Moji das Cruzes,Brazil,-23.516667,-46.183333,325753
São Vicente,Brazil,-23.966667,-46.383333,324464
Jundiaí,Brazil,-23.183333,-46.866667,321595
Pelotas,Brazil,-31.766667,-52.333333,320680
Anápolis,Brazil,-16.333333,-48.966667,319592
Vitória,Brazil,-20.316667,-40.35,312662
Maringá,Brazil,-23.416667,-51.916667,311727
Guarujá,Brazil,-24,-46.266667,310430
