Name,State,Latitude,Longitude,Population
Toronto,Canada,43.666667,-79.416667,4612187
Montreal,Canada,45.5,-73.583333,3268513
Vancouver,Canada,49.25,-123.133333,1837970
Calgary,Canada,51.083333,-114.083333,968475
Ottawa,Canada,45.416667,-75.7,874433
Edmonton,Canada,53.55,-113.5,822319
Hamilton,Canada,43.25,-79.833333,653637
Quebec,Canada,46.8,-71.25,645623
Winnipeg,Canada,49.883333,-97.166667,632069
Kitchener,Canada,43.45,-80.5,409111
London,Canada,42.983333,-81.25,346774
Victoria,Canada,48.433333,-123.35,289625
Windsor,Canada,42.333333,-83.033333,278013
Halifax,Canada,44.65,-63.6,266012
Oshawa,Canada,43.9,-78.866667,247989
Saskatoon,Canada,52.133333,-106.666667,198957
Barrie,Canada,44.383333,-79.7,182070
Regina,Canada,50.45,-104.616667,176182
Abbotsford,Canada,49.05,-122.3,151685
Sherbrooke,Canada,45.4,-71.9,129447
Kelowna,Canada,49.9,-119.483333,125110
Trois-Rivières,Canada,46.35,-72.55,119693
Guelph,Canada,43.55,-80.25,115763
Kingston,Canada,44.233333,-76.483333,114243
Waterloo,Canada,43.466667,-80.533333,110800
Sudbury,Canada,46.5,-80.966667,109724
Thunder Bay,Canada,48.4,-89.233333,99336
Kanata,Canada,45.333333,-75.9,93541
Saint John,Canada,45.266667,-66.066667,87857
Brantford,Canada,43.133333,-80.266667,87761
Moncton,Canada,46.083333,-64.766667,87467
Nanaimo,Canada,49.15,-123.916667,84906
Sarnia,Canada,42.966667,-82.4,82998
Peterborough,Canada,44.3,-78.333333,75879
Red Deer,Canada,52.266667,-113.8,73595
Lethbridge,Canada,49.7,-112.833333,70619
Kamloops,Canada,50.666667,-120.333333,68715
White Rock,Canada,49.033333,-122.816667,66450
Prince George,Canada,53.916667,-122.766667,65558
Belleville,Canada,44.166667,-77.383333,65368
Sault Sainte Marie,Canada,46.5,-84.333333,63967
Medicine Hat,Canada,50.033333,-110.683333,63140
Drummondville,Canada,45.883333,-72.483333,59489
Saint-Jérôme,Canada,45.766667,-74,54948
Granby,Canada,45.383333,-72.733333,53979
Fredericton,Canada,45.95,-66.633333,52337
Chilliwack,Canada,49.166667,-121.95,51942
Saint-Hyacinthe,Canada,45.633333,-72.933333,50327
North Bay,Canada,46.3,-79.45,50171
Shawinigan,Canada,46.55,-72.733333,49161
Cornwall,Canada,45.016667,-74.733333,48823
Vernon,Canada,50.266667,-119.266667,47275
Chatham,Canada,42.4,-82.183333,44554
Beloeil,Canada,45.566667,-73.2,43016
Charlottetown,Canada,46.233333,-63.133333,42403
Grande Prairie,Canada,55.166667,-118.8,41463
Saint Thomas,Canada,42.783333,-81.183333,38694
Salaberry-de-Valleyfield,Canada,45.25,-74.133333,38662
Rimouski,Canada,48.433333,-68.516667,38420
Penticton,Canada,49.5,-119.583333,37721
Joliette,Canada,46.033333,-73.433333,34772
Prince Albert,Canada,53.2,-105.75,34608
Victoriaville,Canada,46.05,-71.966667,34426
Woodstock,Canada,43.133333,-80.75,33893
Sorel,Canada,46.05,-73.116667,33591
Campbell River,Canada,50.016667,-125.25,33430
Timmins,Canada,48.466667,-81.333333,32901
Courtenay,Canada,49.683333,-125,32793
Sydney,Canada,46.15,-60.166667,32660
Orangeville,Canada,43.916667,-80.083333,32641
Georgetown,Canada,43.65,-79.933333,32372
Moose Jaw,Canada,50.4,-105.55,32166
Midland,Canada,44.75,-79.9,31502
Leamington,Canada,42.05,-82.583333,30428
Stratford,Canada,43.366667,-80.983333,30234
Orillia,Canada,44.6,-79.416667,30179
Alma,Canada,48.55,-71.65,29527
Brandon,Canada,49.833333,-99.95,26234
Nanticoke,Canada,42.8,-80.066667,24732
Airdrie,Canada,51.266667,-114.016667,24673
Brockville,Canada,44.583333,-75.683333,23887
Milton,Canada,43.516667,-79.883333,23472
Lloydminster,Canada,53.27,-110.03,22677
Lloydminster,Canada,53.283333,-110,22677
Owen Sound,Canada,44.566667,-80.85,22625
Sept-Îles,Canada,50.2,-66.383333,22582
Duncan,Canada,48.783333,-123.7,22199
Thetford Mines,Canada,46.083333,-71.3,22007
Bolton,Canada,43.883333,-79.733333,21709
Glace Bay,Canada,46.2,-59.966667,21504
Saint-Georges,Canada,46.116667,-70.666667,21416
