City,State,Latitude,Longitude,Population
Shanghai,China,31.045556,121.399722,14608512
Peking,China,39.928889,116.388333,7480601
Wuhan,China,30.580125,114.273405,4184206
Chongqing,China,29.562778,106.552778,3967028
Xian,China,34.258333,108.928611,3953191
Chengdu,China,30.666667,104.066667,3950437
Tianjin,China,39.142222,117.176667,3766207
Shenyang,China,41.792222,123.432778,3512192
Harbin,China,45.75,126.65,3229883
Guangzhou,China,23.116667,113.25,3152825
Nanjing,China,32.061667,118.777778,3087010
Taiyuan,China,37.726944,112.470833,2722475
Changchun,China,43.88,125.322778,2537421
Jinan,China,36.668333,116.997222,2069266
Tangshan,China,37.3325,114.701389,2054526
Dalian,China,38.912222,121.602222,2035307
Jilin,China,43.850833,126.560278,1881977
Hangzhou,China,30.29365,120.161419,1878129
Nanchang,China,28.55,115.933333,1871351
Qingdao,China,36.098611,120.371944,1642245
Xinyang,China,32.095833,114.120278,1590668
Ürümqi,China,43.800965,87.600459,1508225
Lanzhou,China,36.056389,103.792222,1417742
Fushun,China,41.7,123.883333,1400646
Luoyang,China,34.683611,112.453611,1390581
Hefei,China,31.863889,117.280833,1388904
Handan,China,36.566667,114.533333,1358318
Suzhou,China,31.311389,120.618056,1343091
Anshan,China,41.123611,122.99,1199275
Xuzhou,China,34.180454,117.15707,1199193
Fuzhou,China,26.061389,119.306111,1179720
Guiyang,China,26.583333,106.716667,1171633
Wuxi,China,31.568873,120.288573,1108647
Datong,China,40.093611,113.291389,1052678
Xianyang,China,34.33778,108.70261,1034081
Huainan,China,32.626389,116.996944,1027655
Kunming,China,25.038889,102.718333,1023674
Shenzhen,China,22.533333,114.133333,1002592
Rongcheng,China,23.528858,116.364159,1001985
Baoding,China,38.851111,115.490278,995652
Benxi,China,41.288611,123.765,987717
Changzhou,China,31.783333,119.966667,949018
Huaibei,China,33.974444,116.791667,903039
Pingdingshan,China,33.738472,113.301194,889675
Qiqihar,China,47.340833,123.967222,882364
Wenzhou,China,27.999416,120.66682,865672
Nanning,China,22.816667,108.316667,803788
Anyang,China,36.099444,114.328889,781129
Hohhot,China,40.810556,111.652222,774477
Xining,China,36.616667,101.766667,767531
Liuzhou,China,24.312582,109.389157,763168
Qinhuangdao,China,39.931667,119.588333,759718
Hengyang,China,26.888056,112.615,759602
Taian,China,36.185278,117.12,750340
Xinxiang,China,35.308889,113.867222,743601
Hegang,China,47.4,130.366667,743307
Langfang,China,39.509722,116.694722,720119
Ningbo,China,29.878186,121.549453,719867
Yantai,China,37.533333,121.4,719332
Zhuzhou,China,27.691868,113.152137,709358
Zhangjiakou,China,40.81,114.879444,692602
Zigong,China,29.341622,104.776887,689961
Fuxin,China,42.015556,121.658889,689050
Liaoyang,China,41.226111,123.056111,687890
Zhangdian,China,36.790556,118.063333,669770
Puyang,China,35.702778,115.005278,666322
Nantong,China,32.030278,120.874722,666251
Mudanjiang,China,44.583333,129.6,665915
Shaoyang,China,26.965893,111.241376,649452
Guilin,China,25.281944,110.286389,649352
Zhanjiang,China,21.281452,110.342713,637790
Zhenjiang,China,32.209167,119.434167,632552
Dandong,China,40.129167,124.394722,631973
Shaoguan,China,24.8,113.583333,628749
Yancheng,China,33.385556,120.125278,628441
Foshan,China,23.026771,113.131483,627348
Haikou,China,20.045833,110.341667,615835
Taizhou,China,32.493333,119.910627,612356
Xingtai,China,37.063056,114.494167,611739
Jinzhou,China,41.107778,121.141667,604269
Luancheng,China,37.879167,114.651667,597130
Yingkou,China,40.637318,122.502508,591159
Zhangzhou,China,24.513333,117.655556,589831
Xiamen,China,24.479794,118.081869,578337
Kaifeng,China,34.744167,114.418611,576915
Bengbu,China,32.940833,117.360833,576648
Shihezi,China,44.3,86.033333,572772
Huaiyin,China,33.588611,119.019167,555230
Jiamusi,China,46.833333,130.35,549549
Neijiang,China,29.583536,105.06216,546854
Maanshan,China,31.695678,118.498248,540198
Yangzhou,China,32.397222,119.435833,539715
Tanggu,China,39.021111,117.646944,535298
Jiangmen,China,22.583333,113.083333,532419
Yueyang,China,29.140833,113.111111,528140
Cangzhou,China,38.316667,116.866667,527681
Changde,China,29.046378,111.678304,517780
Jiaozuo,China,35.239722,113.233056,517540
Wuhu,China,31.14607,118.57069,507524
Zhuhai,China,22.276944,113.567778,501199
Shashi,China,30.307222,112.244722,498780
Yichang,China,30.77135,111.321458,476725
Yinchuan,China,38.468056,106.273056,475101
Maoming,China,21.65,110.9,473251
