City,State,Lat,Long,Pop
Zagreb,Croatia,45.8,16,698967
Split,Croatia,43.5138889,16.4558333,176315
Rijeka,Croatia,45.3430556,14.4091667,141173
Osijek,Croatia,45.5511111,18.6938889,88141
Zadar,Croatia,44.1197222,15.2422222,71258
Slavonski Brod,Croatia,45.1602778,18.0155556,60742
Pula,Croatia,44.8683333,13.8480556,59079
Sesvete,Croatia,45.8311111,16.1163889,52412
Karlovac,Croatia,45.4872222,15.5477778,48123
Varazdin,Croatia,46.3044444,16.3377778,41808
Sibenik,Croatia,43.7272222,15.9058333,37113
Sisak,Croatia,45.4661111,16.3783333,35749
Velika Gorica,Croatia,45.7125,16.0755556,35073
Vinkovci,Croatia,45.2883333,18.8047222,33315
Vukovar,Croatia,45.3433333,18.9997222,29584
Dubrovnik,Croatia,42.6505556,18.0913889,28428
Bjelovar,Croatia,45.8986111,16.8488889,28275
Koprivnica,Croatia,46.1627778,16.8275,25579
Pozega,Croatia,45.3402778,17.6852778,21153
Zapresic,Croatia,45.8563889,15.8077778,17624
Solin,Croatia,43.55,16.5,15927
Cakovec,Croatia,46.3844444,16.4338889,15867
Virovitica,Croatia,45.8319444,17.3838889,15665
Kutina,Croatia,45.475,16.7819444,14886
Metkovic,Croatia,43.0541667,17.6483333,13941
Petrinja,Croatia,45.4375,16.29,13868
Zupanja,Croatia,45.0775,18.6975,13842
Rovinj,Croatia,45.08,13.64,13533
Makarska,Croatia,43.2969444,17.0177778,13446
Nova Gradiska,Croatia,45.255,17.3830556,13329
Krizevci,Croatia,46.0219444,16.5425,11597
Sinj,Croatia,43.7036111,16.6394444,11524
Knin,Croatia,44.0438889,16.2,11182
Slatina,Croatia,45.7033333,17.7027778,10973
Trogir,Croatia,43.5125,16.2516667,10960
Porec,Croatia,45.2258333,13.5938889,10499
Ogulin,Croatia,45.2661111,15.2286111,8755
Beli Manastir,Croatia,45.77,18.6036111,8713
Nasice,Croatia,45.4886111,18.0877778,8213
Opatija,Croatia,45.3391667,14.3083333,7888
Novska,Croatia,45.3405556,16.9769444,7306
Omis,Croatia,43.4447222,16.6886111,6597
Gospic,Croatia,44.5461111,15.3747222,6118
Senj,Croatia,44.9894444,14.9058333,5518
Biograd na Moru,Croatia,43.9433333,15.4519444,5285
Krapina,Croatia,46.1608333,15.8788889,4725
Krk,Croatia,45.0258333,14.5730556,3380
Korcula,Croatia,42.9622222,17.1369444,3141
Buje,Croatia,45.41,13.6619444,3016
Pag,Croatia,44.445,15.0575,2714
Gracac,Croatia,44.2986111,15.8444444,2702
Rab,Croatia,44.7569444,14.7608333,557
