City,State,Lat,Long,Pop
Prague,Czech Republic,50.083333,14.466667,1154508
Brno,Czech Republic,49.2,16.633333,377407
Ostrava,Czech Republic,49.811852,18.255282,317136
Plzen,Czech Republic,49.75,13.366667,165531
Olomouc,Czech Republic,49.59404,17.25119,102792
Liberec,Czech Republic,50.763889,15.065278,99416
Ceske Budejovice,Czech Republic,48.983333,14.466667,97530
Hradec Kralove,Czech Republic,50.207744,15.829455,97427
Usti,Czech Republic,50.666667,14.033333,95556
Pardubice,Czech Republic,50.027778,15.775833,90853
Havirov,Czech Republic,49.8,18.4,85829
Zlin,Czech Republic,49.216667,17.666667,81066
Kladno,Czech Republic,50.142037,14.096549,71262
Most,Czech Republic,50.509611,13.639121,68254
Karvina,Czech Republic,49.856792,18.546907,65441
Frydek-Mistek,Czech Republic,49.683333,18.35,61584
Opava,Czech Republic,49.93846,17.902628,61514
Karlovy Vary,Czech Republic,50.237003,12.875042,53585
Decin,Czech Republic,50.77137,14.198248,52521
Chomutov,Czech Republic,50.463532,13.41365,51054
Teplice,Czech Republic,50.646569,13.840138,50972
Jihlava,Czech Republic,49.4,15.583333,50818
Prerov,Czech Republic,49.453926,17.452379,48513
Prostejov,Czech Republic,49.47333,17.113455,48258
Jablonec,Czech Republic,50.720474,15.171128,45289
Mlada Boleslav,Czech Republic,50.42311,14.919316,44417
Ceska Lipa,Czech Republic,50.686736,14.538125,39398
Trinec,Czech Republic,49.680358,18.665348,39054
Trebic,Czech Republic,49.210649,15.881458,39038
Tabor,Czech Republic,49.411005,14.672771,36546
Pribram,Czech Republic,49.691355,14.020575,35963
Znojmo,Czech Republic,48.856116,16.056412,35791
Orlova,Czech Republic,49.860351,18.444873,34938
Cheb,Czech Republic,50.075777,12.374676,32778
Trutnov,Czech Republic,50.565612,15.914355,32085
Kolin,Czech Republic,50.026904,15.202311,30351
Pisek,Czech Republic,49.308408,14.149171,29756
Sumperk,Czech Republic,49.965811,16.978874,29604
Vsetin,Czech Republic,49.341899,17.983582,29302
Kromeriz,Czech Republic,49.295955,17.395659,29211
Hodonin,Czech Republic,48.856013,17.123073,27600
Valasske Mezirici,Czech Republic,49.473211,17.972378,27562
Litvinov,Czech Republic,50.601105,13.612673,27424
Novy Jicin,Czech Republic,49.598334,18.012384,27043
Uherske Hradiste,Czech Republic,49.066667,17.463943,26954
Breclav,Czech Republic,48.757723,16.890041,26905
Cesky Tesin,Czech Republic,49.745479,18.621783,26478
Krnov,Czech Republic,50.089054,17.698012,25769
Sokolov,Czech Republic,50.178428,12.647147,25079
Litomerice,Czech Republic,50.538408,14.130347,24930
Havlickuv Brod,Czech Republic,49.614082,15.564558,24373
Chrudim,Czech Republic,49.95,15.8,23909
Strakonice,Czech Republic,49.260997,13.905073,23863
Koprivnice,Czech Republic,49.598453,18.145241,23798
Bohumin,Czech Republic,49.901831,18.360679,23310
Klatovy,Czech Republic,49.39717,13.289064,23059
Jindrichuv Hradec,Czech Republic,49.144852,15.0025,22646
Vyskov,Czech Republic,49.278302,17.002565,22549
Kutna Hora,Czech Republic,49.95,15.266667,21474
Nachod,Czech Republic,50.416667,16.166667,21196
Jirkov,Czech Republic,50.5,13.45,20648
Blansko,Czech Republic,49.363931,16.647513,20643
Zatec,Czech Republic,50.326309,13.544673,19961
Louny,Czech Republic,50.355707,13.809376,19720
Hranice,Czech Republic,49.556306,17.735236,19666
Melnik,Czech Republic,50.361082,14.472342,19318
Otrokovice,Czech Republic,49.207366,17.523862,19303
Roznov,Czech Republic,49.4606,18.136664,17964
Svitavy,Czech Republic,49.755945,16.466791,17625
Uhersky Brod,Czech Republic,49.025539,17.646646,17625
Bruntal,Czech Republic,49.989638,17.463217,17610
Kadan,Czech Republic,50.384339,13.267338,17559
Kralupy nad Vltavou,Czech Republic,50.239486,14.300742,17493
Ostrov,Czech Republic,50.307349,12.94792,17453
Beroun,Czech Republic,49.966171,14.060086,17422
Ceska Trebova,Czech Republic,49.901115,16.445046,17103
Rakovnik,Czech Republic,50.10257,13.728775,16725
Pelhrimov,Czech Republic,49.428201,15.223368,16590
Jicin,Czech Republic,50.435841,15.355569,16516
Dvur Kralove,Czech Republic,50.429766,15.813812,16364
Benesov,Czech Republic,49.782377,14.686569,16321
Neratovice,Czech Republic,50.262281,14.508592,16285
Varnsdorf,Czech Republic,50.915389,14.617839,16018
Bilina,Czech Republic,50.548752,13.775444,15866
Klasterec nad Ohri,Czech Republic,50.388821,13.182397,15724
Brandys nad Labem-Stara Boleslav,Czech Republic,50.183608,14.659499,15375
Slany,Czech Republic,50.232504,14.074934,15330
Usti nad Orlici,Czech Republic,49.975283,16.397151,15194
Marianske Lazne,Czech Republic,49.960197,12.700682,14709
Chodov,Czech Republic,50.239093,12.748613,14661
Zabreh,Czech Republic,49.884404,16.873092,14574
Turnov,Czech Republic,50.592134,15.164575,14500
Nymburk,Czech Republic,50.190375,15.03947,14498
Cesky Krumlov,Czech Republic,48.81264,14.318207,14404
Hlucin,Czech Republic,49.896907,18.191661,14341
Rokycany,Czech Republic,49.74047,13.592556,14295
Sternberk,Czech Republic,49.726551,17.292981,14130
Podebrady,Czech Republic,50.147421,15.118661,13445
Krupka,Czech Republic,50.681912,13.864749,13281
Vrchlabi,Czech Republic,50.624091,15.61315,13155
Roudnice,Czech Republic,50.421241,14.257235,13114
Jaromer,Czech Republic,50.349199,15.920442,12911
Jesenik,Czech Republic,50.229906,17.203426,12693
Tachov,Czech Republic,49.798116,12.635752,12684
Unicov,Czech Republic,49.772259,17.122268,12474
Holesov,Czech Republic,49.329979,17.577216,12455
Vlasim,Czech Republic,49.703603,14.899412,12350
Novy Bor,Czech Republic,50.757126,14.556747,12325
Veseli nad Moravou,Czech Republic,48.950888,17.382144,12245
Vysoke Myto,Czech Republic,49.953254,16.154723,12173
Prachatice,Czech Republic,49.014417,13.999526,11825
Velke Mezirici,Czech Republic,49.355442,16.01449,11795
Rychnov nad Kneznou,Czech Republic,50.166667,16.283333,11721
Moravska Trebova,Czech Republic,49.755711,16.657149,11564
Susice,Czech Republic,49.237292,13.523972,11452
Boskovice,Czech Republic,49.490899,16.659172,11356
Frenstat,Czech Republic,49.544884,18.210243,11348
Domazlice,Czech Republic,49.441403,12.925536,11036
Rumburk,Czech Republic,50.953564,14.553788,11000
Ricany,Czech Republic,49.992672,14.658531,10928
Humpolec,Czech Republic,49.541739,15.35586,10915
Hlinsko,Czech Republic,49.763832,15.909317,10538
Studenka,Czech Republic,49.719889,18.074529,10503
Nove Mesto na Morave,Czech Republic,49.562994,16.074353,10459
Litomysl,Czech Republic,49.86898,16.313674,10351
Caslav,Czech Republic,49.912041,15.39483,10209
Celakovice,Czech Republic,50.163545,14.755924,10086
Nove Mesto nad Metuji,Czech Republic,50.354135,16.139448,10074
Litovel,Czech Republic,49.706317,17.076908,10026
Lanskroun,Czech Republic,49.911432,16.612503,9980
Chotebor,Czech Republic,49.717964,15.672295,9829
Mohelnice,Czech Republic,49.777384,16.918452,9808
Frydlant nad Ostravici,Czech Republic,49.591096,18.359548,9753
Milevsko,Czech Republic,49.451895,14.361574,9436
Ivancice,Czech Republic,49.101315,16.37623,9314
Lovosice,Czech Republic,50.514231,14.052128,9266
Nova Paka,Czech Republic,50.489941,15.516498,9259
Semily,Czech Republic,50.602889,15.33768,9247
Steti,Czech Republic,50.453141,14.378383,9152
Policka,Czech Republic,49.715579,16.268436,9149
Prelouc,Czech Republic,50.038042,15.560284,9106
Horice,Czech Republic,50.369111,15.630551,9052
Bystrice nad Pernstejnem,Czech Republic,49.52333,16.25941,9030
Chocen,Czech Republic,50.004354,16.22068,9002
Trebon,Czech Republic,49.005636,14.763256,8968
Kurim,Czech Republic,49.302631,16.532675,8896
Bystrice pod Hostynem,Czech Republic,49.399643,17.674172,8748
Duchcov,Czech Republic,50.608973,13.744816,8737
Pribor,Czech Republic,49.640482,18.150476,8720
Mnichovo Hradiste,Czech Republic,50.522981,14.974758,8652
Nejdek,Czech Republic,50.32224,12.730727,8556
Lysa nad Labem,Czech Republic,50.201139,14.841773,8461
Cerveny Kostelec,Czech Republic,50.476607,16.093114,8431
Broumov,Czech Republic,50.585292,16.331815,8325
Tisnov,Czech Republic,49.347502,16.425956,8279
Vimperk,Czech Republic,49.056271,13.785015,8237
Tyn nad Vltavou,Czech Republic,49.225516,14.418562,8100
Sedlcany,Czech Republic,49.65885,14.423418,8088
Dobris,Czech Republic,49.780879,14.170542,8066
Moravske Budejovice,Czech Republic,49.052105,15.810128,7970
Dacice,Czech Republic,49.079485,15.4357,7895
Stribro,Czech Republic,49.754845,12.995478,7748
Mikulov,Czech Republic,48.806314,16.637074,7653
Dubi,Czech Republic,50.674556,13.79464,7592
Hulin,Czech Republic,49.314891,17.471896,7576
Napajedla,Czech Republic,49.177848,17.517417,7573
Frydlant,Czech Republic,50.923446,15.077856,7481
Bilovec,Czech Republic,49.75703,18.016558,7465
Sezimovo Usti,Czech Republic,49.377523,14.702868,7455
Odry,Czech Republic,49.666667,17.833333,7415
Sobeslav,Czech Republic,49.259093,14.718653,7252
Kraslice,Czech Republic,50.327579,12.511121,7236
Novy Bydzov,Czech Republic,50.2411,15.491409,7170
Svetla nad Sazavou,Czech Republic,49.667892,15.402449,7158
Dobruska,Czech Republic,50.291973,16.161633,7150
Slavicin,Czech Republic,49.087973,17.879764,7127
Kaplice,Czech Republic,48.739407,14.493856,7087
Tanvald,Czech Republic,50.740333,15.274131,6971
Nyrany,Czech Republic,49.714397,13.207057,6884
Cesky Brod,Czech Republic,50.07358,14.858163,6875
Benatky nad Jizerou,Czech Republic,50.28619,14.834337,6853
Petrvald,Czech Republic,49.828425,18.390542,6785
Rychvald,Czech Republic,49.868333,18.375828,6743
Mimon,Czech Republic,50.65575,14.729251,6708
Kravare,Czech Republic,49.932857,18.017489,6667
Stare Mesto,Czech Republic,49.076493,17.437993,6661
Dubnany,Czech Republic,48.922718,17.104341,6635
Letovice,Czech Republic,49.547591,16.576105,6614
Blatna,Czech Republic,49.427165,13.884526,6609
Veseli nad Luznici,Czech Republic,49.184951,14.698235,6606
Horovice,Czech Republic,49.836564,13.902058,6570
