Name,State,Latitude,Longitude,Population
Kobenhavn,Denmark,55.68,12.57,1089700
Arhus,Denmark,56.16,10.21,224400
Odense,Denmark,55.4,10.38,145600
Aalborg,Denmark,57.03,9.93,121500
Esbjerg,Denmark,55.47,8.45,72500
Gentofte,Denmark,55.45,12.33,68000
Randers,Denmark,56.47,10.04,56000
Kolding,Denmark,55.49,9.47,54900
Vejle,Denmark,55.71,9.52,50300
Horsens,Denmark,55.86,9.84,49700
Roskilde,Denmark,55.65,12.09,44000
Greve strand,Denmark,55.58,12.3,41600
Naestved,Denmark,55.23,11.76,40300
Silkeborg,Denmark,56.16,9.55,38400
Fredericia,Denmark,55.58,9.76,36900
Horsholm,Denmark,55.88,12.5,36300
Helsingor,Denmark,56.04,12.6,35000
Koge,Denmark,55.45,12.18,33700
Viborg,Denmark,56.46,9.41,33400
Holstebro,Denmark,56.36,8.62,31900
Slagelse,Denmark,55.41,11.34,31800
Taastrup,Denmark,55.65,12.32,31000
Herning,Denmark,56.13,8.97,30000
Hillerod,Denmark,55.93,12.3,28300
Svendborg,Denmark,55.07,10.6,27500
Sonderborg,Denmark,54.92,9.8,26900
Hjorring,Denmark,57.46,9.98,24700
Frederikshavn,Denmark,57.45,10.53,24300
Holbaek,Denmark,55.72,11.71,24300
Haderslev,Denmark,55.26,9.48,20900
Skive,Denmark,56.57,9.02,20800
Ishoj,Denmark,55.62,12.32,19500
Birkerod,Denmark,55.83,12.43,19000
Ringsted,Denmark,55.45,11.79,18600
Nykobing,Denmark,54.77,11.87,16800
Aabenraa,Denmark,55.05,9.42,16300
Kalundborg,Denmark,55.68,11.1,15800
Nyborg,Denmark,55.32,10.8,15800
Lillerod,Denmark,55.87,12.37,15400
Korsor,Denmark,55.34,11.13,15000
Ikast,Denmark,56.14,9.16,14600
Solrod,Denmark,55.53,12.18,14600
Frederikssund,Denmark,55.83,12.07,14500
Grenaa,Denmark,56.42,10.88,14300
Nakskov,Denmark,54.83,11.15,14300
Ronne,Denmark,55.1,14.7,13900
Middelfart,Denmark,55.5,9.75,13400
Skanderborg,Denmark,56.04,9.91,13300
Stenlose,Denmark,55.77,12.2,13200
Thisted,Denmark,56.96,8.69,12900
Varde,Denmark,55.63,8.48,12800
Vaerlose,Denmark,55.78,12.35,12500
Frederiksvaerk,Denmark,55.97,12.03,12000
Farum,Denmark,55.8,12.37,11800
Bronderslev,Denmark,57.27,9.97,11600
Espergaerde,Denmark,56,12.57,11400
Struer,Denmark,56.48,8.62,11300
Flong,Denmark,55.67,12.18,11100
Dragor,Denmark,55.6,12.68,11000
Hobro,Denmark,56.63,9.8,11000
Odder,Denmark,55.97,10.17,10800
Haslev,Denmark,55.33,11.97,10500
Skagen,Denmark,57.73,10.6,10000
Hedensted,Denmark,55.77,9.7,9800
Jyllinge,Denmark,55.75,12.12,9700
Grindsted,Denmark,55.75,8.93,9400
Nykobing,Denmark,56.8,8.87,9300
Ringkobing,Denmark,56.09,8.25,9300
Lystrup,Denmark,56.24,10.24,9100
Humlebaek,Denmark,55.97,12.55,8900
Smorumnedre,Denmark,55.73,12.3,8900
Vordingborg,Denmark,55.01,11.91,8900
Hundested,Denmark,55.97,11.87,8600
Trorod,Denmark,55.83,12.55,8600
Saeby,Denmark,57.33,10.53,8500
Vejen,Denmark,55.48,9.15,8500
Malov,Denmark,55.75,12.33,8300
Fredensborg,Denmark,55.97,12.4,8200
Niva,Denmark,55.93,12.52,8100
Ribe,Denmark,55.34,8.77,8000
Tonder,Denmark,54.93,8.9,8000
Vojens,Denmark,55.25,9.32,8000
Nordborg,Denmark,55.05,9.75,7500
Bjerringbro,Denmark,56.38,9.67,7400
Tranbjerg,Denmark,56.1,10.15,7400
Aars,Denmark,56.8,9.53,7300
Lemvig,Denmark,5.53,8.3,7300
Faaborg,Denmark,55.1,10.25,7200
Helsinge,Denmark,56.02,12.2,7100
Skjern,Denmark,55.95,8.5,7100
Soro,Denmark,55.43,11.57,7100
Hadsten,Denmark,56.33,10.05,7000
Hinnerup,Denmark,56.27,10.07,6800
Bramming,Denmark,55.47,8.7,6700
Hirtshals,Denmark,57.59,9.96,6700
Slangerup,Denmark,55.85,12.18,6600
Skaelskor,Denmark,55.25,11.32,6400
Brande,Denmark,55.95,9.12,6300
Billund,Denmark,55.73,9.12,6100
Stovring,Denmark,56.88,9.85,6100
Hammel,Denmark,56.25,9.87,6000
Horning,Denmark,56.08,10.04,6000
Assens,Denmark,55.27,9.92,5900
Ebeltoft,Denmark,56.2,10.68,5800
Gilleleje,Denmark,56.12,12.32,5700
Kerteminde,Denmark,55.45,10.67,5700
Stavnsholt,Denmark,55.82,12.42,5700
Neder holluf,Denmark,55.35,10.45,5600
Nykobing,Denmark,55.92,11.68,5500
Maribo,Denmark,54.77,11.52,5400
Rodekro,Denmark,55.07,9.35,5400
Hellebaek,Denmark,56.07,12.57,5300
Munkebo,Denmark,55.45,10.57,5300
Olstykke,Denmark,55.78,12.18,5300
Tune,Denmark,55.6,12.18,5100
Hadsund,Denmark,56.72,10.12,5000
Kolt,Denmark,56.1,10.07,5000
Logten,Denmark,56.28,10.32,4900
Ringe,Denmark,55.24,10.47,4900
Ry,Denmark,56.08,9.77,4900
Sakskobing,Denmark,54.8,11.65,4900
Aabybro,Denmark,57.15,9.75,4800
Galten,Denmark,56.15,9.91,4800
Hornslet,Denmark,56.32,10.33,4800
Padborg,Denmark,54.82,9.37,4700
Rudkobing,Denmark,54.93,10.72,4700
Vamdrup,Denmark,55.42,9.28,4600
Logstor,Denmark,56.97,9.25,4500
Otterup,Denmark,55.52,10.4,4500
Svenstrup,Denmark,56.98,9.87,4500
Viby,Denmark,55.55,12.03,4500
Hojby,Denmark,55.34,10.43,4400
Kjellerup,Denmark,56.28,9.43,4400
Vodskov,Denmark,57.1,10.03,4400
Nibe,Denmark,56.98,9.63,4300
Strib,Denmark,55.53,9.78,4300
Svogerslev,Denmark,55.63,12.02,4300
Beder,Denmark,56.07,10.22,4200
Brorup,Denmark,55.48,9.02,4200
Give,Denmark,55.85,9.25,4200
Bellinge,Denmark,55.33,10.33,4100
Fensmark,Denmark,55.28,11.82,4100
Lynge,Denmark,55.85,12.28,4100
Tarm,Denmark,55.92,8.53,4000
Videbaek,Denmark,56.08,8.63,4000
Grasten,Denmark,54.92,9.6,3900
Jyderup,Denmark,55.67,11.43,3900
Olgod,Denmark,55.82,8.62,3900
Stege,Denmark,54.98,12.3,3900
Fakse,Denmark,55.25,12.13,3800
Havdrup,Denmark,55.53,12.13,3800
Hong,Denmark,55.52,11.3,3800
Hvalso,Denmark,55.6,11.87,3800
Jaegerspris,Denmark,55.85,11.98,3800
Lind,Denmark,56.1,8.98,3800
Nexo,Denmark,55.07,15.15,3800
Gistrup,Denmark,57,10,3700
Langeskov,Denmark,55.37,10.6,3700
Praesto,Denmark,55.12,12.05,3700
Svejbaek,Denmark,56.13,9.63,3700
Vildbjerg,Denmark,56.2,8.77,3700
Dianalund,Denmark,55.53,11.5,3600
Gjellerup kirkeby,Denmark,56.15,9.05,3600
