Name,State,Latitude,Longitude,Population
Helsinki,Finland,60.17,24.94,562400
Espoo,Finland,60.21,24.66,227400
Tampere,Finland,61.52,23.76,202700
Vantaa,Finland,60.29,25.04,185900
Turku,Finland,60.45,22.25,175800
Oulu,Finland,65.02,25.47,127600
Lahti,Finland,60.99,25.66,98600
Kuopio,Finland,62.9,27.7,88500
Jyvaskyla,Finland,62.26,25.75,83300
Pori,Finland,61.49,21.77,76100
Lappeenranta,Finland,61.06,28.18,59100
Vaasa,Finland,63.1,21.61,57000
Kotka,Finland,60.47,26.93,54400
Joensuu,Finland,62.61,29.78,52800
Hameenlinna,Finland,61,24.45,47100
Porvoo,Finland,60.39,25.66,46500
Mikkeli,Finland,61.7,27.26,46100
Hyvinkaa,Finland,60.64,24.87,43600
Jarvenpaa,Finland,60.48,25.1,37500
Rauma,Finland,61.13,21.52,36700
Rovaniemi,Finland,66.49,25.7,36600
Lohja,Finland,60.25,24.08,36300
Kokkola,Finland,63.84,23.12,35600
Kajaani,Finland,64.23,27.73,35400
Tuusula,Finland,60.4,25.03,32500
Kerava,Finland,60.41,25.11,32200
Kouvola,Finland,60.88,26.7,32000
Kirkkonummi,Finland,60.12,24.43,31000
Imatra,Finland,61.18,28.76,30200
Nurmijarvi,Finland,60.47,24.79,29900
Seinajoki,Finland,62.79,22.84,28600
Savonlinna,Finland,61.87,28.91,28100
Nokia,Finland,61.49,23.48,27600
Riihimaki,Finland,60.74,24.79,26600
Vihti,Finland,60.42,24.33,25200
Salo,Finland,60.39,23.13,25100
Raisio,Finland,60.49,22.18,24200
Iisalmi,Finland,63.57,27.18,24100
Varkaus,Finland,62.32,27.91,23600
Kemi,Finland,65.76,24.55,23300
Tornio,Finland,65.86,24.17,22900
Kangasala,Finland,61.47,24.08,22700
Heinola,Finland,61.21,26.03,21900
Ylojarvi,Finland,61.55,23.6,21500
Hollola,Finland,61.05,25.43,21100
Kaarina,Finland,60.42,22.42,20800
Kuusankoski,Finland,60.92,26.61,20600
Valkeakoski,Finland,61.27,24.03,20600
Sillinjarvi,Finland,63.08,27.66,20400
Pietarsaari,Finland,63.68,22.7,19500
Forssa,Finland,60.82,23.63,18800
Kuusamo,Finland,65.96,29.18,18800
