City,State,Lat,Long,Pop
Paris,France,48.866667,2.333333,2110694
Marseille,France,43.285413,5.37606,792823
Lyon,France,45.748457,4.846711,463700
Toulouse,France,43.599516,1.433188,411145
Nice,France,43.713644,7.25952,341621
Nantes,France,47.216509,-1.552379,284677
Strasbourg,France,48.600381,7.787355,273506
Montpellier,France,43.61092,3.87723,238887
Bordeaux,France,44.840439,-0.5805,219311
Rennes,France,48.111981,-1.674291,213334
Reims,France,49.25,4.033333,192688
Lille,France,50.632971,3.058585,189746
Le Havre,France,49.5,0.133333,188605
Saint-Étienne,France,45.435382,4.391051,170416
Angers,France,47.473806,-0.54774,158585
Grenoble,France,45.171546,5.722387,154853
Toulon,France,43.117705,5.941712,154465
Dijon,France,47.316667,5.016667,153692
Brest,France,48.390756,-4.486165,150554
Le Mans,France,48.000386,0.204709,147413
Aix-en-Provence,France,43.528695,5.448791,142133
Amiens,France,49.9,2.3,138816
Nîmes,France,43.833778,4.359623,137532
Clermont-Ferrand,France,45.779657,3.086281,137364
Tours,France,47.394836,0.703977,135143
Limoges,France,45.831534,1.257805,134549
Metz,France,49.115461,6.175875,128021
Villeurbanne,France,45.765502,4.875522,126230
Besançon,France,47.248778,6.018152,120139
Orléans,France,47.902891,1.903887,118190
Caen,France,49.197188,-0.326822,115358
Mulhouse,France,47.738082,7.347932,111972
Boulogne-Billancourt,France,48.835684,2.247342,109765
Rouen,France,49.433333,1.083333,108101
Nancy,France,48.69211,6.187756,106857
Perpignan,France,42.696172,2.897098,104783
Roubaix,France,50.694207,3.174556,96806
Argenteuil,France,48.939396,2.2367,95075
Tourcoing,France,50.723907,3.161168,93835
Montreuil,France,48.864151,2.443218,89125
Poitiers,France,46.583333,0.333333,86639
Avignon,France,43.945404,4.810226,85848
Versailles,France,48.803593,2.134236,85134
Nanterre,France,48.891373,2.20027,84448
Créteil,France,48.792661,2.465694,84133
Saint-Denis,France,48.934172,2.354805,84027
La Rochelle,France,46.166667,-1.15,80406
Aulnay-sous-Bois,France,48.938138,2.494022,79622
Calais,France,50.951241,1.85899,79010
Rueil-Malmaison,France,48.876503,2.189666,78645
Pau,France,43.299999,-0.366667,77475
Vitry-sur-Seine,France,48.787159,2.403322,77035
Colombes,France,48.918824,2.254044,76209
Antibes,France,43.562407,7.127766,75311
Champigny-sur-Marne,France,48.81642,2.493656,71985
Dunkirk,France,51.05,2.366667,71740
Bourges,France,47.083333,2.4,71500
Saint-Maur-des-Fossés,France,48.793945,2.493233,71267
Courbevoie,France,48.897,2.2564,70896
Béziers,France,43.345287,3.222374,68264
Saint-Nazaire,France,47.279883,-2.208804,66937
Cannes,France,43.549744,6.9943,66687
Colmar,France,48.078708,7.355401,66637
Quimper,France,48,-4.1,66251
Mérignac,France,44.832475,-0.633809,65847
Valence,France,44.92801,4.895103,63754
Drancy,France,48.925785,2.445327,63535
Troyes,France,48.300727,4.085244,61903
Noisy-le-Grand,France,48.849792,2.562658,61650
Antony,France,48.758283,2.305568,61595
La Seyne-sur-Mer,France,43.098184,5.884715,61417
Cergy,France,49.036448,2.076133,60288
Pessac,France,44.810112,-0.641294,59818
Levallois-Perret,France,48.893889,2.288635,59434
Sarcelles,France,48.99365,2.410771,59372
Lorient,France,47.75,-3.366667,59242
Saint-Quentin,France,49.849176,3.288062,58399
Chambéry,France,45.564646,5.926453,57591
Neuilly-sur-Seine,France,48.883333,2.266667,57141
Issy-les-Moulineaux,France,48.821042,2.277183,57127
Niort,France,46.323875,-0.461334,56715
Vannes,France,47.657897,-2.755735,56649
Beauvais,France,49.433333,2.083333,56526
Charleville-Mézières,France,49.768501,4.724866,54946
Hyères,France,43.119539,6.13897,54588
Cholet,France,47.060836,-0.875481,54292
Vénissieux,France,45.702538,4.871473,53678
Évreux,France,49.023288,1.155517,53040
Saint-Malo,France,48.6361,-2.004935,52909
Montauban,France,44.018194,1.364319,52818
La Roche-sur-Yon,France,46.666667,-1.433333,52595
Pantin,France,48.894369,2.409346,52147
Évry,France,48.632804,2.440492,51978
Laval,France,48.073203,-0.763399,51626
Fréjus,France,43.432858,6.735237,51514
Annecy,France,45.906206,6.126699,51119
Fontenay-sous-Bois,France,48.854419,2.482676,51077
Ajaccio,France,41.927226,8.734619,51058
Sartrouville,France,48.948203,2.19169,50954
Meaux,France,48.963579,2.882403,50910
Clichy,France,48.90018,2.309525,50908
Belfort,France,47.638831,6.854187,50809
Maisons-Alfort,France,48.811707,2.43945,50249
Arles,France,43.681659,4.636331,49925
Blois,France,47.594322,1.329122,49510
Clamart,France,48.802987,2.266917,49508
Ivry-sur-Seine,France,48.81568,2.384868,49463
Châteauroux,France,46.812479,1.693623,49170
Brive-la-Gaillarde,France,45.158003,1.535048,49092
Chalon-sur-Saône,France,46.78875,4.84877,47968
Narbonne,France,43.184417,3.008816,47433
Bondy,France,48.901797,2.489312,47242
Le Blanc-Mesnil,France,48.938725,2.461383,47234
Châlons-en-Champagne,France,48.953926,4.367238,46981
Villejuif,France,48.793899,2.359919,46913
Sevran,France,48.944716,2.527462,46648
Cagnes-sur-Mer,France,43.664595,7.153389,46624
Albi,France,43.927186,2.149255,46510
Chelles,France,48.883333,2.6,46390
Grasse,France,43.660921,6.92917,46221
Boulogne-sur-Mer,France,50.720702,1.604562,45715
Tarbes,France,43.233334,0.083333,45628
Épinay-sur-Seine,France,48.953505,2.315139,45614
Saint-Herblain,France,47.217646,-1.64841,44790
Vincennes,France,48.848603,2.437692,44781
Carcassonne,France,43.213513,2.351625,44697
Martigues,France,43.405088,5.05348,44437
Bobigny,France,48.909825,2.45012,44153
Aubagne,France,43.290958,5.586814,43979
Saint-Brieuc,France,48.510504,-2.765927,43522
Angoulême,France,45.65,0.15,43509
Mantes-la-Jolie,France,48.990163,1.70792,43439
Douai,France,50.372362,3.088996,43404
Castres,France,43.604992,2.243259,43013
Valenciennes,France,50.357065,3.527885,42941
Meudon,France,48.813807,2.235,42802
Le Cannet,France,43.574445,7.006431,42659
Wattrelos,France,50.70118,3.218116,42522
Suresnes,France,48.87143,2.229289,42243
Istres,France,43.509052,4.987973,42036
Thionville,France,49.356794,6.167606,41802
Gennevillers,France,48.933333,2.3,41553
Arras,France,50.291799,2.780306,41551
Caluire-et-Cuire,France,45.790412,4.841124,41524
Compiègne,France,49.416667,2.833333,41508
Chartres,France,48.448201,1.491737,41229
Bourg-en-Bresse,France,46.20445,5.227911,40856
Saint-Priest,France,45.696125,4.938915,40824
Rosny-sous-Bois,France,48.870172,2.499104,40571
Nevers,France,46.991203,3.157084,40520
Bayonne,France,43.483333,-1.483333,40336
Puteaux,France,48.878888,2.239264,39752
Montluçon,France,46.333333,2.6,39664
Salon-de-Provence,France,43.640737,5.095449,39598
Talence,France,44.804768,-0.595431,39514
Garges-lès-Gonesse,France,48.966188,2.410676,39285
Livry-Gargan,France,48.919303,2.543051,38935
Savigny-sur-Orge,France,48.676775,2.348351,38818
Sète,France,43.406283,3.693041,38788
Corbeil-Essonnes,France,48.606034,2.487571,38760
Alès,France,44.131126,4.087188,38661
Gap,France,44.561514,6.081061,38617
Saint-Ouen,France,48.9,2.333333,38590
Montigny-le-Bretonneux,France,48.766356,2.03405,38264
Noisy-le-Sec,France,48.891481,2.46451,38153
Saint-Germain-en-Laye,France,48.904194,2.086688,38098
Vitrolles,France,43.454847,5.24598,38052
Bagneux,France,48.795645,2.307962,38003
Marcq-en-Baroeul,France,50.681615,3.09561,37837
Montrouge,France,48.816202,2.313935,37670
Bastia,France,42.702778,9.45,37668
Massy,France,48.726924,2.283007,37529
Auxerre,France,47.7996,3.57033,37515
Gagny,France,48.883333,2.533333,37511
Rezé,France,47.181441,-1.549654,37338
Roanne,France,46.043291,4.068553,37144
Lens,France,50.431178,2.833213,36979
Anglet,France,43.476642,-1.513456,36946
Saint-Chamond,France,45.473646,4.525411,36734
Joué-lés-Tours,France,47.352234,0.669055,36725
Alfortville,France,48.80575,2.420402,36566
Vaulx-en-Velin,France,45.781801,4.920852,36564
Villepinte,France,48.962034,2.532534,36557
Bron,France,45.740218,4.922415,36263
Melun,France,48.545699,2.653562,36223
La Courneuve,France,48.92805,2.396273,35862
Haguenau,France,48.814228,7.786232,35807
Poissy,France,48.92902,2.049521,35663
Marignane,France,43.416043,5.214526,35453
Épinal,France,48.18324,6.453043,35423
Plaisir,France,48.823186,1.954099,35407
Draguignan,France,43.536545,6.463455,35217
Conflans-Sainte-Honorine,France,49.001575,2.096945,35122
Dieppe,France,49.920403,1.086542,34788
Choisy-le-Roi,France,48.768463,2.418736,34757
Cambrai,France,50.177216,3.233826,34140
Châtellerault,France,46.815274,0.541305,34022
Neuilly-sur-Marne,France,48.853733,2.549027,33940
Franconville,France,48.983333,2.233333,33870
Liévin,France,50.419797,2.78068,33588
Sainte-Geneviève-des-Bois,France,48.646824,2.319653,33133
Saint-Raphaël,France,43.424758,6.770236,33115
Maubeuge,France,50.278499,3.974426,33017
Mâcon,France,46.314074,4.828233,33004
Romans-sur-Isère,France,45.046388,5.056197,32933
Bagnolet,France,48.866667,2.416667,32781
Montélimar,France,44.558379,4.750937,32631
La Ciotat,France,43.176032,5.607892,32596
Schiltigheim,France,48.60557,7.747763,32138
Échirolles,France,45.143898,5.728831,32133
Stains,France,48.95,2.383333,31921
Châtenay-Malabry,France,48.765068,2.266547,31708
Villefranche-sur-Saône,France,45.987214,4.728309,31543
Les Mureaux,France,48.991733,1.909718,31406
Biarritz,France,43.480119,-1.555581,31231
Guyancourt,France,48.773336,2.073927,31107
Vandoeuvre-lès-Nancy,France,48.662127,6.178281,31012
Aurillac,France,44.9214,2.437319,30652
Vienne,France,45.524785,4.873453,30651
Mont-de-Marsan,France,43.889518,-0.500476,30529
Viry-Châtillon,France,48.672115,2.393179,30479
Nogent-sur-Marne,France,48.838814,2.478642,30453
Dreux,France,48.735358,1.365537,30303
Charenton-le-Pont,France,48.822086,2.412167,30298
Châtillon,France,48.802396,2.293464,30261
Creil,France,49.256722,2.484771,30250
Agen,France,44.199912,0.626641,30236
Périgueux,France,45.183333,0.716667,30198
Houilles,France,48.921609,2.192631,30101
Élancourt,France,48.784205,1.955195,30088
Saumur,France,47.256629,-0.075025,30036
Athis-Mons,France,48.705224,2.391474,30025
Béthune,France,50.529848,2.641221,29961
Colomiers,France,43.613709,1.334631,29888
Sotteville-lès-Rouen,France,49.409718,1.090055,29848
Palaiseau,France,48.716736,2.249106,29749
Thonon-les-Bains,France,46.372465,6.487007,29698
Villiers-sur-Marne,France,48.830999,2.548441,29652
Saint-Dizier,France,48.638001,4.945553,29573
Villeneuve-Saint-Georges,France,48.732194,2.44925,29506
Goussainville,France,49.013672,2.465948,29494
Soissons,France,49.380825,3.327146,29480
Saint-Laurent-du-Var,France,43.670968,7.17606,29461
Chatou,France,48.889803,2.158627,29450
Menton,France,43.774227,7.499087,29199
Lomme,France,50.643579,2.987148,29084
Orange,France,44.139195,4.807906,29053
Thiais,France,48.764965,2.3961,28905
Clichy-sous-Bois,France,48.910197,2.553235,28642
Draveil,France,48.684657,2.414175,28638
Malakoff,France,48.819988,2.299977,28583
Alençon,France,48.434758,0.093111,28505
Vierzon,France,47.216667,2.083333,28503
Saint-Médard-en-Jalles,France,44.896921,-0.721356,28405
Le Chesnay,France,48.822203,2.122129,28353
Saint-Étienne-du-Rouvray,France,49.377941,1.104673,28344
Lambersart,France,50.65,3.033333,28256
Meyzieu,France,45.770489,5.00007,28198
Pontoise,France,49.055272,2.105512,28186
Yerres,France,48.717853,2.493384,28052
Tournefeuille,France,43.583905,1.34685,28022
La Garde,France,43.122773,6.007453,28016
Trappes,France,48.774129,2.017811,28013
Saint-Cloud,France,48.845985,2.202889,28009
Carpentras,France,44.054413,5.047716,27734
Saint-Sébastien-sur-Loire,France,47.195847,-1.509875,27631
Ermont,France,48.990043,2.25804,27575
Pierrefitte-sur-Seine,France,48.966907,2.361036,27441
Annemasse,France,46.186519,6.241324,27386
Villemomble,France,48.883333,2.5,27351
Le Kremlin-Bicêtre,France,48.814713,2.360728,27194
Vallauris,France,43.577483,7.062556,27144
Bezons,France,48.924257,2.212803,27094
Sens,France,48.2,3.283333,27060
Montbéliard,France,47.510316,6.798629,26895
