Name,State,Latitude,Longitude,Population
Tbilisi,Georgia,41.72,44.79,1066100
Kutaisi,Georgia,42.26,42.72,183300
Batumi,Georgia,41.65,41.65,116900
Rustavi,Georgia,41.55,45.03,114700
Sukhumi,Georgia,43.01,41,92300
Zugdidi,Georgia,42.5,41.86,67900
Gori,Georgia,41.98,44.11,48800
Poti,Georgia,42.15,41.66,46400
Tskhinvali,Georgia,42.23,43.95,34300
Khashuri,Georgia,41.99,43.6,28200
Senaki,Georgia,42.27,42.06,27700
Samtredia,Georgia,42.17,42.35,27400
Zestaphoni,Georgia,42.11,43.01,23900
Gagra,Georgia,43.34,40.24,21800
Telavi,Georgia,41.92,45.47,21500
Marneuli,Georgia,41.47,44.8,19900
Tkvarcheli,Georgia,42.84,41.67,18800
Ozurgeti,Georgia,41.93,41.99,18700
Kobuleti,Georgia,41.82,41.78,18600
Akhaltsikhe,Georgia,41.64,42.98,17000
Tskaltubo,Georgia,42.33,42.6,16600
Ochamchira,Georgia,42.72,41.46,16500
Kaspi,Georgia,41.93,44.41,15000
Tkibuli,Georgia,42.35,42.96,14300
Chiatura,Georgia,42.29,43.27,13600
Borjomi,Georgia,41.85,43.37,13300
Gali,Georgia,42.63,41.73,12700
Gudauta,Georgia,43.1,40.62,12400
Sagarejo,Georgia,41.74,45.34,12400
Gardabani,Georgia,41.47,45.08,11700
Khoni,Georgia,42.32,42.42,11100
Lentekhi,Georgia,42.79,42.73,10700
Surami,Georgia,42.02,43.56,10300
Gurjaani,Georgia,41.75,45.8,9900
Gulripshi,Georgia,42.93,41.1,9600
Bolnisi,Georgia,41.45,44.59,9100
Akhalkalaki,Georgia,41.4,43.48,9000
Kvareli,Georgia,41.95,45.8,8900
Pitsunda,Georgia,43.15,40.35,8900
Tsalenjikha,Georgia,42.57,42.05,8900
Akhmeta,Georgia,42.04,45.2,8500
Dioknisi,Georgia,41.65,42.39,8100
Lanchkhuti,Georgia,42.08,42.03,7800
Mtskheta,Georgia,41.84,44.7,7600
Kazreti,Georgia,41.38,44.41,7300
Dusheti,Georgia,42.09,44.7,7200
Kareli,Georgia,42.02,43.89,7200
Dedoplis tskaro,Georgia,42.04,44.45,7100
Lagodekhi,Georgia,41.83,46.27,6800
Sachkhere,Georgia,42.32,43.33,6600
Tsnori,Georgia,41.62,45.96,6400
Ninotsminda,Georgia,41.27,43.58,6200
Abasha,Georgia,42.21,42.21,6100
Agara,Georgia,42.04,43.81,6000
Chakvi,Georgia,41.73,41.73,5600
Martvili,Georgia,42.4,42.37,5500
Shaumiani,Georgia,41.35,44.76,5400
Terjola,Georgia,42.3,42.98,5400
Khobi,Georgia,42.33,41.9,5300
Kharagauli,Georgia,42.02,43.21,5200
Laituri,Georgia,41.91,41.91,5100
Vale,Georgia,41.62,42.88,5100
Tianeti,Georgia,42.11,44.96,5000
Jvari,Georgia,42.72,42.05,4900
Manglisi,Georgia,41.69,44.38,4900
Bagdati,Georgia,41.82,46.03,4600
Chkhototsku,Georgia,42.5,42.1,4500
Vani,Georgia,42.1,42.51,4500
Tskneti,Georgia,41.69,44.7,4300
Aspindza,Georgia,41.57,43.26,4000
Tetri tskaro,Georgia,41.55,44.46,3900
Khelvachauri,Georgia,41.58,41.68,3800
Akhaldaba,Georgia,41.65,42.16,3700
Akhali atoni,Georgia,43.1,40.8,3500
Chokhatauri,Georgia,42.02,42.26,3500
Jinvali,Georgia,42.14,44.76,3500
Didi lilo,Georgia,41.74,44.97,3400
Dmanisi,Georgia,41.52,44.35,3400
Mestia,Georgia,43.05,42.73,3300
Oni,Georgia,42.58,43.44,3300
Makhinjauri,Georgia,41.67,41.71,3100
Naruja,Georgia,41.91,41.93,3100
Samgori,Georgia,41.7,44.93,3100
Pasanauri,Georgia,42.35,44.69,3000
Kulashi,Georgia,42.2,42.36,2800
Tsagveri,Georgia,41.8,43.48,2800
Kazbegi,Georgia,42.66,44.64,2700
Ambrolauri,Georgia,42.52,43.15,2500
Bakuriani,Georgia,41.75,43.53,2500
Kveda nasakirali,Georgia,42.01,42.24,2500
Ochkhamuri,Georgia,41.86,41.84,2100
Signagi,Georgia,41.62,45.9,2100
Tsageri,Georgia,42.65,42.76,2000
Zahesi,Georgia,41.82,44.76,2000
Shorapani,Georgia,42.1,43.12,1700
Tsalka,Georgia,41.6,44.08,1700
Ureki,Georgia,41.99,41.76,1700
Akhalgori,Georgia,42.12,44.48,1500
Keda,Georgia,41.6,41.94,1400
Abastumani,Georgia,41.7,42.85,1300
Adigeni,Georgia,41.69,42.71,1300
Bakurianis andeziti,Georgia,41.73,43.47,1100
Trialeti,Georgia,41.54,44.11,922
Sioni,Georgia,42.6,44.58,797
Khulo,Georgia,41.65,42.31,769
Kojori,Georgia,41.66,44.69,695
Tamarisi,Georgia,41.47,44.71,677
Java,Georgia,42.4,43.94,437
Shuakhevi,Georgia,41.63,42.19,381
Kvaisi,Georgia,42.52,43.65,243
Bediani,Georgia,41.54,44.24,233
Kornisi,Georgia,42.27,43.82,214
Kharistvala,Georgia,42.41,43.04,117
Lajanurhesi,Georgia,42.62,42.84,97
