City,State,Latitude,Longitude,Pop
Berlin,Germany,52.516667,13.4,3398362
Hamburg,Germany,53.55,10,1733846
Munich,Germany,48.15,11.5833,1246133
Cologne,Germany,50.933333,6.95,968823
Frankfurt,Germany,50.116667,8.683333,648034
Dortmund,Germany,51.516667,7.45,594255
Stuttgart,Germany,48.766667,9.183333,591688
Düsseldorf,Germany,51.216667,6.766667,577139
Essen,Germany,51.45,7.016667,576914
Bremen,Germany,53.083333,8.8,546429
Hanover,Germany,52.366667,9.716667,519144
Duisburg,Germany,51.433333,6.75,505271
Nuremberg,Germany,49.447778,11.068333,497593
Leipzig,Germany,51.3,12.333333,492637
Dresden,Germany,51.05,13.75,480801
Bochum,Germany,51.483333,7.216667,387061
Wuppertal,Germany,51.266667,7.183333,363240
Bielefeld,Germany,52.033333,8.533333,327198
Bonn,Germany,50.733333,7.1,314081
Mannheim,Germany,49.488333,8.464722,309626
Karlsruhe,Germany,49.004722,8.385833,284786
Münster,Germany,51.966667,7.633333,272452
Wiesbaden,Germany,50.083333,8.25,272337
Gelsenkirchen,Germany,51.516667,7.05,271647
Mönchengladbach,Germany,51.2,6.433333,264969
Augsburg,Germany,48.366667,10.883333,261842
Aachen,Germany,50.770833,6.105278,251104
Chemnitz,Germany,50.833333,12.916667,246654
Brunswick,Germany,52.266667,10.533333,245259
Krefeld,Germany,51.333333,6.566667,239908
Kiel,Germany,54.333333,10.133333,235264
Halle,Germany,51.5,12,232452
Magdeburg,Germany,52.166667,11.666667,224428
Oberhausen,Germany,51.466667,6.85,220916
Freiburg,Germany,48,7.85,213920
Lübeck,Germany,53.866667,10.7,213171
Hagen,Germany,51.35,7.466667,199497
Rostock,Germany,54.083333,12.133333,196833
Erfurt,Germany,50.983333,11.033333,196719
Kassel,Germany,51.316667,9.5,193117
Mainz,Germany,50,8.271111,187940
Hamm,Germany,51.683333,7.8,186289
Saarbrücken,Germany,49.233333,7,181779
Herne,Germany,51.55,7.216667,173121
Mülheim,Germany,51.433333,6.883333,172779
Osnabrück,Germany,52.266667,8.05,165372
Solingen,Germany,51.183333,7.083333,165192
Ludwigshafen,Germany,49.481111,8.435278,162514
Oldenburg,Germany,53.166667,8.2,160347
Leverkusen,Germany,51.016667,6.983333,159088
Neuss,Germany,51.2,6.683333,152975
Potsdam,Germany,52.4,13.066667,145291
Heidelberg,Germany,49.416667,8.7,144703
Paderborn,Germany,51.716667,8.766667,143096
Darmstadt,Germany,49.870556,8.649444,139757
Würzburg,Germany,49.787778,9.936111,134499
Ratisbon,Germany,49.015,12.095556,129643
Göttingen,Germany,51.533333,9.933333,123570
Wolfsburg,Germany,52.433333,10.8,123184
Recklinghausen,Germany,51.616667,7.2,122727
Heilbronn,Germany,49.140278,9.22,121822
Bottrop,Germany,51.516667,6.916667,120829
Ulm,Germany,48.4,10,120745
Offenbach,Germany,50.1,8.766667,120641
Ingolstadt,Germany,48.766667,11.433333,120598
Pforzheim,Germany,48.883333,8.7,120366
Bremerhaven,Germany,53.55,8.583333,119688
Remscheid,Germany,51.183333,7.2,118230
Cottbus,Germany,51.766667,14.333333,115246
Reutlingen,Germany,48.483333,9.216667,113625
Fürth,Germany,49.466667,10.966667,112959
Salzgitter,Germany,52.083333,10.333333,111622
Moers,Germany,51.45,6.65,109167
Siegen,Germany,50.866667,8.033333,108228
Koblenz,Germany,50.35,7.6,108146
Bergisch Gladbach,Germany,50.983333,7.133333,106611
Gera,Germany,50.866667,12.083333,104463
Hildesheim,Germany,52.15,9.966667,102958
Erlangen,Germany,49.589722,11.003889,102781
Witten,Germany,51.433333,7.333333,101122
Trier,Germany,49.75,6.633333,100649
Zwickau,Germany,50.733333,12.5,99343
Jena,Germany,50.933333,11.583333,99269
Kaiserslautern,Germany,49.45,7.75,98947
Iserlohn,Germany,51.366667,7.7,98190
Gütersloh,Germany,51.9,8.383333,96332
Schwerin,Germany,53.633333,11.383333,96329
Düren,Germany,50.8,6.483333,92956
Esslingen,Germany,48.75,9.3,92710
Ratingen,Germany,51.3,6.85,92306
Lünen,Germany,51.616667,7.516667,91912
Marl,Germany,51.65,7.083333,91262
