Name,State,Latitude,Longitude,Population
Budapest,Hungary,47.51,19.08,1727300
Debrecen,Hungary,47.54,21.63,205100
Miskolc,Hungary,48.1,20.79,181100
Szeged,Hungary,46.26,20.16,162500
Pecs,Hungary,46.08,18.22,158700
Gyor,Hungary,47.69,17.64,128400
Nyiregyhaza,Hungary,47.96,21.72,116200
Kecskemet,Hungary,46.91,19.69,106500
Szekesfehervar,Hungary,47.2,18.41,103300
Szombathely,Hungary,47.23,16.63,81200
Szolnok,Hungary,47.18,20.18,76700
Tatabanya,Hungary,47.55,18.44,71800
Kaposvar,Hungary,46.36,17.79,67700
Bekescsaba,Hungary,46.68,21.08,66900
Zalaegerszeg,Hungary,46.85,16.83,61600
Veszprem,Hungary,47.1,17.91,61000
Eger,Hungary,47.9,20.38,56900
Erd,Hungary,47.38,18.91,56800
Sopron,Hungary,47.68,16.58,55300
Dunaujvaros,Hungary,46.98,18.93,53200
Nagykanizsa,Hungary,46.46,16.99,52000
Hodmezovasarhely,Hungary,46.42,20.32,48300
Salgotarjan,Hungary,48.11,19.82,44900
Ozd,Hungary,48.23,20.3,38800
Baja,Hungary,46.18,18.95,37900
Cegled,Hungary,47.18,19.78,37700
Szekszard,Hungary,46.35,18.71,35600
Vac,Hungary,47.79,19.13,33700
Gyongyos,Hungary,47.78,19.92,33300
Papa,Hungary,47.33,17.47,33300
Gyula,Hungary,46.65,21.29,32700
Kazincbarcika,Hungary,48.26,20.65,32700
Hajduboszormeny,Hungary,47.68,21.51,32000
Kiskunfelegyhaza,Hungary,46.71,19.84,31900
Oroshaza,Hungary,46.57,20.67,31800
Ajka,Hungary,47.1,17.56,31700
Godollo,Hungary,47.6,19.35,31000
Szentes,Hungary,46.66,20.26,30900
Mosonmagyarovar,Hungary,47.86,17.27,30200
Kiskunhalas,Hungary,46.43,19.48,29500
Dunakeszi,Hungary,47.63,19.12,29000
Esztergom,Hungary,47.79,18.74,28900
Jaszbereny,Hungary,47.5,19.91,28100
Komlo,Hungary,46.19,18.26,27300
Nagykoros,Hungary,47.03,19.78,25600
Mako,Hungary,46.22,20.47,25400
Budaors,Hungary,47.46,18.96,24100
Tata,Hungary,47.64,18.31,24000
Szigetszentmiklos,Hungary,47.35,19.05,23900
Hajduszoboszlo,Hungary,47.45,21.4,23500
Siofok,Hungary,46.9,18.06,23300
Hatvan,Hungary,47.67,19.68,23000
Torokszentmiklos,Hungary,47.18,20.41,23000
Karcag,Hungary,47.32,20.92,22600
Szentendre,Hungary,47.7,19.05,22600
Keszthely,Hungary,46.77,17.24,21800
Bekes,Hungary,46.77,21.13,21500
Varpalota,Hungary,47.2,18.14,21500
Gyal,Hungary,47.38,19.21,21000
Dombovar,Hungary,46.38,18.13,20900
Monor,Hungary,47.35,19.45,20800
Paks,Hungary,46.62,18.86,20800
Oroszlany,Hungary,47.48,18.31,20300
Komarom,Hungary,47.74,18.12,19700
Mezotur,Hungary,47,20.61,19300
Mohacs,Hungary,46,18.68,19000
Csongrad,Hungary,46.72,20.14,18800
Mateszalka,Hungary,47.96,22.33,18600
Vecses,Hungary,47.4,19.28,18500
Szarvas,Hungary,46.87,20.56,18400
Kalocsa,Hungary,46.52,18.99,18300
Satoraljaujhely,Hungary,48.4,21.66,18200
Hajdunanas,Hungary,47.85,21.43,18100
Kisvarda,Hungary,48.22,22.08,18100
Balmazujvaros,Hungary,47.61,21.35,18000
Mezokovesd,Hungary,47.81,20.58,17900
Balassagyarmat,Hungary,48.07,19.31,17800
Tapolca,Hungary,46.89,17.44,17800
Tiszaujvaros,Hungary,47.94,21.07,17500
Szazhalombatta,Hungary,47.34,18.94,16800
Dunaharaszti,Hungary,47.35,19.09,16300
Berettyoujfalu,Hungary,47.23,21.54,16100
Fot,Hungary,47.62,19.2,16100
Puspokladany,Hungary,47.32,21.13,16000
Dabas,Hungary,47.18,19.32,15900
Abony,Hungary,47.19,20.01,15700
Sarvar,Hungary,47.26,16.93,15500
Gyomaendrod,Hungary,46.94,20.83,15400
God,Hungary,47.7,19.13,15200
Kiskoros,Hungary,46.63,19.28,15200
Mor,Hungary,47.37,18.22,14600
Sarospatak,Hungary,48.33,21.57,14600
Batonyterenye,Hungary,47.97,19.83,14400
Bonyhad,Hungary,46.3,18.53,14300
Pomaz,Hungary,47.66,19.02,14300
Gyomro,Hungary,47.42,19.4,13600
Tiszavasvari,Hungary,47.97,21.36,13600
Ujfeherto,Hungary,47.82,21.5,13600
Nyirbator,Hungary,47.84,22.14,13400
Sarbogard,Hungary,46.89,18.63,13400
Balatonfured,Hungary,46.95,17.88,13200
Sajoszentpeter,Hungary,48.22,20.72,13200
Hajduhadhaz,Hungary,47.69,21.67,12900
Kisujszallas,Hungary,47.22,20.76,12800
Nagykata,Hungary,47.41,19.74,12800
Budakeszi,Hungary,47.52,18.93,12700
Dorog,Hungary,47.72,18.72,12700
Pecel,Hungary,47.49,19.35,12700
Pilisvorosvar,Hungary,47.62,18.91,12600
Szigethalom,Hungary,47.35,19.03,12600
Kormend,Hungary,47.01,16.6,12500
Marcali,Hungary,46.58,17.42,12500
Barcs,Hungary,45.96,17.46,12300
Tiszafured,Hungary,47.61,20.75,12100
Tolna,Hungary,46.43,18.78,12100
Kiskunmajsa,Hungary,46.5,19.74,12000
Nagyatad,Hungary,46.23,17.36,12000
Tiszafoldvar,Hungary,46.98,20.26,12000
Tiszakecske,Hungary,46.94,20.09,11800
Celldomolk,Hungary,47.25,17.15,11600
Koszeg,Hungary,47.39,16.55,11600
Mezobereny,Hungary,46.83,21.02,11500
Albertirsa,Hungary,47.24,19.62,11400
Heves,Hungary,47.6,20.29,11400
Szigetvar,Hungary,46.05,17.81,11400
Torokbalint,Hungary,47.43,18.92,11200
Edeleny,Hungary,48.3,20.74,11100
Lajosmizse,Hungary,47.03,19.55,11100
Bicske,Hungary,47.48,18.63,11000
Hajdusamson,Hungary,47.6,21.76,10900
Sarkad,Hungary,46.74,21.39,10900
Csorna,Hungary,47.61,17.25,10800
Nagykallo,Hungary,47.88,21.84,10700
Kapuvar,Hungary,47.6,17.04,10600
Pilis,Hungary,47.28,19.55,10600
Veresegyhaz,Hungary,47.65,19.28,10600
Isaszeg,Hungary,47.53,19.4,10300
Paszto,Hungary,47.92,19.7,10300
Siklos,Hungary,45.85,18.29,10300
Szeghalom,Hungary,47.03,21.17,10100
Szerencs,Hungary,48.17,21.2,10100
Turkeve,Hungary,47.1,20.74,10100
Jaszapati,Hungary,47.51,20.14,9900
Janoshalma,Hungary,46.3,19.32,9800
Tamasi,Hungary,46.63,18.28,9800
Ullo,Hungary,47.3,19.23,9800
Kunszentmarton,Hungary,46.84,20.29,9700
Maglod,Hungary,47.45,19.37,9700
Hajdudorog,Hungary,47.82,21.5,9500
Budakalasz,Hungary,47.62,19.05,9300
Vasarosnameny,Hungary,48.13,22.31,9300
Derecske,Hungary,47.36,21.57,9200
Kecel,Hungary,46.53,19.24,9200
Kistarcsa,Hungary,47.58,19.18,9200
Dunafoldvar,Hungary,46.8,18.91,9100
Nadudvar,Hungary,47.42,21.17,9100
Fehergyarmat,Hungary,47.99,22.52,9000
Kunszentmiklos,Hungary,47.03,19.13,9000
Szentgotthard,Hungary,46.95,16.28,9000
Devavanya,Hungary,47.04,20.96,8900
Solymar,Hungary,47.59,18.93,8900
Rackeve,Hungary,47.17,18.93,8800
Ocsa,Hungary,47.3,19.23,8700
Tokol,Hungary,47.33,18.98,8700
Kiskunlachaza,Hungary,47.2,19.01,8600
Balatonalmadi,Hungary,47.03,18.02,8500
Kunhegyes,Hungary,47.37,20.64,8500
Lenti,Hungary,46.62,16.55,8500
Kerepes,Hungary,47.59,19.22,8400
Polgar,Hungary,47.87,21.12,8400
Biatorbagy,Hungary,47.47,18.81,8300
Ercsi,Hungary,47.25,18.9,8300
Fuzesabony,Hungary,47.75,20.41,8300
Jaszarokszallas,Hungary,47.64,19.97,8200
Gardony,Hungary,47.2,18.65,8100
Tura,Hungary,47.6,19.6,8000
Zalaszentgrot,Hungary,46.93,17.09,7900
Nyiradony,Hungary,47.7,21.92,7800
Sandorfalva,Hungary,46.36,20.11,7800
Nyergesujfalu,Hungary,47.76,18.55,7700
Soltvadkert,Hungary,46.58,19.4,7700
Tarnok,Hungary,47.38,18.86,7700
Bacsalmas,Hungary,46.13,19.33,7600
Putnok,Hungary,48.31,20.42,7600
Sulysap,Hungary,47.62,19.27,7600
Veszto,Hungary,46.93,21.26,7600
Kistelek,Hungary,46.47,19.98,7500
Zirc,Hungary,47.26,17.87,7400
Martfu,Hungary,47.02,20.28,7300
Mindszent,Hungary,46.52,20.2,7300
Acs,Hungary,47.7,18.02,7200
Csomor,Hungary,47.56,19.23,7200
Letavertes,Hungary,47.38,21.9,7200
Szentlorinc,Hungary,46.05,17.98,7200
Enying,Hungary,46.93,18.25,7100
Felsozsolca,Hungary,48.11,20.85,7100
Nyirtelek,Hungary,48.02,21.63,7100
Encs,Hungary,48.33,21.13,7000
Fegyvernek,Hungary,47.25,20.54,7000
Mezokovacshaza,Hungary,46.41,20.9,7000
Solt,Hungary,46.8,19.01,7000
Bataszek,Hungary,46.19,18.73,6900
Halasztelek,Hungary,47.37,19,6900
Nagyecsed,Hungary,47.86,22.39,6900
Ujszasz,Hungary,47.29,20.07,6900
Balkany,Hungary,47.77,21.87,6800
Ibrany,Hungary,48.14,21.71,6800
Sumeg,Hungary,46.99,17.28,6800
Battonya,Hungary,46.29,21.02,6700
Szabadszallas,Hungary,46.88,19.23,6600
Totkomlos,Hungary,46.42,20.76,6600
Fuzesgyarmat,Hungary,47.11,21.22,6500
Mezocsat,Hungary,47.82,20.91,6500
Polgardi,Hungary,47.07,18.31,6500
Szecseny,Hungary,48.09,19.53,6500
Kaba,Hungary,47.35,21.29,6400
Tapioszecso,Hungary,47.45,19.62,6400
Jaszladany,Hungary,47.37,20.18,6300
Mezohegyes,Hungary,46.32,20.82,6300
Pusztaszabolcs,Hungary,47.13,18.77,6300
Teglas,Hungary,47.73,21.69,6300
Alsozsolca,Hungary,48.08,20.88,6200
Lorinci,Hungary,47.73,19.68,6200
Piliscsaba,Hungary,47.62,18.83,6200
Izsak,Hungary,46.8,19.36,6100
Komadi,Hungary,47.01,21.5,6100
Tiszalok,Hungary,48.02,21.38,6100
Balatonboglar,Hungary,46.77,17.67,6000
Janossomorja,Hungary,47.78,17.17,6000
Kerekegyhaza,Hungary,46.94,19.48,6000
Szikszo,Hungary,48.2,20.93,6000
Tapioszele,Hungary,47.33,19.87,6000
Aszod,Hungary,47.66,19.49,5900
Berhida,Hungary,47.12,18.13,5900
Diosd,Hungary,47.4,18.93,5900
Kisber,Hungary,47.5,18.01,5900
Kondoros,Hungary,46.76,20.81,5900
Kunmadaras,Hungary,47.43,20.8,5900
Nagyhalasz,Hungary,48.14,21.76,5900
Nagyleta,Hungary,47.38,21.9,5900
Taksony,Hungary,47.34,19.07,5900
Dunavarsany,Hungary,47.29,19.09,5800
Jaszfenyzaru,Hungary,47.57,19.73,5800
Jaszkiser,Hungary,47.46,20.21,5800
Kartal,Hungary,47.68,19.54,5800
Melykut,Hungary,46.22,19.38,5800
Csorvas,Hungary,46.63,20.83,5700
Csurgo,Hungary,46.26,17.09,5700
Domsod,Hungary,47.1,19.01,5700
Erdokertes,Hungary,47.67,19.32,5700
Nagyszenas,Hungary,46.66,20.67,5700
Ujkigyos,Hungary,46.58,21.03,5700
Egyek,Hungary,47.62,20.89,5600
Tat,Hungary,47.75,18.65,5600
Tiszaluc,Hungary,48.03,21.08,5600
Elek,Hungary,46.54,21.24,5500
Hosszupalyi,Hungary,47.4,21.74,5500
Morahalom,Hungary,46.22,19.88,5500
Rakoczifalva,Hungary,47.09,20.23,5500
Vamospercs,Hungary,47.54,21.89,5500
Emod,Hungary,47.94,20.81,5400
Labatlan,Hungary,47.75,18.5,5400
Tapioszentmarton,Hungary,47.33,19.75,5400
Algyo,Hungary,46.32,20.25,5300
Fonyod,Hungary,46.73,17.55,5300
Kenderes,Hungary,47.25,20.68,5300
Orbottyan,Hungary,47.68,19.27,5300
Paty,Hungary,47.52,18.83,5300
Bugyi,Hungary,47.22,19.15,5200
Csakvar,Hungary,47.41,18.44,5200
Csenger,Hungary,47.84,22.68,5200
Devecser,Hungary,47.11,17.42,5200
Rakamaz,Hungary,48.14,21.46,5200
Korosladany,Hungary,46.97,21.08,5100
Martonvasar,Hungary,47.32,18.78,5100
Tiszaalpar,Hungary,46.81,19.99,5100
Tokaj,Hungary,48.1,21.4,5100
Balatonlelle,Hungary,46.78,17.68,5000
Kemecse,Hungary,48.07,21.8,5000
Nyekladhaza,Hungary,47.98,20.83,5000
Szegvar,Hungary,46.59,20.23,5000
Tiszacsege,Hungary,47.7,21,5000
Mezofalva,Hungary,46.93,18.77,4900
Orkeny,Hungary,47.13,19.43,4900
Petfurdo,Hungary,47.17,18.13,4900
Tab,Hungary,46.73,18.02,4900
Tompa,Hungary,46.2,19.55,4900
Alsonemedi,Hungary,47.33,19.18,4800
Velence,Hungary,47.25,18.66,4800
Zahony,Hungary,48.41,22.19,4800
Abadszalok,Hungary,47.47,20.6,4700
Mogyorod,Hungary,47.6,19.25,4700
Nagykovacsi,Hungary,47.65,19.02,4700
Nyirmada,Hungary,48.07,22.2,4700
Onga,Hungary,48.13,20.91,4700
Szentmartonkata,Hungary,47.45,19.7,4700
Szirmabesenyo,Hungary,48.16,20.79,4700
Toszeg,Hungary,47.1,20.16,4700
Vasvar,Hungary,47.05,16.8,4700
Cibakhaza,Hungary,46.97,20.2,4600
