Name,State,Latitude,Longitude,Population
Riga,Latvia,56.97,24.13,689300
Daugavpils,Latvia,55.88,26.51,112700
Liepaja,Latvia,56.51,21.01,81100
Jelgava,Latvia,56.65,23.71,56000
Jurmala,Latvia,56.98,23.76,51400
Ventspils,Latvia,57.4,21.56,39800
Rezekne,Latvia,56.51,27.32,36700
Jekabspils,Latvia,56.51,25.86,27000
Valmiera,Latvia,57.55,25.42,26300
Ogre,Latvia,56.81,24.61,24900
Tukums,Latvia,56.97,23.16,18000
Cesis,Latvia,57.32,25.27,17700
Salaspils,Latvia,56.86,24.35,17400
Kuldiga,Latvia,56.98,21.95,14000
Olaine,Latvia,56.81,23.92,12800
Saldus,Latvia,56.67,22.48,12600
Talsi,Latvia,57.25,22.59,11600
Bauska,Latvia,56.41,24.18,11000
Kraslava,Latvia,55.9,27.17,10600
Sigulda,Latvia,57.16,24.86,10500
Dobele,Latvia,56.63,23.27,10300
Ludza,Latvia,56.55,27.73,10100
Livani,Latvia,56.36,26.18,9700
Gulbene,Latvia,57.18,26.75,9400
Madona,Latvia,56.86,26.22,9300
Limbazi,Latvia,57.52,24.71,8900
Preiä»i,Latvia,56.3,26.71,8600
Aizkraukle,Latvia,56.59,25.2,8200
Balvi,Latvia,57.13,27.26,7900
Smiltene,Latvia,57.43,25.9,6700
Valka,Latvia,57.78,26,6500
Lielvarde,Latvia,56.72,24.8,5600
Aizpute,Latvia,56.72,21.61,5400
Vangazi,Latvia,57.11,24.53,4200
Broceni,Latvia,56.7,22.53,4000
Grobina,Latvia,56.55,21.16,3900
Pä»avinas,Latvia,56.62,25.72,3900
Balozi,Latvia,56.87,24.12,3600
Rujiena,Latvia,57.9,25.34,3600
Viä»ani,Latvia,56.57,26.93,3600
Kandava,Latvia,57.05,22.76,3400
Salacgriva,Latvia,57.77,24.36,3400
Ikskile,Latvia,56.82,24.5,3000
Auce,Latvia,56.47,22.9,2900
Saulkrasti,Latvia,57.29,24.41,2900
Ilukste,Latvia,55.98,26.3,2700
Karsava,Latvia,56.79,27.68,2600
Skrunda,Latvia,56.67,22.02,2600
Dagda,Latvia,56.1,27.54,2400
Kegums,Latvia,56.74,24.72,2400
Aluksne,Latvia,57.43,27.04,2300
Priekule,Latvia,56.46,21.58,2300
Varakä»ani,Latvia,56.62,26.75,2300
Baldone,Latvia,56.75,24.39,2100
Kalnciems,Latvia,56.85,23.58,2100
Jaunjelgava,Latvia,56.63,25.09,2000
Stende,Latvia,57.15,22.53,1900
Viesite,Latvia,56.36,25.56,1900
Cesvaine,Latvia,56.97,26.31,1800
Lubana,Latvia,56.9,26.73,1800
Seda,Latvia,56.18,22.08,1800
Viä»aka,Latvia,57.19,27.67,1700
Zilupe,Latvia,56.4,28.11,1700
Aloja,Latvia,57.78,24.87,1600
Ligatne,Latvia,57.19,25.05,1600
Valdemarpils,Latvia,57.38,22.59,1600
Ape,Latvia,57.55,26.69,1500
Mazsalaca,Latvia,57.87,25.04,1500
Sabile,Latvia,57.05,22.57,1500
Ainazi,Latvia,57.87,24.35,1400
Strenci,Latvia,57.64,25.67,1400
Akniste,Latvia,56.17,25.75,1200
Pavilosta,Latvia,56.89,21.17,1100
Piltene,Latvia,57.22,21.66,1000
Staicele,Latvia,57.84,24.75,1000
Subate,Latvia,56.02,25.91,842
Durbe,Latvia,56.59,21.35,466
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
