City,Country,Lat,Long,Pop
Vilnius,Lithuania,54.6833333,25.3166667,542381
Kaunas,Lithuania,54.9,23.9,374655
Klaipeda,Lithuania,55.7172222,21.1175,192314
Siauliai,Lithuania,55.9333333,23.3166667,130594
Panevezys,Lithuania,55.7333333,24.35,117400
Alytus,Lithuania,54.4,24.05,70750
Marijampole,Lithuania,54.5666667,23.35,47617
Mazeikiai,Lithuania,56.3166667,22.3333333,41314
Jonava,Lithuania,55.0833333,24.2833333,34996
Utena,Lithuania,55.5,25.6,33243
Kedainiai,Lithuania,55.2883333,23.9747222,31983
Telsiai,Lithuania,55.9813889,22.2472222,30101
Ukmerge,Lithuania,55.25,24.75,28662
Visaginas,Lithuania,55.6,26.4166667,28350
Taurage,Lithuania,55.2522222,22.2897222,27665
Plunge,Lithuania,55.9113889,21.8441667,23383
Kretinga,Lithuania,55.8166667,21.2,22238
Silute,Lithuania,55.3488889,21.4830556,21762
Radviliskis,Lithuania,55.8166667,23.5333333,19916
Palanga,Lithuania,55.9175,21.0686111,17798
Druskininkai,Lithuania,54.0166667,23.9666667,17793
Rokiskis,Lithuania,55.9666667,25.5833333,16257
Gargzdai,Lithuania,55.7127778,21.4033333,15951
Birzai,Lithuania,56.2,24.75,14912
Kursenai,Lithuania,55.985,22.9188889,13915
Garliava,Lithuania,54.8166667,23.8666667,13811
Elektrenai,Lithuania,54.7666667,24.6333333,13722
Jurbarkas,Lithuania,55.0777778,22.7663889,13103
Vilkaviskis,Lithuania,54.6516667,23.0322222,13012
Raseiniai,Lithuania,55.3736111,23.1216667,12525
Naujoji Akmene,Lithuania,56.3166667,22.9,11923
Lentvaris,Lithuania,54.65,25.05,11589
Anyksciai,Lithuania,55.5333333,25.1,11570
Grigiskes,Lithuania,54.6833333,25.0833333,11556
Prienai,Lithuania,54.6333333,23.95,11353
Joniskis,Lithuania,56.2402778,23.6152778,11114
Kelme,Lithuania,55.6338889,22.9341667,10627
Varena,Lithuania,54.2166667,24.5666667,10305
Kaisiadorys,Lithuania,54.8666667,24.45,9868
Pasvalys,Lithuania,56.0594444,24.4036111,8511
Kupiskis,Lithuania,55.8333333,24.9666667,8264
Zarasai,Lithuania,55.7333333,26.25,8096
Skuodas,Lithuania,56.2666667,21.5333333,7726
Sirvintos,Lithuania,55.05,24.95,7322
Kazlu Ruda,Lithuania,54.7666667,23.5,7248
Moletai,Lithuania,55.2333333,25.4166667,7243
Salcininkai,Lithuania,54.3,25.3833333,6892
Svencioneliai,Lithuania,55.1666667,26,6791
Sakiai,Lithuania,54.95,23.05,6614
Ignalina,Lithuania,55.35,26.1666667,6422
Pabrade,Lithuania,55,25.7833333,6376
