City,Country,Lat,Long,Pop
Marisa,Neloxia,14.36,45.5,1379600
Alzate,Neloxia,14.34,45.01,1344400
East Hellsbath,Neloxia,14.34,45.01,1343800
Swenton,Neloxia,14.34,45.01,1193000
East Marisa,Neloxia,14.34,45.01,967700
West Marisa,Neloxia,14.34,45.01,954400
Springhedge,Neloxia,14.34,45.01,943600
Upton Park,Neloxia,14.34,45.01,907000
Vampire Lake,Neloxia,14.34,45.01,903200
County City,Neloxia,14.34,45.01,196200
Mapouras,Neloxia,14.34,45.01,172400
North Marisa,Neloxia,14.34,45.01,159600
Hellsbath,Neloxia,14.34,45.01,56200
East Swenton,Neloxia,14.34,45.01,54800
Craven,Neloxia,14.34,45.01,53300
Elyria Park,Neloxia,14.34,45.01,48200
Shreveridge,Neloxia,14.34,45.01,47600
Waterbank,Neloxia,14.34,45.01,47500
Torringbury,Neloxia,14.34,45.01,45400
Kenbury,Neloxia,14.34,45.01,38900
Falchester,Neloxia,14.23,44.11,38865
Bloodglove,Neloxia,14.23,45.01,38840
Maresier,Neloxia,14.23,45.01,38816
Visano,Neloxia,14.23,45.01,38733
Girova,Neloxia,14.23,45.01,38694
Eastwick,Neloxia,14.23,45.01,38596
Westwick,Neloxia,14.23,45.01,38578
Northchester,Neloxia,14.23,45.01,38496
University City,Neloxia,14.23,45.01,38459
Sariñana,Neloxia,14.23,45.01,78881
Las Lomas,Neloxia,14.23,45.01,84192
West Alzate,Neloxia,14.23,45.01,84170
Wheat Meadow,Neloxia,14.23,45.01,84076
Kithsleigh,Neloxia,14.23,45.01,84032
Grangeshoal,Neloxia,14.23,45.01,84002
Upper Highfield,Neloxia,14.23,45.01,83914
Chevenworth,Neloxia,14.23,45.01,83871
Lower Highfield,Neloxia,14.23,45.01,83818
Central Highfield,Neloxia,14.23,45.01,83757
Ridgeburg,Neloxia,14.23,45.01,83661
Villa,Neloxia,14.23,45.01,83578
Langbottom,Neloxia,14.23,45.01,83498
Bickerbrook,Neloxia,14.23,45.01,83483
Horstdon,Neloxia,14.23,45.01,83470
Cherringfield,Neloxia,14.23,45.01,83431
Arringdon,Neloxia,14.23,45.01,83369
Tipplewall,Neloxia,14.23,45.01,83302
Holdsworth,Neloxia,14.23,45.01,83235
Stannard,Neloxia,14.23,45.01,83196
Escatrona,Neloxia,14.23,45.01,83155
Sassondin,Neloxia,14.23,45.01,83058
Sarenton,Neloxia,14.23,45.01,83024
Troutway Park,Neloxia,14.23,45.01,82939
Monzena,Neloxia,14.23,45.01,82906
North Applefair,Neloxia,14.23,45.01,82872
Plumgale,Neloxia,14.23,45.01,82803
Deeringsburne,Neloxia,14.23,45.01,82766
Saidan,Neloxia,14.23,45.01,187391
Cerisean,Neloxia,14.23,45.01,187381
Highbourne,Neloxia,14.23,45.01,187314
Aberidia,Neloxia,14.23,45.01,187266
North Teela,Neloxia,14.23,45.01,187212
Daria,Neloxia,14.23,45.01,187191
South Teela,Neloxia,14.23,45.01,187181
Fulridge,Neloxia,14.23,45.01,187087
Plainfield,Neloxia,14.23,45.01,187001
Clevebridge,Neloxia,14.23,45.01,186924
Binica,Neloxia,14.23,45.01,186868
Einsberg,Neloxia,14.23,45.01,186804
Aylmenwick,Neloxia,14.23,45.01,186774
Scourbeare,Neloxia,14.23,45.01,186751
Eaststone,Neloxia,14.23,45.01,186179
Victoria Lake,Neloxia,14.23,45.01,185950
Warklark,Neloxia,14.23,45.01,185050
Horekfell,Neloxia,14.23,45.01,184198
South Cromwell,Neloxia,14.23,45.01,183294
Adrillin,Neloxia,14.23,45.01,182465
Girenna,Neloxia,14.23,45.01,182241
Mingheath,Neloxia,14.23,45.01,181908
Bratham,Neloxia,14.23,45.01,181503
Eaststone,Neloxia,14.23,45.01,180600
Langarrow,Neloxia,14.23,45.01,180396
Teplespool,Neloxia,14.23,45.01,179773
Cravensham,Neloxia,14.23,45.01,179399
Opalcliff,Neloxia,14.23,45.01,178476
Aricenta,Neloxia,14.23,45.01,177776
Swanston,Neloxia,14.23,45.01,177514
Hodgecombe,Neloxia,14.23,45.01,176624
