Name,State,Latitude,Longitude,Population
Amsterdam,Netherlands,52.37,4.89,740400
Rotterdam,Netherlands,51.93,4.48,601600
's-gravenhage,Netherlands,52.08,4.28,469000
Utrecht,Netherlands,52.1,5.11,264700
Eindhoven,Netherlands,51.44,5.47,207800
Tilburg,Netherlands,51.57,5.07,201800
Groningen,Netherlands,53.23,6.57,177700
Almere,Netherlands,52.36,5.17,174300
Breda,Netherlands,51.58,4.77,166200
Nijmegen,Netherlands,51.84,5.85,157000
Apeldoorn,Netherlands,52.22,5.96,156700
Enschede,Netherlands,52.22,6.89,153000
Haarlem,Netherlands,52.39,4.62,148000
Arnhem,Netherlands,51.99,5.91,143100
Zaanstad,Netherlands,52.45,4.82,140300
Amersfoort,Netherlands,52.16,5.38,134800
's-hertogenbosch,Netherlands,51.7,5.31,134000
Haarlemmermeer,Netherlands,52.3,4.7,126100
Maastricht,Netherlands,50.85,5.69,121900
Dordrecht,Netherlands,51.8,4.67,120900
Leiden,Netherlands,52.17,4.49,117100
Zoetermeer,Netherlands,52.07,4.49,112900
Zwolle,Netherlands,52.52,6.09,112100
Emmen,Netherlands,52.79,6.9,110200
Ede,Netherlands,52.04,5.65,105400
Sittard-geleen,Netherlands,51.01,5.86,97800
Delft,Netherlands,52.01,4.36,97700
Heerlen,Netherlands,50.91,6.03,94000
Alkmaar,Netherlands,52.64,4.75,93400
Leeuwarden,Netherlands,53.21,5.79,91700
Venlo,Netherlands,51.38,6.17,91500
Deventer,Netherlands,52.27,6.16,87100
Helmond,Netherlands,51.48,5.65,85800
Hilversum,Netherlands,52.23,5.18,83600
Hengelo,Netherlands,52.27,6.78,82000
Roosendaal,Netherlands,51.54,4.46,79500
Amstelveen,Netherlands,52.32,4.86,77500
Purmerend,Netherlands,52.52,4.94,77300
Spijkenisse,Netherlands,51.85,4.32,77000
Schiedam,Netherlands,51.94,4.37,76500
Vlaardingen,Netherlands,51.92,4.33,74300
Leidschendam-voorburg,Netherlands,52.09,4.39,74200
Almelo,Netherlands,52.36,6.65,73800
Gouda,Netherlands,52.02,4.7,71800
Alphen,Netherlands,52.14,4.66,71700
Lelystad,Netherlands,52.52,5.45,70700
Hoorn,Netherlands,52.65,5.05,68700
Oss,Netherlands,51.76,5.52,68700
Velsen,Netherlands,52.47,4.63,68100
Bergen op zoom,Netherlands,51.5,4.29,66800
Capelle,Netherlands,51.94,4.58,66100
Assen,Netherlands,53.01,6.56,62800
Nieuwegein,Netherlands,52.03,5.08,62600
Veenendaal,Netherlands,52.02,5.55,62100
Zeist,Netherlands,52.1,5.23,60200
Den helder,Netherlands,52.96,4.75,59900
Hardenberg,Netherlands,52.57,6.61,58000
Smallingerland,Netherlands,53.11,6.09,54700
Oosterhout,Netherlands,51.65,4.86,53600
Hoogeveen,Netherlands,52.73,6.49,53500
Doetinchem,Netherlands,51.97,6.28,50300
Barneveld,Netherlands,52.14,5.57,50200
Kerkrade,Netherlands,50.87,6.06,49900
Weert,Netherlands,51.26,5.7,49100
Kampen,Netherlands,52.56,5.91,49000
Heerhugowaard,Netherlands,52.67,4.85,48600
Rijswijk,Netherlands,52.05,4.36,48500
Woerden,Netherlands,52.09,4.91,48200
Middelburg,Netherlands,51.5,3.61,46600
Noordoostpolder,Netherlands,52.72,5.76,45900
Ridderkerk,Netherlands,51.87,4.59,45900
Roermond,Netherlands,51.2,5.99,45900
Waalwijk,Netherlands,51.7,5.07,45900
Vlissingen,Netherlands,51.46,3.57,45500
Soest,Netherlands,52.18,5.29,45400
Rheden,Netherlands,52.01,6.01,45200
Heusden,Netherlands,51.69,5.16,43700
Veldhoven,Netherlands,51.39,5.38,43100
De bilt,Netherlands,52.12,5.17,42800
Heerenveen,Netherlands,52.96,5.92,42800
Bemmel,Netherlands,51.9,5.9,42500
