City,Country,Lat,Long,Pop
Lagos,Nigeria,6.453056,3.395833,8789133
Kano,Nigeria,11.994354,8.513807,3626204
Ibadan,Nigeria,7.387778,3.896389,3565810
Kaduna,Nigeria,10.522239,7.43828,1582211
Port Harcourt,Nigeria,4.777423,7.013404,1148753
Bénin,Nigeria,6.335045,5.627492,1125126
Maiduguri,Nigeria,11.846441,13.160274,1112511
Zaria,Nigeria,11.113236,7.725176,975228
Aba,Nigeria,5.106576,7.366667,897613
Ogbomosho,Nigeria,8.133333,4.266667,861303
Jos,Nigeria,9.916667,8.9,816876
Ilorin,Nigeria,8.5,4.55,814246
Oyo,Nigeria,7.85,3.933333,736113
Enugu,Nigeria,6.4402,7.4943,653436
Abeokuta,Nigeria,7.15,3.35,593140
Sokoto,Nigeria,13.048025,5.214285,563899
Onitsha,Nigeria,6.14543,6.788452,561106
Warri,Nigeria,5.516667,5.75,536068
Oshogbo,Nigeria,7.766667,4.566667,499444
Calabar,Nigeria,4.9517,8.322,461832
Katsina,Nigeria,12.989428,7.600628,432179
Akure,Nigeria,7.25256,5.193118,420623
Ife,Nigeria,7.466667,4.566667,372191
Iseyin,Nigeria,7.966667,3.6,340707
Bauchi,Nigeria,10.313441,9.843273,316173
Ikorodu,Nigeria,6.615483,3.508673,313468
Makurdi,Nigeria,7.7411,8.5121,292664
Minna,Nigeria,9.613889,6.556944,291930
Ede,Nigeria,7.733333,4.433333,283728
Ilesha,Nigeria,8.916667,3.416667,277922
Owo,Nigeria,7.196195,5.586806,276593
Umuahia,Nigeria,5.526269,7.489589,264680
Ondo,Nigeria,7.1,4.833333,257023
Damaturu,Nigeria,11.747,11.9608,255913
Ikot Ekpene,Nigeria,5.181475,7.934195,254821
Iwo,Nigeria,7.633333,4.183333,250459
Gombe,Nigeria,10.28969,11.167288,250278
Jimeta,Nigeria,9.283333,12.466667,248166
Gusau,Nigeria,12.162784,6.661348,226873
Mubi,Nigeria,10.267607,13.26436,225721
Ikire,Nigeria,7.35,4.183333,222174
Owerri,Nigeria,5.483333,7.030407,215053
Shagamu,Nigeria,6.843226,3.647763,214574
Ugep,Nigeria,5.8086,8.0812,200293
Gboko,Nigeria,7.3179,8.9951,195710
Nnewi,Nigeria,6.019864,6.914775,194002
Ise,Nigeria,7.4632,5.4281,190077
Ilawe,Nigeria,7.5986,5.1086,182896
Ikare,Nigeria,7.516667,5.75,182779
Ila,Nigeria,8.016667,4.9,179204
Shaki,Nigeria,8.666667,3.383333,178688
Abuja,Nigeria,9.180515,7.179327,174152
Bida,Nigeria,9.083333,6.016667,171672
Awka,Nigeria,6.210095,7.074115,167751
Ijero,Nigeria,7.8139,5.0742,167644
