City,Country,Lat,Long,Pop
Warszawa,Poland,52.26,21.02,1676600
Lodz,Poland,51.77,19.46,776400
Krakow,Poland,50.06,19.96,757800
Wroclaw,Poland,51.11,17.03,636800
Poznan,Poland,52.4,16.9,574100
Gdansk,Poland,54.36,18.64,462000
Szczecin,Poland,53.43,14.53,414200
Bydgoszcz,Poland,53.12,18.01,369500
Lublin,Poland,51.24,22.57,358400
Katowice,Poland,50.26,19.02,321100
Bialystok,Poland,53.14,23.16,291300
Gdynia,Poland,54.52,18.53,253800
Czestochowa,Poland,50.81,19.13,249200
Sosnowiec,Poland,50.28,19.12,229200
Radom,Poland,51.4,21.16,228100
Kielce,Poland,50.89,20.65,210000
Torun,Poland,53.02,18.61,209700
Gliwice,Poland,50.31,18.67,200700
Zabrze,Poland,50.3,18.78,193200
Bytom,Poland,50.35,18.91,190700
Bielsko-biala,Poland,49.82,19.05,176900
Olsztyn,Poland,53.78,20.49,172300
Rzeszow,Poland,50.05,22,159000
Ruda slaska,Poland,50.3,18.88,147800
Rybnik,Poland,50.1,18.55,142400
Tychy,Poland,50.16,19,132000
Dabrowa gornicza,Poland,50.33,19.18,131100
Walbrzych,Poland,50.78,16.28,128500
Opole,Poland,50.68,17.94,128300
Plock,Poland,52.55,19.7,127900
Elblag,Poland,54.18,19.4,127800
Gorzow wielkopolski,Poland,52.74,15.23,125000
Wloclawek,Poland,52.66,19.06,120700
Tarnow,Poland,50.01,20.99,118900
Zielona gora,Poland,51.94,15.49,118300
Chorzow,Poland,50.3,19.03,115000
Kalisz,Poland,51.77,18.1,109100
Koszalin,Poland,54.19,16.18,107900
Legnica,Poland,51.21,16.16,106400
Grudziadz,Poland,53.49,18.75,99800
Slupsk,Poland,54.47,17.02,99300
Jaworzno,Poland,50.21,19.27,96500
Jastrzebie-zdroj,Poland,49.99,18.59,96200
Jelenia gora,Poland,50.91,15.73,88100
Nowy sacz,Poland,49.63,20.7,84600
Konin,Poland,52.21,18.25,81700
Piotrkow trybunalski,Poland,51.41,19.7,80400
Lubin,Poland,51.4,16.2,77900
Inowroclaw,Poland,52.78,18.25,77800
Siedlce,Poland,52.17,22.28,76700
Myslowice,Poland,50.24,19.14,75400
Pila,Poland,53.15,16.74,75300
Ostrowiec swietokrzyski,Poland,50.95,21.39,74600
Siemianowice slaskie,Poland,50.33,19.05,73500
Ostrow wielkopolski,Poland,51.66,17.8,73200
Pabianice,Poland,51.67,19.35,71500
Stargard szczecinski,Poland,53.34,15.02,71200
Gniezno,Poland,52.53,17.61,70200
Glogow,Poland,51.67,16.08,69300
Suwalki,Poland,54.11,22.94,69000
Chelm,Poland,51.14,23.49,68300
Przemysl,Poland,49.79,22.78,67300
Tomaszow mazowiecki,Poland,51.54,20.03,67300
Stalowa wola,Poland,50.57,22.05,66800
Zamosc,Poland,50.73,23.26,66500
Kedzierzyn-kozle,Poland,50.34,18.21,66100
Lomza,Poland,53.18,22.07,63800
Leszno,Poland,51.85,16.57,63600
Zory,Poland,50.07,18.69,63200
Belchatow,Poland,51.37,19.36,62900
Tarnowskie gory,Poland,50.46,18.86,61500
Mielec,Poland,50.29,21.43,61200
Swidnica,Poland,50.85,16.49,60700
Piekary slaskie,Poland,50.4,18.96,60200
Tczew,Poland,54.1,18.78,60100
Raciborz,Poland,50.09,18.22,58800
Bedzin,Poland,50.34,19.13,58600
Zgierz,Poland,51.87,19.41,58100
Biala podlaska,Poland,52.04,23.11,57800
Swietochlowice,Poland,50.29,18.94,55900
Elk,Poland,53.83,22.36,55500
Pruszkow,Poland,52.22,20.82,54700
Ostroleka,Poland,53.09,21.57,54000
Starachowice,Poland,51.06,21.07,54000
Zawiercie,Poland,50.49,19.42,53500
Legionowo,Poland,52.41,20.92,50700
Tarnobrzeg,Poland,50.59,21.68,50300
Pulawy,Poland,51.43,21.98,50100
Skarzysko-kamienna,Poland,51.12,20.88,49800
Wodzislaw slaski,Poland,50.04,18.4,49600
Radomsko,Poland,51.07,19.44,49400
Skierniewice,Poland,51.96,20.14,48800
Starogard gdanski,Poland,53.97,18.52,48600
Kutno,Poland,52.24,19.36,48400
Krosno,Poland,49.7,21.76,47900
Nysa,Poland,50.48,17.34,47900
Debica,Poland,50.06,21.42,47400
Ciechanow,Poland,52.88,20.62,46500
Zdunska wola,Poland,51.61,18.94,44700
Kolobrzeg,Poland,54.19,15.57,44600
Sieradz,Poland,51.6,18.74,44500
Wejherowo,Poland,54.6,18.23,44500
Rumia,Poland,54.59,18.37,44400
Otwock,Poland,52.11,21.28,42700
Oswiecim,Poland,50.04,19.26,41600
Zyrardow,Poland,52.06,20.45,41400
Swinoujscie,Poland,53.91,14.25,41300
Boleslawiec,Poland,51.26,15.56,41000
Sopot,Poland,54.44,18.56,40900
