City,Country,Latitude,Longitude,Population
San Juan,Puerto Rico,18.46617,-66.106654,"381,931"
Bayamón,Puerto Rico,18.394095,-66.147379,"185,996"
Carolina,Puerto Rico,18.442644,-66.023135,"157,832"
Ponce,Puerto Rico,18.011655,-66.614425,"132,502"
Caguas,Puerto Rico,18.226545,-66.037464,"82,243"
Guaynabo,Puerto Rico,18.366724,-66.117555,"75,443"
Mayagüez,Puerto Rico,18.221895,-67.485775,"70,463"
Trujillo Alto,Puerto Rico,18.35628,-66.006528,"48,437"
Arecibo,Puerto Rico,18.480905,-66.700119,"44,191"
Fajardo,Puerto Rico,18.34023,-65.640899,"28,930"
Cataño,Puerto Rico,18.440475,-66.121374,"28,140"
Levittown,Puerto Rico,18.444481,-66.176964,"26,960"
Vega Baja,Puerto Rico,18.446,-66.387554,"25,905"
Guayama,Puerto Rico,17.9852,-66.113154,"22,691"
Humacao,Puerto Rico,18.15147,-65.823374,"18,629"
Yauco,Puerto Rico,18.040767,-66.846671,"17,186"
Candelaria,Puerto Rico,18.05262,-67.082604,"16,760"
Cayey,Puerto Rico,18.11447,-66.169599,"16,680"
Manatí,Puerto Rico,18.430565,-66.484859,"14,011"
Aguadilla,Puerto Rico,18.434605,-67.155194,"13,310"
Dorado,Puerto Rico,18.460796,-66.264879,"13,258"
Río Grande,Puerto Rico,18.37657,-67.224894,"12,677"
Hormigueros,Puerto Rico,18.14102,-67.122429,"12,443"
Coamo,Puerto Rico,18.0845,-66.357154,"11,522"
Isabela,Puerto Rico,18.501225,-67.021119,"11,255"
San Germán,Puerto Rico,18.081305,-67.041644,"10,989"
Vega Alta,Puerto Rico,18.412218,-66.331748,"10,266"
Corozal,Puerto Rico,18.344876,-66.316563,"10,160"
Pájaros,Puerto Rico,18.366243,-66.195296,"10,122"
Cabo Rojo,Puerto Rico,18.089679,-67.145237,"9,803"
Sabana Seca,Puerto Rico,18.423143,-66.189687,"9,705"
San Sebastián,Puerto Rico,18.33905,-66.989869,"9,622"
Utuado,Puerto Rico,18.269076,-66.705187,"8,397"
Aibonito,Puerto Rico,18.139885,-66.265684,"8,249"
Sabana Grande,Puerto Rico,18.081525,-66.959279,"8,179"
San Lorenzo,Puerto Rico,18.307196,-66.44134,"8,037"
Juana Díaz,Puerto Rico,18.058779,-66.505786,"7,916"
Luquillo,Puerto Rico,18.376691,-65.716453,"7,761"
Gurabo,Puerto Rico,18.25721,-65.973714,"7,609"
San Antonio,Puerto Rico,18.49171,-67.098439,"7,574"
Juncos,Puerto Rico,18.235668,-65.921016,"7,564"
Canóvanas,Puerto Rico,18.375482,-65.904409,"7,297"
Guánica,Puerto Rico,17.971425,-66.906839,"7,254"
Campanilla,Puerto Rico,18.4233,-66.237198,"6,868"
San Isidro,Puerto Rico,18.32169,-65.273018,"6,828"
Arroyo,Puerto Rico,17.962191,-66.063881,"6,396"
Yabucoa,Puerto Rico,18.046545,-65.877269,"6,047"
Puerto Real,Puerto Rico,18.095048,-65.472743,"5,983"
Santa Isabel,Puerto Rico,17.969195,-66.403934,"5,976"
Las Piedras,Puerto Rico,18.184661,-65.863689,"5,883"
Peñuelas,Puerto Rico,18.05673,-66.721964,"5,859"
Coco,Puerto Rico,18.00103,-66.260307,"5,758"
Ceiba,Puerto Rico,18.26838,-65.647544,"5,633"
Ingenio,Puerto Rico,18.444201,-66.226402,"5,354"
Quebradillas,Puerto Rico,18.231436,-66.293388,"5,282"
Cidra,Puerto Rico,18.279455,-67.110149,"5,109"
Añasco,Puerto Rico,18.282085,-67.141294,"5,075"
Punta Santiago,Puerto Rico,18.162875,-65.750409,"4,964"
Lares,Puerto Rico,18.312937,-66.831944,"4,917"
Candelaria Arenas,Puerto Rico,18.41872,-66.218597,"4,818"
Salinas,Puerto Rico,17.985175,-66.295739,"4,771"
Florida,Puerto Rico,18.363295,-66.562792,"4,711"
Santa Bárbara,Puerto Rico,18.440361,-66.286492,"4,622"
Lajas,Puerto Rico,18.052895,-67.058159,"4,586"
Naguabo,Puerto Rico,18.21393,-65.735904,"4,443"
Hatillo,Puerto Rico,18.29821,-67.187819,"4,439"
Adjuntas,Puerto Rico,18.16324,-66.723049,"4,406"
Guayanilla,Puerto Rico,18.031255,-66.794164,"3,949"
