Name,State,Latitude,Longitude,Population
Bucuresti,Romania,44.44,26.1,1897100
Iasi,Romania,47.17,27.57,318400
Cluj-napoca,Romania,46.78,23.59,314800
Timisoara,Romania,45.76,21.23,314500
Constanta,Romania,44.18,28.63,307400
Craiova,Romania,44.33,23.82,299600
Galati,Romania,45.44,28.04,295600
Brasov,Romania,45.66,25.61,281000
Ploiesti,Romania,44.94,26.03,230100
Braila,Romania,45.28,27.97,214800
Oradea,Romania,47.07,21.92,204500
Bacau,Romania,46.58,26.92,174200
Arad,Romania,46.19,21.32,171100
Pitesti,Romania,44.86,24.87,167100
Sibiu,Romania,45.79,24.13,153500
Targu-mures,Romania,46.55,24.56,148100
Baia mare,Romania,47.66,23.58,136600
Buzau,Romania,45.15,26.82,131800
Satu mare,Romania,47.79,22.89,114500
Botosani,Romania,47.75,26.67,114200
Ramnicu valcea,Romania,45.11,24.38,106600
Suceava,Romania,47.64,26.26,105100
Piatra neamt,Romania,46.94,26.37,104400
Drobeta-turnu severin,Romania,44.64,22.66,103000
Focsani,Romania,45.7,27.18,102200
Targu jiu,Romania,45.05,23.26,95600
Tulcea,Romania,45.19,28.8,91800
Targoviste,Romania,44.95,25.45,88500
Resita,Romania,45.3,21.89,83100
Bistrita,Romania,47.14,24.5,80600
Slatina,Romania,44.44,24.36,78400
Hunedoara,Romania,45.77,22.92,70700
Vaslui,Romania,46.65,27.73,69600
Calarasi,Romania,44.2,27.33,69300
Giurgiu,Romania,43.9,25.97,68900
Roman,Romania,46.93,26.93,68800
Deva,Romania,45.89,22.91,68700
Barlad,Romania,46.23,27.66,68500
Alba iulia,Romania,46.08,23.57,65700
Zalau,Romania,47.18,23.06,62700
Sfantu gheorghe,Romania,45.87,25.79,60900
Turda,Romania,46.57,23.78,55200
Medias,Romania,46.17,24.36,54600
Slobozia,Romania,44.57,27.38,52100
Onesti,Romania,46.26,26.76,51200
Alexandria,Romania,43.99,25.34,50100
Petrosani,Romania,45.41,23.38,45000
Lugoj,Romania,45.69,21.91,44100
Medgidia,Romania,44.25,28.28,43400
Pascani,Romania,47.25,26.72,41700
Tecuci,Romania,45.86,27.43,41600
Miercurea-ciuc,Romania,46.37,25.81,41400
Sighetu marmatiei,Romania,47.93,23.91,40800
Mangalia,Romania,43.83,28.58,39600
Campina,Romania,45.13,25.74,38400
Ramnicu sarat,Romania,45.38,27.06,38400
Dej,Romania,47.15,23.89,38100
Campulung,Romania,45.27,25.04,37900
Odorheiu secuiesc,Romania,46.32,25.3,36600
Reghin,Romania,46.78,24.71,35700
Mioveni,Romania,44.95,24.95,35500
Fagaras,Romania,45.84,24.97,35400
Caracal,Romania,44.13,24.36,34300
Fetesti,Romania,44.38,27.84,32900
Curtea de arges,Romania,45.14,24.68,32300
Navodari,Romania,44.33,28.61,32100
Sighisoara,Romania,46.22,24.79,32000
Rosiori de vede,Romania,44.12,25,31600
Dorohoi,Romania,47.96,26.4,30800
Lupeni,Romania,45.36,23.24,30500
Turnu magurele,Romania,43.76,24.87,29900
Sacele,Romania,45.62,25.71,29700
Voluntari,Romania,44.47,26.13,29700
Falticeni,Romania,47.46,26.3,29600
Vulcan,Romania,45.38,23.29,29500
Husi,Romania,46.68,28.06,29300
Aiud,Romania,46.32,23.73,28600
Caransebes,Romania,45.41,22.22,28000
Radauti,Romania,47.85,25.92,27500
Sebes,Romania,45.96,23.57,27400
Oltenita,Romania,44.08,26.63,26900
Borsa,Romania,47.65,24.67,26800
