City,State,Latitude,Longitude,Population
Moscow,Russia,55.752222,37.615556,10381288
Saint Petersburg,Russia,59.894444,30.264167,4039751
Novosibirsk,Russia,55.0415,82.9346,1419016
Yekaterinburg,Russia,56.8519,60.6122,1287586
Nizhniy Novgorod,Russia,56.326944,44.0075,1284176
Samara,Russia,53.1835,50.1182,1134742
Omsk,Russia,55,73.4,1129289
Kazan,Russia,55.78874,49.122144,1104750
Rostov-na-Donu,Russia,47.23135,39.723284,1074495
Chelyabinsk,Russia,55.154444,61.429722,1062931
Ufa,Russia,54.785167,56.045621,1033350
Volgograd,Russia,48.71939,44.501835,1010331
Perm,Russia,58.009282,56.284063,982428
Krasnoyarsk,Russia,56.0091,92.8628,907460
Saratov,Russia,51.540556,46.008611,863734
Voronezh,Russia,51.672035,39.184301,840590
Tolyatti,Russia,53.5303,49.3461,718495
Krasnodar,Russia,45.0488,38.9725,649860
Ulyanovsk,Russia,54.328241,48.38657,640685
Izhevsk,Russia,56.849756,53.204479,631044
Yaroslavl,Russia,57.61977,39.85536,606735
Barnaul,Russia,53.360556,83.763611,599586
Vladivostok,Russia,43.128056,131.901111,587029
Irkutsk,Russia,52.297778,104.296389,586702
Khabarovsk,Russia,48.480833,135.092778,578307
Novokuznetsk,Russia,53.7557,87.1099,539622
Ryazan,Russia,54.6269,39.6916,520177
Tyumen,Russia,57.152222,65.527222,519124
Lipetsk,Russia,52.603111,39.570762,515659
Penza,Russia,53.200656,45.004643,512607
Astrakhan,Russia,46.349683,48.040756,502537
Makhachkala,Russia,42.976378,47.502356,497967
Tomsk,Russia,56.494167,84.974167,485523
Kemerovo,Russia,55.333333,86.083333,477096
Tula,Russia,54.202133,37.644294,468830
Kirov,Russia,58.596654,49.660068,457387
Cheboksary,Russia,56.132222,47.251944,446786
Kaliningrad,Russia,54.706493,20.510951,434959
Bryansk,Russia,53.252089,34.371666,427241
Ivanovo,Russia,56.997192,40.971392,420843
Magnitogorsk,Russia,53.418611,59.047222,413357
Kursk,Russia,51.737329,36.187349,409435
Tver,Russia,56.860491,35.876027,400216
Nizhniy Tagil,Russia,57.919444,59.965,381121
Stavropol,Russia,45.0428,41.9734,363069
Ulan-Ude,Russia,51.826053,107.609794,360281
