City,Country,Lat,Long,Pop
Dakar,Senegal,14.6708333,-17.4380556,2702820
Thiès,Senegal,14.8,-16.9333333,320721
Kaolack,Senegal,14.15,-16.0666667,289633
Ziguinchor,Senegal,12.5833333,-16.2719444,255391
Mbour,Senegal,14.4,-16.9666667,194682
Saint-Louis,Senegal,16.0188889,-16.4952778,176048
Diourbel,Senegal,14.6666667,-16.25,126400
Louga,Senegal,15.6166667,-16.2166667,117333
Richard Toll,Senegal,16.4666667,-15.6833333,91500
Tambacounda,Senegal,13.7833333,-13.6666667,83467
Kolda,Senegal,12.8833333,-14.95,80632
Mbacké,Senegal,14.8,-15.9166667,78635
Fatick,Senegal,14.3333333,-16.4166667,62987
Tivaouane,Senegal,14.95,-16.8166667,56828
Bignona,Senegal,12.8102778,-16.2263889,45918
Kaffrine,Senegal,14.1,-15.55,33572
Bambey,Senegal,14.7,-16.4666667,32874
Dagana,Senegal,16.5166667,-15.5,31310
Pout,Senegal,14.7738889,-17.0602778,29387
Vélingara,Senegal,13.15,-14.1166667,27566
Nioro,Senegal,13.75,-15.8,21846
Kébémèr,Senegal,15.3666667,-16.45,21409
Sédhiou,Senegal,12.7080556,-15.5569444,20756
Mékhé,Senegal,15.1166667,-16.6333333,20207
Dahra,Senegal,15.35,-15.4833333,17656
Kédougou,Senegal,12.4833333,-11.95,16612
Sokone,Senegal,13.8833333,-16.3666667,15460
Guinguinéo,Senegal,14.2666667,-15.95,15201
Koungheul,Senegal,13.9833333,-14.8,14786
Khombole,Senegal,14.7666667,-16.7,14762
Waoundé,Senegal,15.2666667,-12.8666667,13688
Matam,Senegal,15.6666667,-13.25,12277
Gossas,Senegal,14.5,-16.0666667,10244
Linguère,Senegal,15.4,-15.1166667,10228
Bakel,Senegal,14.9,-12.45,10202
Goudomp,Senegal,12.5777778,-15.8722222,10098
Ourossogui,Senegal,15.6,-13.3166667,9741
Marsassoum,Senegal,12.8275,-15.9805556,9116
Thiadiaye,Senegal,14.4166667,-16.7,7495
Oussouye,Senegal,12.485,-16.5469444,7107
Podor,Senegal,16.6666667,-14.95,6984
Diofior,Senegal,14.1833333,-16.6666667,6407
Gandiaye,Senegal,14.2333333,-16.2666667,5984
Ndioum,Senegal,16.5166667,-14.65,5304
Kanel,Senegal,15.4833333,-13.1666667,5138
Thilogne,Senegal,15.9666667,-13.6,4968
Foundiougne,Senegal,14.1333333,-16.4666667,4718
Passi,Senegal,13.9833333,-16.2666667,4521
Semmé,Senegal,15.2,-12.95,3717
Kahone,Senegal,14.15,-16.0333333,2825
Golléré,Senegal,16.25,-14.1,2684
