City,Country,Lat,Long,Pop
Belgrade,Serbia,44.818611,20.468056,1115200
Pristina,Serbia,42.666667,21.166667,254023
Novi Sad,Serbia,45.251667,19.836944,194405
Nis,Serbia,43.324722,21.903333,173775
Prizren,Serbia,42.213889,20.739722,159145
Kragujevac,Serbia,44.016667,20.916667,149275
Subotica,Serbia,46.1,19.666667,99595
Urosevac,Serbia,42.370556,21.155278,94278
Pec,Serbia,42.66,20.292222,93161
Gnjilane,Serbia,42.468889,21.463333,88287
Kosovska Mitrovica,Serbia,42.883333,20.866667,84736
Zrenjanin,Serbia,45.383611,20.381944,79410
Pancevo,Serbia,44.870833,20.640278,77201
Cacak,Serbia,43.891389,20.349722,75062
Leskovac,Serbia,42.998056,21.946111,63683
Smederevo,Serbia,44.662778,20.93,63058
Valjevo,Serbia,44.270833,19.884167,62471
Kraljevo,Serbia,43.725833,20.689444,58140
Krusevac,Serbia,43.58,21.333889,57417
Vranje,Serbia,42.551389,21.900278,56199
Novi Pazar,Serbia,43.136667,20.512222,56028
Uzice,Serbia,43.855833,19.841111,55670
Sabac,Serbia,44.746667,19.69,55114
Sombor,Serbia,45.774167,19.112222,51607
Podujevo,Serbia,42.910556,21.193056,46513
Pozarevac,Serbia,44.615278,21.1825,42057
Kikinda,Serbia,45.829722,20.465278,41704
Pirot,Serbia,43.153056,22.586111,40928
Zajecar,Serbia,43.904167,22.284722,39849
Bor,Serbia,44.078333,22.095278,39388
Sremska Mitrovica,Serbia,44.976389,19.612222,39286
Borca,Serbia,44.870278,20.458611,37844
Vrsac,Serbia,45.116667,21.303611,36036
Jagodina,Serbia,43.981389,21.262222,35282
Ruma,Serbia,45.008056,19.822222,33116
Kosovo Polje,Serbia,42.639444,21.096111,32098
Backa Palanka,Serbia,45.250833,19.391944,30208
Indija,Serbia,45.049167,20.079167,27228
Prokuplje,Serbia,43.234167,21.588056,26937
Vrbas,Serbia,45.571389,19.640833,25991
Orahovac,Serbia,42.399444,20.654722,25889
Becej,Serbia,45.618889,20.036111,25562
Smederevska Palanka,Serbia,44.365833,20.962778,25516
