City,Country,Lat,Long,Pop
Ljubljana,Slovenia,46.0552778,14.5144444,255115
Maribor,Slovenia,46.5547222,15.6466667,89056
Celje,Slovenia,46.2361111,15.2675,37115
Kranj,Slovenia,46.2411111,14.3616667,34950
Velenje,Slovenia,46.3591667,15.1102778,26426
Koper,Slovenia,45.5469444,13.7294444,23273
Novo Mesto,Slovenia,45.7925,15.1647222,22417
Ptuj,Slovenia,46.4213889,15.8697222,18141
Trbovlje,Slovenia,46.155,15.0533333,15993
Nova Gorica,Slovenia,45.9613889,13.6436111,12748
Kamnik,Slovenia,46.2197222,14.6094444,12584
Jesenice,Slovenia,46.4305556,14.0669444,12511
Murska Sobota,Slovenia,46.6625,16.1663889,12412
Skofja Loka,Slovenia,46.1672222,14.3088889,12013
Domzale,Slovenia,46.1380556,14.5977778,11647
Izola,Slovenia,45.5369444,13.6619444,10355
Kocevje,Slovenia,45.6433333,14.8633333,8841
Postojna,Slovenia,45.7769444,14.2166667,8626
Logatec,Slovenia,45.9144444,14.2258333,8014
Slovenj Gradec,Slovenia,46.5102778,15.0805556,7933
Ravne,Slovenia,45.9625,15.0127778,7671
Vrhnika,Slovenia,45.9661111,14.2955556,7623
Krsko,Slovenia,45.9530556,15.4894444,6926
Zagorje ob Savi,Slovenia,46.1341667,15.0013889,6799
Slovenska Bistrica,Slovenia,46.3927778,15.5744444,6561
Ajdovscina,Slovenia,45.8875,13.9111111,6527
Litija,Slovenia,46.0586111,14.8225,6459
Brezice,Slovenia,45.9033333,15.5911111,6298
Grosuplje,Slovenia,45.9555556,14.6588889,6256
Lucija,Slovenia,45.4963889,13.6136111,6036
Radovljica,Slovenia,46.3444444,14.1744444,5978
Crnomelj,Slovenia,45.5711111,15.1888889,5840
Hrastnik,Slovenia,46.1461111,15.0813889,5800
Idrija,Slovenia,46.0027778,14.0305556,5784
Menges,Slovenia,46.1669444,14.575,5742
Bled,Slovenia,46.3691667,14.1136111,5205
Medvode,Slovenia,46.1333333,14.4333333,4954
Zalec,Slovenia,46.2536111,15.1675,4859
Ilirska Bistrica,Slovenia,45.5697222,14.2408333,4846
Sevnica,Slovenia,46.0077778,15.3155556,4836
Slovenske Konjice,Slovenia,46.3366667,15.4258333,4830
Sezana,Slovenia,45.7069444,13.8722222,4797
Rogaska Slatina,Slovenia,46.2375,15.6397222,4724
Sentjur,Slovenia,46.2172222,15.3975,4710
Ruse,Slovenia,46.5394444,15.5158333,4497
Prevalje,Slovenia,46.5469444,14.9208333,4469
Piran,Slovenia,45.5277778,13.5705556,4032
Trzic,Slovenia,46.3666667,14.3166667,3925
Sempeter,Slovenia,45.9275,13.6411111,3886
Miklavz na Dravskem Polju,Slovenia,46.5058333,15.6972222,3799
Tolmin,Slovenia,46.1863889,13.7361111,3684
Ziri,Slovenia,46.0422222,14.1072222,3587
Cerknica,Slovenia,45.7930556,14.3625,3531
Ribnica,Slovenia,45.7386111,14.7275,3482
Mezica,Slovenia,46.5213889,14.8544444,3445
Trzin,Slovenia,46.1333333,14.5666667,3420
Lasko,Slovenia,46.1519444,15.2363889,3389
Ljutomer,Slovenia,46.5208333,16.1975,3387
Dravograd,Slovenia,46.5880556,15.0191667,3381
Lendava,Slovenia,46.5613889,16.4505556,3377
Solkan,Slovenia,45.9713889,13.6494444,3252
Metlika,Slovenia,45.6472222,15.3141667,3237
Gornja Radgona,Slovenia,46.6733333,15.9922222,3194
Zelezniki,Slovenia,46.2333333,14.1666667,3175
Trebnje,Slovenia,45.9041667,15.0216667,3162
Vir,Slovenia,45.9525,14.8177778,3102
Ankaran,Slovenia,45.5786111,13.7361111,2895
Zrece,Slovenia,46.3822222,15.3791667,2874
Lesce,Slovenia,46.3611111,14.1577778,2788
Sostanj,Slovenia,46.38,15.0486111,2776
Portoroz,Slovenia,45.5161111,13.5883333,2769
Sencur,Slovenia,46.2455556,14.4197222,2745
Radlje ob Dravi,Slovenia,46.6141667,15.2263889,2661
Lenart,Slovenia,46.5761111,15.8313889,2567
Muta,Slovenia,46.6113889,15.1661111,2410
Senovo,Slovenia,46.0236111,15.4769444,2404
Vrtojba,Slovenia,45.9125,13.6341667,2385
Polzela,Slovenia,46.2833333,15.0666667,2363
Crna na Koroskem,Slovenia,46.4666667,15.85,2346
Brezovica pri Ljubljani,Slovenia,46.0333333,14.4,2345
Radece,Slovenia,46.0680556,15.1838889,2291
Beltinci,Slovenia,46.6052778,16.2405556,2258
Race,Slovenia,46.4519444,15.6813889,2246
Ormoz,Slovenia,46.4113889,16.1544444,2198
Radenci,Slovenia,46.6472222,16.0441667,2149
Jagodje,Slovenia,45.5322222,13.655,2143
Borovnica,Slovenia,45.9158333,14.3630556,2115
Spodnje Hoce,Slovenia,46.5,15.65,2107
Ig,Slovenia,45.9602778,14.5288889,2078
Pivka,Slovenia,45.6794444,14.1966667,2051
Lovrenc na Pohorju,Slovenia,46.5405556,15.3930556,2003
Limbus,Slovenia,46.5536111,15.5836111,1983
Straza,Slovenia,45.78,15.0727778,1978
Skofljica,Slovenia,45.9833333,14.5766667,1972
Rakek,Slovenia,45.8133333,14.3111111,1966
Vojnik,Slovenia,46.2933333,15.3033333,1964
Mozirje,Slovenia,46.3394444,14.9633333,1957
Sempeter,Slovenia,46.2563889,15.1219444,1901
Store,Slovenia,46.2208333,15.3138889,1872
Spodnja Idrija,Slovenia,46.0319444,14.0272222,1853
Mislinja,Slovenia,46.4411111,15.1955556,1852
Verd,Slovenia,45.9566667,14.3058333,1846
Vnanje Gorice,Slovenia,46.0072222,14.4219444,1837
Rence,Slovenia,45.89,13.6686111,1836
Kromberk,Slovenia,45.9608333,13.6655556,1813
Kranjska Gora,Slovenia,46.4838889,13.7894444,1414
Pesnica pri Mariboru,Slovenia,46.6069444,15.6766667,813
