City,State,Lat,Long,Pop
Madrid,Spain,40.408566,-3.69222,3102644
Barcelona,Spain,41.398371,2.1741,1570378
Valencia,Spain,39.466667,-0.366667,769897
Sevilla,Spain,37.382408,-5.976133,686647
Zaragoza,Spain,41.64531,-0.884861,635509
Málaga,Spain,36.726666,-4.434802,557875
Murcia,Spain,37.987041,-1.130042,410364
Palma,Spain,39.574337,2.655222,378884
Las Palmas,Spain,28.099727,-15.41343,365418
Bilbao,Spain,43.260919,-2.938764,349270
Valladolid,Spain,41.655181,-4.72372,315859
Córdoba,Spain,37.89155,-4.772748,311186
Vigo,Spain,42.232823,-8.722637,286585
Gijón,Spain,43.535731,-5.661519,262573
Granada,Spain,37.178354,-3.599201,248942
A Coruña,Spain,43.366609,-8.406812,236010
Vitoria,Spain,42.85,-2.666667,224774
Badalona,Spain,41.447145,2.244789,222413
Móstoles,Spain,40.320923,-3.862849,212504
Fuenlabrada,Spain,40.284189,-3.794147,202088
Cartagena,Spain,37.605121,-0.986232,201977
Sabadell,Spain,41.54329,2.109423,198589
Oviedo,Spain,43.363223,-5.853128,198250
Alcalá de Henares,Spain,40.482048,-3.359957,195152
Santa Cruz de Tenerife,Spain,28.460238,-16.280616,193852
Leganés,Spain,40.326946,-3.760422,192000
Pamplona,Spain,42.814075,-1.641153,191549
Jerez,Spain,36.686454,-6.136063,189230
Terrassa,Spain,41.561111,2.008056,187770
Santander,Spain,43.464722,-3.804444,185209
Almería,Spain,36.833333,-2.45,181497
Alcorcón,Spain,40.346467,-3.812453,169343
Burgos,Spain,42.350221,-3.675273,168319
Getafe,Spain,40.308423,-3.70596,167550
Salamanca,Spain,40.9681,-5.66202,155175
Albacete,Spain,38.995845,-1.857773,155083
Huelva,Spain,37.271447,-6.949464,145901
Logroño,Spain,42.466667,-2.45,142103
Cadiz,Spain,36.515789,-6.279692,137698
Badajoz,Spain,38.877894,-6.970613,133042
Tarragona,Spain,41.116667,1.25,128391
León,Spain,42.600031,-5.570316,127480
Lleida,Spain,41.616667,0.633333,119320
Jaén,Spain,37.772404,-3.79013,116291
Marbella,Spain,36.510485,-4.885745,115484
Mataró,Spain,41.542113,2.444503,114923
Torrejón de Ardoz,Spain,40.455354,-3.469734,111998
Algeciras,Spain,36.133257,-5.450511,104766
Dos Hermanas,Spain,37.282867,-5.920884,104666
Alcobendas,Spain,40.543933,-3.635688,101860
Reus,Spain,41.155913,1.107423,97508
Telde,Spain,27.992425,-15.419153,95503
Santiago de Compostela,Spain,42.880035,-8.544826,91141
Cáceres,Spain,39.481877,-6.373222,90938
San Fernando,Spain,36.4759,-6.198166,90936
Parla,Spain,40.236045,-3.767524,88983
Cornellá,Spain,41.352784,2.070769,86420
Lorca,Spain,37.671192,-1.701699,85756
Lugo,Spain,43.013813,-7.558543,85450
