Name,State,Latitude,Longitude,Population
Stockholm,Sweden,59.33,18.07,1250400
Goteborg,Sweden,57.72,12.01,510300
Malmo,Sweden,55.61,13.02,258600
Uppsala,Sweden,59.86,17.64,127400
Vasteras,Sweden,59.62,16.54,105700
Orebro,Sweden,59.28,15.22,97700
Linkoping,Sweden,58.41,15.63,96100
Helsingborg,Sweden,56.05,12.7,90400
Jonkoping,Sweden,57.78,14.17,83100
Norrkoping,Sweden,58.6,16.17,82900
Lund,Sweden,55.71,13.2,75800
Umea,Sweden,63.83,20.24,73200
Gavle,Sweden,60.69,17.13,68300
Boras,Sweden,57.73,12.94,62900
Sodertalje,Sweden,59.2,17.63,60200
Eskilstuna,Sweden,59.37,16.51,58600
Taby,Sweden,59.5,18.07,58400
Karlstad,Sweden,59.38,13.51,57300
Halmstad,Sweden,56.67,12.86,55200
Vaxjo,Sweden,56.88,14.8,53100
Sundsvall,Sweden,62.4,17.33,48300
Lulea,Sweden,65.6,22.16,45400
Trollhattan,Sweden,58.29,12.3,44400
Ostersund,Sweden,63.18,14.65,43000
Borlange,Sweden,60.49,15.44,38900
Upplands-vasby,Sweden,59.53,17.92,36600
Tumba,Sweden,59.2,17.81,35600
Falun,Sweden,60.61,15.62,35300
Kalmar,Sweden,56.67,16.36,34400
Skovde,Sweden,58.38,13.84,32600
Karlskrona,Sweden,56.18,15.59,32300
Kristianstad,Sweden,56.03,14.15,32100
Skelleftea,Sweden,64.76,20.99,31100
Lidingo,Sweden,59.37,18.15,30900
Uddevalla,Sweden,58.35,11.93,30200
Motala,Sweden,58.54,15.04,29800
Ornskoldsvik,Sweden,63.3,18.72,27900
Landskrona,Sweden,55.88,12.83,27800
Karlskoga,Sweden,59.33,14.5,27400
Nykoping,Sweden,58.76,17.02,27400
Akersberga,Sweden,59.48,18.31,26400
Vallentuna,Sweden,59.54,18.08,26400
Varberg,Sweden,57.11,12.25,25700
Trelleborg,Sweden,55.38,13.15,25400
Lidkoping,Sweden,58.51,13.16,24600
Marsta,Sweden,59.63,17.84,23000
Alingsas,Sweden,57.93,12.54,22700
Angelholm,Sweden,56.25,12.87,22300
Sandviken,Sweden,60.62,16.77,22300
Pitea,Sweden,65.32,21.51,22100
Visby,Sweden,57.64,18.3,22000
Vanersborg,Sweden,58.37,12.33,21700
Boo,Sweden,59.31,18.14,21500
Katrineholm,Sweden,58.99,16.2,21100
Kungalv,Sweden,57.87,11.99,21000
Vastervik,Sweden,57.76,16.63,20100
Enkoping,Sweden,59.65,17.09,19700
Falkenberg,Sweden,56.9,12.51,18500
Boden,Sweden,65.83,21.7,18400
Kungsbacka,Sweden,57.51,12.1,18300
Karlshamn,Sweden,56.17,14.87,18200
Kiruna,Sweden,67.86,20.22,18100
Varnamo,Sweden,57.18,14.05,17900
Harnosand,Sweden,62.64,17.93,17200
Hassleholm,Sweden,56.16,13.76,17200
Kristinehamn,Sweden,59.32,14.11,17200
Ystad,Sweden,55.44,13.84,17200
Koping,Sweden,59.52,15.99,16800
Norrtalje,Sweden,59.77,18.7,16800
Oskarshamn,Sweden,57.26,16.45,16700
Nassjo,Sweden,57.66,14.7,16100
Eslov,Sweden,55.84,13.3,15800
Lerum,Sweden,57.77,12.28,15800
Falkoping,Sweden,58.17,13.56,15100
Mariestad,Sweden,58.71,13.82,14900
Hudiksvall,Sweden,61.74,17.11,14700
Vasterhaninge,Sweden,59.12,18.08,14500
Molnlycke,Sweden,57.65,12.13,14400
Avesta,Sweden,60.16,16.18,14300
Ljungby,Sweden,56.84,13.94,14300
Kinna,Sweden,57.5,12.65,14200
Staffanstorp,Sweden,55.65,13.2,14100
Tranas,Sweden,58.04,14.97,13900
Ludvika,Sweden,60.14,15.18,13800
Arvika,Sweden,59.67,12.59,13700
Hoganas,Sweden,56.2,12.55,13500
Nynashamn,Sweden,58.91,17.95,13500
Balsta,Sweden,59.59,17.49,13400
Skoghall,Sweden,59.34,13.48,12800
Kumla,Sweden,59.13,15.13,12700
Strangnas,Sweden,59.38,17.02,12400
Bollnas,Sweden,61.35,16.39,12300
Finspang,Sweden,58.71,15.78,12200
Soderhamn,Sweden,61.31,17.08,12200
Vetlanda,Sweden,57.43,15.08,12200
Nybro,Sweden,56.75,15.91,12100
Sala,Sweden,59.93,16.6,12000
Ronneby,Sweden,56.21,15.28,11700
Mjolby,Sweden,58.33,15.13,11600
Lindome,Sweden,57.56,12.09,10800
