Name,State,Latitude,Longitude,Population
Zurich,Switzerland,47.38,8.54,347900
Geneve,Switzerland,46.21,6.14,181200
Basel,Switzerland,47.57,7.58,164700
Bern,Switzerland,46.95,7.44,123300
Lausanne,Switzerland,46.52,6.62,118000
Winterthur,Switzerland,47.51,8.72,91700
Sankt gallen,Switzerland,47.44,9.36,71600
Luzern,Switzerland,47.06,8.3,57800
Biel,Switzerland,47.15,7.24,49700
Thun,Switzerland,46.77,7.62,41200
La chaux-de-fonds,Switzerland,47.11,6.82,37100
Koniz,Switzerland,46.94,7.42,36600
Schaffhausen,Switzerland,47.71,8.62,34200
Fribourg,Switzerland,46.81,7.14,33400
Chur,Switzerland,46.86,9.53,32300
Neuchatel,Switzerland,47.01,6.92,31600
Vernier,Switzerland,46.23,6.06,29900
Uster,Switzerland,47.36,8.71,29400
Sion,Switzerland,46.25,7.35,28100
Emmen,Switzerland,47.09,8.3,27300
Lancy,Switzerland,46.19,6.12,26800
Lugano,Switzerland,46.01,8.94,26300
Kriens,Switzerland,47.03,8.27,25800
Zug,Switzerland,47.18,8.52,24000
Yverdon,Switzerland,46.79,6.63,23800
Montreux,Switzerland,46.45,6.88,23300
Dubendorf,Switzerland,47.4,8.63,23000
Dietikon,Switzerland,47.42,8.39,22400
Frauenfeld,Switzerland,47.56,8.89,22400
Riehen,Switzerland,47.59,7.64,20500
Baar,Switzerland,47.2,8.51,20400
Meyrin,Switzerland,46.23,6.06,19700
Wadenswil,Switzerland,47.24,8.66,19600
Wetzikon,Switzerland,47.33,8.79,19300
Carouge,Switzerland,46.19,6.13,19000
Reinach,Switzerland,47.5,7.58,18700
Allschwil,Switzerland,47.55,7.53,18600
Wettingen,Switzerland,47.47,8.31,18500
Horgen,Switzerland,47.27,8.6,18000
Kloten,Switzerland,47.46,8.58,17700
Renens,Switzerland,46.54,6.58,17700
Jona,Switzerland,47.25,8.85,17600
Gossau,Switzerland,47.43,9.25,17200
Kreuzlingen,Switzerland,47.66,9.17,17200
Wil,Switzerland,47.47,9.03,17100
Bellinzona,Switzerland,46.2,9.02,17000
Muttenz,Switzerland,47.52,7.64,16800
Nyon,Switzerland,46.39,6.21,16800
Onex,Switzerland,46.18,6.09,16800
Olten,Switzerland,47.37,7.9,16700
Baden,Switzerland,47.48,8.31,16600
Pully,Switzerland,46.52,6.64,16500
Littau,Switzerland,47.05,8.25,16400
Thalwil,Switzerland,47.31,8.56,16300
Adliswil,Switzerland,47.32,8.51,16200
Grenchen,Switzerland,47.2,7.39,16200
Vevey,Switzerland,46.47,6.82,16000
Monthey,Switzerland,46.27,6.93,15600
Regensdorf,Switzerland,47.43,8.48,15600
Herisau,Switzerland,47.4,9.28,15500
Illnau-effretikon,Switzerland,47.41,8.73,15500
Aarau,Switzerland,47.4,8.04,15300
Solothurn,Switzerland,47.22,7.54,15300
Ostermundingen,Switzerland,46.95,7.48,15100
Steffisburg,Switzerland,46.79,7.62,15100
Pratteln,Switzerland,47.52,7.67,15000
Burgdorf,Switzerland,47.07,7.62,14900
Binningen,Switzerland,47.54,7.56,14700
Bulach,Switzerland,47.53,8.54,14600
Sierre,Switzerland,46.31,7.51,14600
Volketswil,Switzerland,47.38,8.7,14600
Freienbach,Switzerland,47.21,8.76,14500
Langenthal,Switzerland,47.22,7.78,14500
Martigny,Switzerland,46.11,7.06,14300
Schwyz,Switzerland,47.03,8.62,14300
Locarno,Switzerland,46.18,8.79,14200
Wohlen,Switzerland,47.37,8.28,14000
Morges,Switzerland,46.52,6.49,13900
Schlieren,Switzerland,47.4,8.45,13600
Cham,Switzerland,47.19,8.46,13500
Arbon,Switzerland,47.52,9.42,13200
Einsiedeln,Switzerland,47.12,8.75,13100
Thonex,Switzerland,46.19,6.19,13100
Opfikon,Switzerland,47.44,8.57,13000
Kusnacht,Switzerland,47.33,8.58,12900
Liestal,Switzerland,47.49,7.73,12600
Stafa,Switzerland,47.25,8.72,12600
Wallisellen,Switzerland,47.42,8.58,12500
Muri,Switzerland,46.94,7.48,12400
Horw,Switzerland,47.02,8.3,12300
Zollikon,Switzerland,47.34,8.58,12300
Spiez,Switzerland,46.69,7.67,12200
Uzwil,Switzerland,47.44,9.13,12200
Brig-glis,Switzerland,46.33,7.98,12100
Bulle,Switzerland,46.62,7.04,12100
Munchenstein,Switzerland,47.52,7.61,11900
Meilen,Switzerland,47.35,8.67,11800
Kussnacht,Switzerland,47.09,8.43,11600
Ebikon,Switzerland,47.09,8.34,11500
Versoix,Switzerland,46.29,6.16,11500
Amriswil,Switzerland,47.55,9.29,11400
Delemont,Switzerland,47.37,7.33,11400
Ruti,Switzerland,47.27,8.83,11300
Worb,Switzerland,46.93,7.56,11300
Richterswil,Switzerland,47.21,8.71,11200
Munsingen,Switzerland,46.89,7.56,11000
Lyss,Switzerland,47.08,7.29,10900
Davos,Switzerland,46.81,9.82,10800
Ittigen,Switzerland,46.98,7.49,10800
Prilly,Switzerland,46.54,6.59,10800
Rheinfelden,Switzerland,47.56,7.79,10800
Gland,Switzerland,46.43,6.27,10700
La tour-de-peilz,Switzerland,46.46,6.86,10700
Altstatten,Switzerland,47.39,9.53,10600
Zofingen,Switzerland,47.29,7.95,10600
Birsfelden,Switzerland,47.55,7.61,10500
Affoltern,Switzerland,47.29,8.44,10400
Buchs,Switzerland,47.17,9.46,10400
Ecublens,Switzerland,46.6,6.79,10300
Aesch,Switzerland,47.47,7.6,10200
Le locle,Switzerland,47.08,6.77,10200
Munchenbuchsee,Switzerland,47.02,7.45,10200
Oftringen,Switzerland,47.32,7.91,10200
Spreitenbach,Switzerland,47.42,8.37,10200
Hinwil,Switzerland,47.31,8.84,10100
Neuhausen,Switzerland,47.69,8.62,10100
Arth,Switzerland,47.07,8.51,10000
Pfaffikon,Switzerland,47.38,8.79,10000
Chene-bougeries,Switzerland,46.2,6.18,9900
Flawil,Switzerland,47.42,9.17,9800
Oberwil,Switzerland,47.52,7.55,9800
