SCHOOL NAME,MASCOT,ABBREVIATION,CONFERENCE,PRIMARY HEX COLOR,SECONDARY HEX COLOR,PRESTIGE,HOME STATE,PIPELINE STATES (separated by .);
Benson,Techmen,BEN,Class IV A,FF6633,0,95,OR,OR;
Cleveland,Warriors,CLE,Class IV A,860019,FFFFFF,85,OR,OR;
Franklin,Lightning,FRK,Class IV A,471413,FFFFFF,58,OR,OR;
Grant,Generals,GRN,Class IV A,E90100,0,83,OR,OR;
Wells,Guardians,WLS,Class IV A,00015F,6497CE,51,OR,OR;
Jefferson,Democrats,JEF,Class IV A,CDB579,10101,52,OR,OR;
Lincoln,Cardinals,LIN,Class IV A,2441A2,F21411,81,OR,OR;
McDaniel,Mountain Lions,MCD,Class IV A,FCB61B,70807,40,OR,OR;
Roosevelt,Roughriders,ROO,Class IV A,295135,FFFFFF,88,OR,OR;
Aloha,Warriors,ALO,Class IV A,2244AA,FFFFFF,54,OR,OR;
Beaverton,Beavers,BEA,Class IV A,A7120E,FFFFFF,83,OR,OR;
Jesuit,Crusaders,JESUIT,Class IV A,1A462B,231F20,83,OR,OR;
Mountainside,Mavericks,MTSD,Class IV A,AF0836,B2ACAC,64,OR,OR;
Southridge,Skyhawks,SRDGE,Class IV A,F66701,0,83,OR,OR;
Sunset,Apollos,SUNSET,Class IV A,00013D,ACACAC,53,OR,OR;
Westview,Wildcats,WESTV,Class IV A,1E5D40,B1ABAB,83,OR,OR;
Century,Jaguars,CEN,Class IV AA,D12929,2900AD,64,OR,OR;
Forest Grove,Vikings,FGRO,Class IV AA,FE1C24,0,61,OR,OR;
Glencoe,Crimson Tide,GLEN,Class IV AA,FF1B1B,130D0E,65,OR,OR;
Liberty,Falcons,LIB,Class IV AA,00299E,FFBE00,51,OR,OR;
McMinnville,Grizzlies,MCM,Class IV AA,C82128,FFFFFF,39,OR,OR;
Newberg,Tigers,NEWB,Class IV AA,17468F,FFFFFF,71,OR,OR;
Sherwood,Bowmen,SHER,Class IV AA,2245,C3BA98,26,OR,OR;
Barlow,Bruins,MCHS,Class IV AA,EFB633,292929,79,OR,OR;
Central Catholic,Rams,CCATH,Class IV AA,C32E42,ECC64B,85,OR,OR;
Clackamas,Cavaliers,CLACK,Class IV AA,79B5D9,EFB546,54,OR,OR;
David Douglas,Scots,DDOUG,Class IV AA,163059,FFFFFF,49,OR,OR;
Gresham,Gophers,GRESH,Class IV AA,0000FE,C2B581,53,OR,OR;
Nelson,Hawks,NELS,Class IV AA,FF5500,0,59,OR,OR;
Reynolds,Raiders,REY,Class IV AA,ADDFF8,EE2524,58,OR,OR;
Sandy,Pioneers,SANDY,Class IV AA,13284B,D22030,35,OR,OR;
Lake Oswego,Lakers,LOSW,Class IV AA,FF0033,332B00,80,OR,OR;
Lakeridge,Pacers,LAKER,Class III A,ED1C24,0,40,OR,OR;
Oregon City,Pioneers,ORCTY,Class III A,1B75BC,ED1C24,63,OR,OR;
Tigard,Tigers,TIGAR,Class III A,3366FF,FFFFFF,80,OR,OR;
Tualatin,Timberwolves,TUAL,Class III A,633394,FFCE07,90,OR,OR;
West Linn,Lions,WLINN,Class III A,106FA9,F4AF1F,85,OR,OR;
McNary,Celtics,MCNARY,Class III A,213152,CFD1D2,88,OR,OR;
North Salem,Vikings,NSALEM,Class III A,F36B21,0,66,OR,OR;
South Salem,Saxons,SSALEM,Class III A,E5030E,D3D2D1,24,OR,OR;
Sprague,Olympians,SPRAG,Class III A,7C222F,FFFFFF,57,OR,OR;
West Salem,Titans,WSALEM,Class III A,E34408,0,80,OR,OR;
Grants Pass,Cavemen,GRANTS,Class III A,CF112B,0,20,OR,OR;
North Medford,Black Tornado,NMED,Class III A,2B418C,BA2A34,80,OR,OR;
Roseburg,Indians,ROSEB,Class III A,0C2D82,A78100,22,OR,OR;
