LeagueName,Abbreviation,HostNation,Region,Team Locations,Prestige,Conf#,C1,C2,Div#,D1,D2,D3,D4,D5,D6,D7,D8,ScheduleGames,PlayoffTeams,Round1,Round2,Round3,Round4,Seeding,3pShot,MaxFouls,ShotClock,Quarters,QuarterLength,OtLength,SalaryCap,LuxuryCap,MLE,LLE,ResignLength,FaLength,ResignRaise,FaRaise,WaiverLength,RookieDraft,DraftLottery,ExpansionDraft,ExpansionLottery,DispersalDraft,AllowTrades,TradeDeadline,RevenueSharing,SubLeague,Promotion,CutDiscount
Benedict Basketball Association,BBA,Neloxia,1,0,3,1,,,1,,,,,,,,,62,4,5,5,7,9,0,1,6,21,4,15,2,500000,0,0,0,5,5,20,50,0,1,0,0,0,0,0,122,0,,1,0
CityName,NickName,Abbreviation,Logo,Division,TeamColor,City,State,Marketsize,ArenaName,Capacity,ClubSeats,LuxurySuites,Opened,NewCity,NewState,NewMarketsize,NewArena,NewCapacity,NewSuites,NewClub,Opens,DLG,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Star Pinball,,SSP,npa,1,#000000,Rock Bay,St Benedict,4,Metro Arena,20000,5000,100,1891,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlas Pizza,,ATL,npa,1,#002983,Rock Bay,St Benedict,4,Metro Arena,20000,5000,100,1891,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yummy Churn,,YMI,npa,1,#000000,Rock Bay,St Benedict,4,Metro Arena,20000,5000,100,1891,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IYSS,,IYS,npa,1,#0000FF,Rock Bay,St Benedict,5,Metro Arena,20000,5000,100,1891,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grocerymart,,GRO,npa,1,#FF0000,Rock Bay,St Benedict,4,Metro Arena,20000,5000,100,1891,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pawk Pawk,,PAW,npa,1,#3C6FB8,Rock Bay,St Benedict,5,Metro Arena,20000,5000,100,1891,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Brigade,,FBG,npa,1,#3C6FB8,Rock Bay,St Benedict,5,Metro Arena,20000,5000,100,1891,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hennigan Hotel,,HHT,npa,1,#00447B,Rock Bay,St Benedict,5,Metro Arena,20000,5000,100,1891,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mechanics Union,,MCU,npa,1,#008000,Rock Bay,St Benedict,4,Metro Arena,20000,5000,100,1891,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STEM Academy,,STEM,npa,1,#FF0000,Rock Bay,St Benedict,5,Metro Arena,20000,5000,100,1891,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashley Banc,,ASH,npa,1,#0000A0,Rock Bay,St Benedict,4,Metro Arena,20000,5000,100,1891,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queen City Pharmacy,,QCY,npa,1,#FF0000,Rock Bay,St Benedict,4,Metro Arena,20000,5000,100,1891,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Old Town Road,,OTR,npa,1,#FF0000,Rock Bay,St Benedict,4,Metro Arena,20000,5000,100,1891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taupe Mtn,,TMT,npa,1,#FF0000,Rock Bay,St Benedict,4,Metro Arena,20000,5000,100,1891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Tambourine,,BLE,npa,1,#FF0000,Rock Bay,St Benedict,4,Metro Arena,20000,5000,100,1891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hat & Shoes,,HAT,npa,1,#FF0000,Rock Bay,St Benedict,5,Metro Arena,20000,5000,100,1891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Security Forces,,SEC,npa,1,#FF0000,Rock Bay,St Benedict,4,Metro Arena,20000,5000,100,1891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolphin Bay,Challengers,DBY,npa,1,#FF0000,Rock Bay,St Benedict,5,Metro Arena,20000,5000,100,1891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miss Kim's ,Orphans,MKO,npa,1,#FF0000,Rock Bay,St Benedict,5,Metro Arena,20000,5000,100,1891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bar Casa Siempre,,BCS,npa,1,#FF0000,Rock Bay,St Benedict,5,Metro Arena,20000,5000,100,1891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parish Athletic,,PAR,npa,1,#FF0000,Rock Bay,St Benedict,4,Metro Arena,20000,5000,100,1891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cinema One,,CIN,npa,1,#FF0000,Rock Bay,St Benedict,5,Metro Arena,20000,5000,100,1891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Praise & Worship,,PWP,npa,1,#FF0000,Rock Bay,St Benedict,4,Metro Arena,20000,5000,100,1891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lord's Town,,LRD,npa,1,#FF0000,Rock Bay,St Benedict,4,Metro Arena,20000,5000,100,1891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
