LeagueName,Abbreviation,HostNation,Region,Team Locations,Prestige,Conf#,C1,C2,Div#,D1,D2,D3,D4,D5,D6,ScheduleGames,PlayoffTeams,Round1,Round2,Round3,Round4,3pShot,MaxFouls,ShotClock,Quarters,QuarterLength,OtLength,SalaryCap,LuxuryCap,MLE,LLE,ResignLength,FaLength,ResignRaise,FaRaise,WaiverLength,RookieDraft,DraftLottery,ExpansionDraft,ExpansionLottery,DispersalDraft,AllowTrades,TradeDeadline,RevenueSharing
Bundesliga,BBL,Germany,3,0,4,1,,,1,,,,,,,34,8,5,5,5,5,1,5,24,4,10,5,1250000,2500000,0,0,2,2,20,50,0,0,0,0,0,0,0,122,0
CityName,NickName,Abbreviation,Logo,Division,TeamColor,City,State,Marketsize,ArenaName,Capacity,ClubSeats,LuxurySuites,Opened,NewCity,NewState,NewMarketsize,NewArena,NewCapacity,NewSuites,NewClub,Opens,DLG
Brose Baskets,,BRO,brose,1,#710021,Bamberg,Germany,4,Stechert Arena,6800,0,0,2001,,,1,,0,0,0,0,
Bayreuth,,BAY,bayreuth,1,#3C6FB8,Bayreuth,Germany,5, 	Oberfrankenhalle,4500,0,0,2000,,,1,,0,0,0,0,
Berlin,Albatrosse,BER,berlin,1,#002983,Berlin,Germany,3,O2 World,16000,0,0,2008,,,1,,0,0,0,0,
Bonn,,BON,bonn,1,#000000,Bonn,Germany,4,Telekom Dome,6000,0,0,2008,,,1,,0,0,0,0,
Braunschweig,Phantoms,BRA,braunschweig,1,#000000,Braunschweig,Germany,5,Volkswagen Halle,6600,0,0,2000,,,1,,0,0,0,0,
Bremerhaven,Eisbären,BRE,bremerhaven,1,#00447B,Bremerhaven,Germany,5,Bremerhaven Stadium,5000,0,0,1974,,,1,,0,0,0,0,
Frankfurt,Skyliners,FAN,frankfurt,1,#00447B,Frankfurt,Germany,5,Fraport Arena,5002,0,0,1988,,,1,,0,0,0,0,
Gießen,46ers,GIE,gieben,1,#000000,Gießen,Germany,5,Gießen-Ost Hall,4003,0,0,2006,,,1,,0,0,0,0,
Mitteldeutscher,,MIT,mitteldeutscher,1,#005CA2, 	Weißenfels,Germany,5,Weißenfels Arena,3000,0,0,1999,,,1,,0,0,0,0,
Hagen,Phoenix,HAG,hagen,1,#0000FF,Hagen,Germany,5,Phoenix-Halle,3035,0,0,2007,,,1,,0,0,0,0,
Ludwigsburg,Neckar RIESEN,LUD,ludwigsburg,1,#000000,Ludwigsburg,Germany,5,Arena Ludwigsburg,5325,0,0,2009,,,1,,0,0,0,0,
Bayern Munich,,MUN,munich,1,#FF0000,Munich,Germany,4,Audi Dome,6800,0,0,2011,,,1,,0,0,0,0,
Oldenburg,,OLD,oldenburg,1,#023084,Oldenburg,Germany,5,EWE Arena,4100,0,0,2005,,,1,,0,0,0,0,
Artland,Dragons,ART,artland,1,#000000, 	Quakenbrück,Germany,5,Artland Arena,3000,0,0,1997,,,1,,0,0,0,0,
Trier,,TRI,trier,1,#007227,Trier,Germany,5,Arena Trier,5900,0,0,2003,,,1,,0,0,0,0,
Tübingen,Tigers,TUB,tubingen,1,#000000,Tübingen,Germany,5,Paul Horn Arena,3132,0,0,2007,,,1,,0,0,0,0,
Ulm,Die Spatzen,ULM,ulm,1,#000000,Ulm,Germany,5,Radiopharm Arena,6100,0,0,2011,,,1,,0,0,0,0,
Würzburg Baskets,,WUR,wurzburg,1,#D1003A,Würzburg,Germany,4,s.Oliver Arena,3140,0,0,2011,,,1,,0,0,0,0,
