LeagueName,Abbreviation,HostNation,Region,Team Locations,Prestige,Conf#,C1,C2,Div#,D1,D2,D3,D4,D5,D6,ScheduleGames,PlayoffTeams,Round1,Round2,Round3,Round4,3pShot,MaxFouls,ShotClock,Quarters,QuarterLength,OtLength,SalaryCap,LuxuryCap,MLE,LLE,ResignLength,FaLength,ResignRaise,FaRaise,WaiverLength,RookieDraft,DraftLottery,ExpansionDraft,ExpansionLottery,DispersalDraft,AllowTrades,TradeDeadline,RevenueSharing
Baloncesto Superior Nacional,BSN,Puerto Rico,2,0,4,1,,,1,,,,,,,30,6,7,7,7,7,1,5,24,4,10,5,400000,500000,0,0,2,2,20,50,2,0,0,0,0,0,0,122,0
CityName,NickName,Abbreviation,Logo,Division,TeamColor,City,State,Marketsize,ArenaName,Capacity,ClubSeats,LuxurySuites,Opened,NewCity,NewState,NewMarketsize,NewArena,NewCapacity,NewSuites,NewClub,Opens,DLG
Arecibo,Capitanes,ARE,arecibo,1,#000000,Arecibo,Puerto Rico,5,Coliseo Manuel Iguin,12000,0,0,2007,,,1,,0,0,0,0,
Mayagüez,Indios,MAY,mayaguez,1,#438634,Mayagüez,Puerto Rico,5,Palacio de Recreació,5500,0,0,2010,,,1,,0,0,0,0,
Guayama,Brujos,GUA,guayama,1,#FF0000,Guayama,Puerto Rico,5,Coliseo Ndio Stella,5000,0,0,2001,,,1,,0,0,0,0,
Guaynabo,Mets,GUM,guaynabo,1,#003365,Guaynabo,Puerto Rico,5,Coliseo Morales,5500,0,0,1983,,,1,,0,0,0,0,
Humacao,Caciques,HUM,humacao,1,#D90000,Humacao,Puerto Rico,5,Coliseo Huyke,1500,0,0,1982,,,1,,0,0,0,0,
Bayamón,Vaqueros,BAY,bayamon,1,#0355B9,Bayamón,Puerto Rico,5,Coliseo Rodriguez,12000,0,0,1988,,,1,,0,0,0,0,
Ponce,Leones,PON,ponce,1,#000000,Ponce,Puerto Rico,5,Vicéns Auditorium,12000,0,0,1972,,,1,,0,0,0,0,
Quebradillas,Piratas,QUE,quebradillas,1,#000000,Quebradillas,Puerto Rico,5,Coliseo Dalmau,5500,0,0,2000,,,1,,0,0,0,0,
San Germán,Atléticos,SAG,sangerman,1,#F06227,San Germán,Puerto Rico,5,Coliseo Ramírez,5000,0,0,2010,,,1,,0,0,0,0,
Santurce,Cangrejeros,SAN,santurce,1,#0E1E7B,Santurce,Puerto Rico,5,Coliseo Guaynabo,5500,0,0,1983,,,1,,0,0,0,0,
