City,State,Lat,Long,Pop
Cairo,Egypt,30.8025,31.2357,9500000
Alexandria,Egypt,31.2001,29.9187,5165270
Giza,Egypt,30.0131,31.2089,4239988
Shubra El Kheima,Egypt,30.1238,31.2508,1184605
Port Said,Egypt,31.2653,32.3019,751321
Suez,Egypt,29.9737,32.5263,660000
El Mahalla El Kubra,Egypt,30.9745,31.1669,535280
Luxor,Egypt,25.6872,32.6396,506588
Mansoura,Egypt,31.0364,31.3807,480494
Tanta,Egypt,30.7865,31.0004,421076
Asyut,Egypt,27.1803,31.1893,420585
Ismailia,Egypt,30.6043,32.2654,366502
Faiyum,Egypt,29.3084,30.8428,316772
Zagazig,Egypt,30.5833,31.5167,311003
Damietta,Egypt,31.4165,31.8133,268383
Damanhur,Egypt,31.0376,30.4694,262505
Al-Minya,Egypt,28.1099,30.7503,245222
Beni Suef,Egypt,29.0744,31.0972,235647
Qena,Egypt,26.1615,32.7181,230716
Sohag,Egypt,26.5569,31.6948,200424
Hurghada,Egypt,27.2574,33.8129,183640
6th of October City,Egypt,29.9388,30.9131,175000
Sharm El Sheikh,Egypt,27.9158,34.3292,73000
Marsa Matruh,Egypt,31.3525,27.2453,62021
Banha,Egypt,30.4591,31.1786,167029
