LeagueName,Abbreviation,HostNation,Region,Team Locations,Prestige,Conf#,C1,C2,Div#,D1,D2,D3,D4,D5,D6,ScheduleGames,PlayoffTeams,Round1,Round2,Round3,Round4,3pShot,MaxFouls,ShotClock,Quarters,QuarterLength,OtLength,SalaryCap,LuxuryCap,MLE,LLE,ResignLength,FaLength,ResignRaise,FaRaise,WaiverLength,RookieDraft,DraftLottery,ExpansionDraft,ExpansionLottery,DispersalDraft,AllowTrades,TradeDeadline,RevenueSharing
Iran Pro League,IPL,Iran,5,0,1,1,,,1,,,,,,,48,2,0,0,0,7,1,6,24,2,20,3,325000,0,0,0,2,2,25,50,2,0,0,0,0,0,0,122,0
CityName,NickName,Abbreviation,Logo,Division,TeamColor,City,State,Marketsize,ArenaName,Capacity,ClubSeats,LuxurySuites,Opened,NewCity,NewState,NewMarketsize,NewArena,NewCapacity,NewSuites,NewClub,Opens,DLG,,,,,,,,,,,,,,,,,,,,,,
Tehran,,THE,iran,1,#F20000,Tehran,Iran,3,Peace and Friendship,5000,0,0,1985,,,1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Mashhad,,MAS,iran,1,#008040,Tehran,Iran,2,Olympic Indoor Hall,5000,0,0,1995,,,1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Isfahan,,ISF,iran,1,#0062C4,Tehran,Iran,4,Venetoklio Indoor Ha,5000,0,0,1996,,,1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Tabriz,Copper Kings,TAB,iran,1,#002288,Tehran,Iran,5,Rethymno Indoor Hall,5000,0,0,1998,,,1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Karaj,Alborz Eagles,KAR,iran,1,#262078,Tehran,Iran,4,Glyfada Indoor Hall,5000,0,0,1970,,,1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Shiraz,Poets,SHZ,iran,1,#0000FF,Tehran,Iran,5,Kalamitsa Sports Cen,5000,0,0,1991,,,1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Qom,Cleric Warriors,QOM,iran,1,#000000,Tehran,Iran,4,Alexandrio Melathron,5000,0,0,2004,,,1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Ahvaz,Oil Barons,AHV,iran,1,#000000,Tehran,Iran,3,P.A.O.K. Sports Aren,5000,0,0,2000,,,1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
