LeagueName,Abbreviation,HostNation,Region,Team Locations,Prestige,Conf#,C1,C2,Div#,D1,D2,D3,D4,D5,D6,ScheduleGames,PlayoffTeams,Round1,Round2,Round3,Round4,3pShot,MaxFouls,ShotClock,Quarters,QuarterLength,OtLength,SalaryCap,LuxuryCap,MLE,LLE,ResignLength,FaLength,ResignRaise,FaRaise,WaiverLength,RookieDraft,DraftLottery,ExpansionDraft,ExpansionLottery,DispersalDraft,AllowTrades,TradeDeadline,RevenueSharing
Basketball League of Serbia,KLS,Serbia,3,0,3,1,,,1,,,,,,,26,4,3,5,0,0,1,5,24,4,10,5,2000000,4000000,0,0,2,2,0,0,0,0,0,0,0,0,0,122,0
CityName,NickName,Abbreviation,Logo,Division,TeamColor,City,State,Marketsize,ArenaName,Capacity,ClubSeats,LuxurySuites,Opened,NewCity,NewState,NewMarketsize,NewArena,NewCapacity,NewSuites,NewClub,Opens,DLG
BKK Radnicki,,BKK,radnicki,1,#800000,Belgrade,Serbia,5,SC Šumice,1000,0,0,1974,,,1,,0,0,0,0,
Borac Cacak,,CAC,cacak,1,#E80000,Cacak,Serbia,5,Hala Borca kraj Mor,3000,0,0,1982,,,1,,0,0,0,0,
Red Star Belgrade,,RSB,belgrade,1,#FF0000,Belgrade,Serbia,3,Pionir Hall,8150,0,0,1973,,,1,,0,0,0,0,
Jagodina,,JAG,jagodina,1,#333399,Jagodina,Serbia,5,JASSA Sports Center,2500,0,0,1983,,,1,,0,0,0,0,
Konstantin,,KON,konstantin,1,#DD0000,Nis,Serbia,4,Cair Sports Center,5000,0,0,1974,,,1,,0,0,0,0,
Mega Vizura,,VIZ,vizura,1,#0000A0,Belgrade,Serbia,5,SC Vizura,1500,0,0,2002,,,1,,0,0,0,0,
Metalac Valjevo,,VAL,valjevo,1,#FF0000,Valjevo,Serbia,5,Valjevo Sports Hall,1500,0,0,1972,,,1,,0,0,0,0,
Beograd,,BEO,beograd,1,#0000FF,Belgrade,Serbia,5,SC Šumice,1000,0,0,1974,,,1,,0,0,0,0,
Partizan,,PAR,partizan,1,#000000,Belgrade,Serbia,3,Pionir Hall,8150,0,0,1973,,,1,,0,0,0,0,
Radnicki,,RAD,radnicki,1,#BB0000,Belgrade,Serbia,5,Železnik Hall,1700,0,0,1974,,,1,,0,0,0,0,
Radnicki Kragujevac,,RKR,radnickik,1,#D70000,Kragujevac,Serbia,4,Hala Jezero,5320,0,0,1978,,,1,,0,0,0,0,
Sloboda Uzice,,UZI,uzice,1,#000000, 	Uzice,Serbia,5,Veliki Sports Hall,2200,0,0,1977,,,1,,0,0,0,0,
Sloga,,SLO,sloga,1,#0000A0,Kraljevo,Serbia,5,Kraljevo Sports Hall,1500,0,0,1974,,,1,,0,0,0,0,
Smederevo 1953,,SME,smederevo,1,#0000A0,Smederevo,Serbia,5,Smederevo Sport Hall,3500,0,0,2009,,,1,,0,0,0,0,
Tamiš,,TAM,tamis,1,#A80000, 	Pancevo,Serbia,5, 	SRC Strelište,1000,0,0,1980,,,1,,0,0,0,0,
Vojvodina,,VOJ,vojvodina,1,#D50000,Novi Sad,Serbia,4,SPC Vojvodina,11500,0,0,1981,,,1,,0,0,0,0,
Vršac,,VRS,vrsac,1,#910000,Vršac,Serbia,5,Millennium Center,5000,0,0,2001,,,1,,0,0,0,0,
