LeagueName,Abbreviation,HostNation,Region,Team Locations,Prestige,Conf#,C1,C2,Div#,D1,D2,D3,D4,D5,D6,ScheduleGames,PlayoffTeams,Round1,Round2,Round3,Round4,3pShot,MaxFouls,ShotClock,Quarters,QuarterLength,OtLength,SalaryCap,LuxuryCap,MLE,LLE,ResignLength,FaLength,ResignRaise,FaRaise,WaiverLength,RookieDraft,DraftLottery,ExpansionDraft,ExpansionLottery,DispersalDraft,AllowTrades,TradeDeadline,RevenueSharing
Lithuanian Basketball League,LKL,Lithuania,3,0,3,1,,,1,,,,,,,22,6,3,3,5,0,1,5,24,4,10,5,4000000,7000000,0,0,2,2,20,50,0,0,0,0,0,0,0,122,0
CityName,NickName,Abbreviation,Logo,Division,TeamColor,City,State,Marketsize,ArenaName,Capacity,ClubSeats,LuxurySuites,Opened,NewCity,NewState,NewMarketsize,NewArena,NewCapacity,NewSuites,NewClub,Opens,DLG
Baltai,,BAL,baltai,1,#008000,Kaunas,Lithuania,5,Sabonis BB Centre,600,0,0,1990,,,1,,0,0,0,0,
Juventus,,JUV,juventus,1,#F20000,Utena,Lithuania,5,Utena Arena,2000,0,0,2009,,,1,,0,0,0,0,
Lietuvos rytas,,LIE,lietuvos,1,#000000,Vilnius,Lithuania,3,Lietuvos rytas Arena,1700,0,0,2005,,,1,,0,0,0,0,
Neptunas,,NEP,neptunas,1,#0000A0, 	Klaipeda,Lithuania,5,Švyturio Arena,5486,0,0,2011,,,1,,0,0,0,0,
Nevezis,,NEV,nevezis,1,#00C1C1, 	Kedainiai,Lithuania,5, 	Kedainiai Sports,800,0,0,1987,,,1,,0,0,0,0,
Palanga,,PAL,palanga,1,#2424FF,Palanga,Lithuania,5,Neptunas Sports,1700,0,0,1990,,,1,,0,0,0,0,
Pieno Zvaigzdes,,PIE,pieno,1,#003984,Pasvalys,Lithuania,5,Pasvalys Arena,1200,0,0,2011,,,1,,0,0,0,0,
Prienai,,PRI,prienai,1,#267948,Prienai,Lithuania,5,Prienai Arena,1500,0,0,2011,,,1,,0,0,0,0,
Sakalai,,SAK,sakalai,1,#008040,Vilnius,Lithuania,5,Ekinstos Centre,1000,0,0,1990,,,1,,0,0,0,0,
Šiauliai,,SIA,siauliai,1,#000000,Šiauliai,Lithuania,4,Šiauliai Arena,5700,0,0,2007,,,1,,0,0,0,0,
Lietkabelis,,LIS,lietkabelis,1,#801524, 	Panevezys,Lithuania,5,Cido Arena,5656,0,0,2008,,,1,,0,0,0,0,
Zalgiris,,ZAL,zalgiris,1,#266936,Kaunas,Lithuania,3,Zalgirio Arena,15688,0,0,2011,,,1,,0,0,0,0,
