LeagueName,Abbreviation,HostNation,Region,Team Locations,Prestige,Conf#,C1,C2,Div#,D1,D2,D3,D4,D5,D6,ScheduleGames,PlayoffTeams,Round1,Round2,Round3,Round4,3pShot,MaxFouls,ShotClock,Quarters,QuarterLength,OtLength,SalaryCap,LuxuryCap,MLE,LLE,ResignLength,FaLength,ResignRaise,FaRaise,WaiverLength,RookieDraft,DraftLottery,ExpansionDraft,ExpansionLottery,DispersalDraft,AllowTrades,TradeDeadline,RevenueSharing
Liga Nacional de Básquet,LNB,Argentina,2,0,3,1,LNB,,2,North,South,,,,,32,8,5,5,7,7,1,5,24,4,10,5,3000000,5000000,0,0,2,2,25,50,2,0,0,0,0,0,0,122,0
CityName,NickName,Abbreviation,Logo,Division,TeamColor,City,State,Marketsize,ArenaName,Capacity,ClubSeats,LuxurySuites,Opened,NewCity,NewState,NewMarketsize,NewArena,NewCapacity,NewSuites,NewClub,Opens,DLG
Atenas,,ATE,atenas,1,#528ECA,Cordoba,Argentina,4,Polideportivo Munici,3730,0,0,1985,,,1,,0,0,0,0,
Ciclista Olimpico,,CIC,ciclista,1,#000000,La Banda,Argentina,5,Vincente Rosales,2200,0,0,1989,,,1,,0,0,0,0,
Juventud Sionista,,JUV,juventud,1,#00BFBF,Parana,Argentina,5,Estadio Moisés Flesl,2100,0,0,1996,,,1,,0,0,0,0,
La Unión,,LAU,launion,1,#22B7FF,Formosa,Argentina,4,Estadio Cincuentenar,4500,0,0,2007,,,1,,0,0,0,0,
Libertad,,LIB,libertad,1,#000000,Sunchales,Argentina,4,Hogar de Los Tigres,4200,0,0,2010,,,1,,0,0,0,0,
Quimsa,,QUI,quimsa,1,#000080,Santiago del Estero,Argentina,5,Ciudad de Santiago d,4500,0,0,1993,,,1,,0,0,0,0,
Regatas,,REG,regatas,1,#000000,Corrientes,Argentina,4,Estadio José Jorge C,5000,0,0,2004,,,1,,0,0,0,0,
Union Progresista,,UNI,union,1,#FF0000,Villa Ángela,Argentina,4,Union Progresista,5000,0,0,2000,,,1,,0,0,0,0,
9 de Julio,,JUL,9dejulio,2,#3CB6FF,Río Tercero,Argentina,5,Aniceto Hortal,4500,0,0,2000,,,1,,0,0,0,0,
Argentino de Junín,,ARG,argentino,2,#000080,Junín,Argentina,5,El Fortín de las Mor,4000,0,0,1977,,,1,,0,0,0,0,
Boca Juniors,,BOC,boca,2,#0000FF,Buenos Aires,Argentina,5,Estadio Luis Conde,2000,0,0,1998,,,1,,0,0,0,0,
Gimnasia y Esgrima,,GIM,gimnasia,2,#044D16,Comodoro Rivadavia,Argentina,5,Estadio Socios Funda,2276,0,0,1989,,,1,,0,0,0,0,
Lanús,,LAN,lanus,2,#6A0035,Lanús,Argentina,5,Antonio Rotili,2500,0,0,1998,,,1,,0,0,0,0,
Obras Sanitarias,,OBR,obras,2,#000000,Núñez,Argentina,5,Estadio Obras Sanita,3030,0,0,1978,,,1,,0,0,0,0,
Peñarol,,PEN,penarol,2,#000040,Mar del Plata,Argentina,4,Polideportivo Islas ,6482,0,0,1995,,,1,,0,0,0,0,
Esudiantes,,ESU,esudiantes,2,#0000A0,Bahía Blanca,Argentina,5,Estadio Osvaldo Casa,4000,0,0,1988,,,1,,0,0,0,0,
