LeagueName,Abbreviation,HostNation,Region,Team Locations,Prestige,Conf#,C1,C2,Div#,D1,D2,D3,D4,D5,D6,ScheduleGames,PlayoffTeams,Round1,Round2,Round3,Round4,3pShot,MaxFouls,ShotClock,Quarters,QuarterLength,OtLength,SalaryCap,LuxuryCap,MLE,LLE,ResignLength,FaLength,ResignRaise,FaRaise,WaiverLength,RookieDraft,DraftLottery,ExpansionDraft,ExpansionLottery,DispersalDraft,AllowTrades,TradeDeadline,RevenueSharing
Novo Basquete Brasil,NBB,Brazil,2,0,4,1,,,1,,,,,,,28,10,5,5,5,1,1,5,24,4,10,5,750000,1500000,0,0,2,2,20,20,0,0,0,0,0,0,0,122,0
CityName,NickName,Abbreviation,Logo,Division,TeamColor,City,State,Marketsize,ArenaName,Capacity,ClubSeats,LuxurySuites,Opened,NewCity,NewState,NewMarketsize,NewArena,NewCapacity,NewSuites,NewClub,Opens,DLG
Brasília,,BRA,brasilia,1,#000080,Brasília,Brazil,5,Ginásio da ASCEB,3050,0,0,1978,,,1,,0,0,0,0,
São José,,SAO,saojose,1,#000080,São José,Brazil,5,Lineu de Moura,2620,0,0,1984,,,1,,0,0,0,0,
Pinheiros,,PIN,pinheiros,1,#000080,São Paulo,Brazil,5,Ginásio Poliesportiv,824,0,0,1975,,,1,,0,0,0,0,
Flamengo,,FLA,flamengo,1,#000000,Rio de Janeiro,Brazil,5,Ginásio Álvaro,4500,0,0,2007,,,1,,0,0,0,0,
Uberlândia,,UBE,uberlandia,1,#000080,Uberlândia,Brazil,5,Ginásio Homero,3000,0,0,1981,,,1,,0,0,0,0,
Bauru,,BAU,baurus,1,#000080,Bauru,Brazil,5,Panela de Pressão,3000,0,0,1989,,,1,,0,0,0,0,
Joinville,,JOI,joinville,1,#000000,Joinville,Brazil,5,Ginásio Ivan,3500,0,0,1993,,,1,,0,0,0,0,
Franca,,FRA,franca,1,#0000FF,Franca,Brazil,5, 	Ginásio Pedrocão,6000,0,0,2008,,,1,,0,0,0,0,
Paulistano,,PAU,paulistano,1,#FF0000, 	São Paulo,Brazil,5,Ginásio Antonio,1500,0,0,1975,,,1,,0,0,0,0,
Limeira,,LIM,limeira,1,#0080FF,Limeira,Brazil,5, 	Ginásio Lucato,1800,0,0,1972,,,1,,0,0,0,0,
Liga Sorocabana,,SOR,sorocabana,1,#002B6A,Sorocabe,Brazil,5,Gualberto Moreira,2000,0,0,1980,,,1,,0,0,0,0,
Tijuca,,TIJ,tijuca,1,#D90000,Rio de Janeiro,Brazil,5,Ginásio Álvaro,4500,0,0,1978,,,1,,0,0,0,0,
Minas,,MIN,minas,1,#174882,Belo Horizonte,Brazil,5,Arena Vivo,3600,0,0,2007,,,1,,0,0,0,0,
Vila Velha,,VIL,vilavelha,1,#000000,Vila Velha,Brazil,5,Ginásio Municipal,3500,0,0,1994,,,1,,0,0,0,0,
Basquete Cearense,,CEA,cearense,1,#9F0000,Fortaleza,Brazil,5, 	Ginásio Paulo,9000,0,0,1971,,,1,,0,0,0,0,
Mogi das Cruzes,,MOG,mogidascruzes,1,#000080,Mogi das Cruzes,Brazil,5, 	Ginásio Municipal,3000,0,0,1976,,,1,,0,0,0,0,
Palmeiras,,PAL,palmeiras,1,#006536,São Paulo,Brazil,5,Ginásio Palestra,1500,0,0,1974,,,1,,0,0,0,0,
Suzano Campestre,,SUZ,suzano,1,#E10000,Suzano,Brazil,5,G.M.E. Portella,1500,0,0,2002,,,1,,0,0,0,0,
