LeagueName,Abbreviation,HostNation,Region,Team Locations,Prestige,Conf#,C1,C2,Div#,D1,D2,D3,D4,D5,D6,D7,D8,ScheduleGames,PlayoffTeams,Round1,Round2,Round3,Round4,Seeding,3pShot,MaxFouls,ShotClock,Quarters,QuarterLength,OtLength,SalaryCap,LuxuryCap,MLE,LLE,ResignLength,FaLength,ResignRaise,FaRaise,WaiverLength,RookieDraft,DraftLottery,ExpansionDraft,ExpansionLottery,DispersalDraft,AllowTrades,TradeDeadline,RevenueSharing,SubLeague,Promotion,CutDiscount
Channel 3 Conference Basketball,C3C,Neloxia,6,0,4,1,,,1,,,,,,,,,50,4,9,9,9,9,0,1,6,23,4,15,5,19027772,0,19027772,0,2,2,20,50,0,0,0,0,0,0,0,122,0,,0,0
CityName,NickName,Abbreviation,Logo,Division,TeamColor,City,State,Marketsize,ArenaName,Capacity,ClubSeats,LuxurySuites,Opened,NewCity,NewState,NewMarketsize,NewArena,NewCapacity,NewSuites,NewClub,Opens,DLG
Hellsbath United,,HEL,npa,1,#00447B,East Hellsbath,Neloxia,5,Metro Arena,20000,5000,100,1891,,,,,0,0,0,0,
Swenton Town,,SWT,npa,1,#005CA2,Swenton,Neloxia,4,Metro Arena,20000,5000,100,1891,,,,,0,0,0,0,
Prima Alzate,,PRZ,npa,1,#000000,Alzate,Neloxia,4,Metro Arena,20000,5000,100,1891,,,,,0,0,0,0,
Shipwreck,,SHP,npa,1,#000000,Shipwreck,Neloxia,4,Metro Arena,20000,5000,100,1891,,,,,0,0,0,0,
City Hall A.C.,,CTY,npa,1,#8080C0,South Alzate,Neloxia,5,Metro Arena,20000,5000,100,1891,,,,,0,0,0,0,
Anthracite Taxi,,TAX,npa,1,#DAC758,Stannard,Neloxia,5,Metro Arena,20000,5000,100,1891,,,,,0,0,0,0,
Wheatbridge United,,WTB,npa,1,#FF0000,Banville,Neloxia,4,Metro Arena,20000,5000,100,1891,,,,,0,0,0,0,
Holdsworth City,,HLD,npa,1,#FF0000,Cassius,Neloxia,4,Metro Arena,20000,5000,100,1891,,,,,0,0,0,0,
Kesilwick Town,,KWK,npa,1,#002983,Kesilwick,Neloxia,3,Metro Arena,20000,5000,100,1891,,,,,0,0,0,0,
Shipwreck,,SHP,npa,1,#000000,Shipwreck,Neloxia,4,Metro Arena,20000,5000,100,1891,,,,,0,0,0,0,
Downham & Bradfield Railway,Men of Iron,MEN,npa,1,#000000,Springhedge,Neloxia,5,Metro Arena,20000,5000,100,1891,,,,,0,0,0,0,
Charles City,,CHR,npa,1,#00447B,Charles City,Neloxia,5,Metro Arena,20000,5000,100,1891,,,,,0,0,0,0,
Northwick United,,NWK,npa,1,#000000,Northwick,Neloxia,5,Metro Arena,20000,5000,100,1891,,,,,0,0,0,0,
Varsity Professional,,VAR,npa,1,#005CA2,Northchester,Neloxia,5,Metro Arena,20000,5000,100,1891,,,,,0,0,0,0,
FCI,,FCI,npa,1,#0000FF,South Alzate,Neloxia,5,Metro Arena,20000,5000,100,1891,,,,,0,0,0,0,
Sporting Mapouras,,SMP,npa,1,#8080C0,Mapouras,Neloxia,5,Metro Arena,20000,5000,100,1891,,,,,0,0,0,0,
Reginald City,,REG,npa,1,#FF0000,Reginald City,Neloxia,4,Metro Arena,20000,5000,100,1891,,,,,0,0,0,0,
Swanston,,SWV,npa,1,#000000,Swanston,Neloxia,5,Metro Arena,20000,5000,100,1891,,,,,0,0,0,0,
Academy,,ACD,npa,1,#3F3F3F,Plainfield,Neloxia,4,Metro Arena,20000,5000,100,1891,,,,,0,0,0,0,
