LeagueName,Abbreviation,HostNation,Region,Team Locations,Prestige,Conf#,C1,C2,Div#,D1,D2,D3,D4,D5,D6,ScheduleGames,PlayoffTeams,Round1,Round2,Round3,Round4,3pShot,MaxFouls,ShotClock,Quarters,QuarterLength,OtLength,SalaryCap,LuxuryCap,MLE,LLE,ResignLength,FaLength,ResignRaise,FaRaise,WaiverLength,RookieDraft,DraftLottery,ExpansionDraft,ExpansionLottery,DispersalDraft,AllowTrades,TradeDeadline,RevenueSharing
Russian Professional Basketball League,PBL,Russia,3,0,3,1,,,1,,,,,,,18,4,3,3,5,5,1,5,24,4,10,5,4000000,7000000,0,0,2,2,20,50,2,0,0,0,0,0,0,122,0
CityName,NickName,Abbreviation,Logo,Division,TeamColor,City,State,Marketsize,ArenaName,Capacity,ClubSeats,LuxurySuites,Opened,NewCity,NewState,NewMarketsize,NewArena,NewCapacity,NewSuites,NewClub,Opens,DLG
CSKA Moscow,,CSK,cska,1,#DF1D04,Moscow,Russia,3,CSKA Universal Sport,5500,0,0,1979,,,1,,0,0,0,0,
UNICS Kazan,,UNI,unics,1,#336600,Kazan,Russia,5,Basket Hall Arena,7500,0,0,2003,,,1,,0,0,0,0,
Khimki,,KHI,khimki,1,#0000FF,Khimki,Russia,5,Basketball Center,6000,0,0,1996,,,1,,0,0,0,0,
Lokomotiv Kuban,,KUB,lokomotiv,1,#FF0000,Krasnodar,Russia,5,Basket Hall,7500,0,0,2003,,,1,,0,0,0,0,
Spartak Saint Petersburg,,STP,spartak,1,#FF0000,Saint Petersburg,Russia,5,Yubileyny Sports Pal,7700,0,0,1967,,,1,,0,0,0,0,
Nizhny Novgorod,,NIZ,nizhny,1,#000000,Nizhny Novgorod,Russia,5,Novgorod Palace,5000,0,0,1993,,,1,,0,0,0,0,
Enisey,,ENI,enisey,1,#0000FF,Krasnoyarsk,Russia,5,Ivan Yarygin Sports ,4100,0,0,1981,,,1,,0,0,0,0,
Triumph Lyubertsy,,LYU,lyubertsy,1,#002369,Lyubertsy,Russia,4,SH Triumph,10000,0,0,1994,,,1,,0,0,0,0,
Krasnye Krylia,,KRA,krasnye,1,#B22222,Samara,Russia,5,MTL Arena,3000,0,0,1995,,,1,,0,0,0,0,
Spartak Primorye,,PRI,primorye,1,#FF0000,Vladivostok,Russia,5,SK Olimpiets,1250,0,0,1981,,,1,,0,0,0,0,
