LeagueName,Abbreviation,HostNation,Region,Team Locations,Prestige,Conf#,C1,C2,Div#,D1,D2,D3,D4,D5,D6,ScheduleGames,PlayoffTeams,Round1,Round2,Round3,Round4,3pShot,MaxFouls,ShotClock,Quarters,QuarterLength,OtLength,SalaryCap,LuxuryCap,MLE,LLE,ResignLength,FaLength,ResignRaise,FaRaise,WaiverLength,RookieDraft,DraftLottery,ExpansionDraft,ExpansionLottery,DispersalDraft,AllowTrades,TradeDeadline,RevenueSharing
Ligue Nationale de Basket,PROA,France,3,0,2,1,,,1,,,,,,,30,8,3,3,5,5,1,5,24,4,10,5,5000000,9000000,0,0,2,2,25,50,2,0,0,0,0,0,0,122,0
CityName,NickName,Abbreviation,Logo,Division,TeamColor,City,State,Marketsize,ArenaName,Capacity,ClubSeats,LuxurySuites,Opened,NewCity,NewState,NewMarketsize,NewArena,NewCapacity,NewSuites,NewClub,Opens,DLG
ASVEL,,ASV,asvel,1,#00FF00,Villeurbanne,France,5,L'Astroballe,5800,0,0,2002,,,1,,0,0,0,0,
BCM,,BCM,bcm,1,#0000A0,Gravelines,France,5,Sportica,3500,0,0,1989,,,1,,0,0,0,0,
Boulazac,,BBD,boulazac,1,#0000FF,Boulazac,France,4,Le Palio,5200,0,0,1996,,,1,,0,0,0,0,
Cholet,,CHO,cholet,1,#D91833,Cholet,France,3,La Meilleraie,5191,0,0,2007,,,1,,0,0,0,0,
Chorale Roanne,,CHR,chorale,1,#0000FF,Roanne,France,3,Halle André Vacheres,5000,0,0,2010,,,1,,0,0,0,0,
Élan Sportif Chalonnais,,ESC,elan,1,#FF0000,Chalon-sur-Saône,France,4,Le Colisée,5000,0,0,1993,,,1,,0,0,0,0,
JDA Dijon,,JDA,jda,1,#000000,Dijon,France,5,Palais des Sports Di,4628,0,0,2004,,,1,,0,0,0,0,
JSF Nanterre,,JSF,jsf,1,#008000,Nanterre,France,5,Palais des Sports Th,1499,0,0,1994,,,1,,0,0,0,0,
Le Mans Sarthe,,LEM,lemans,1,#400080,Le Mans,France,4,Antarès,6003,0,0,1995,,,1,,0,0,0,0,
Limoges CSP,,LIM,limoges,1,#008000,Limoges,France,4,Beaublanc,6500,0,0,1981,,,1,,0,0,0,0,
Entente Orléanaise,,ENT,entente,1,#000000,Orléans,France,5,Palais des Sports Or,3222,0,0,1998,,,1,,0,0,0,0,
Paris-Levallois,,PAR,paris,1,#0080FF,Paris,France,4,Stade Pierre-de-Coub,4835,0,0,1946,,,1,,0,0,0,0,
Poitiers Basket 86,,P86,pb86,1,#0000FF,Poitiers,France,5,Saint Eloi,2700,0,0,1998,,,1,,0,0,0,0,
SLUC Nancy,,SLN,sluc,1,#FF0000,Nancy,France,4,Palais des Sports Je,6027,0,0,1987,,,1,,0,0,0,0,
STB Le Havre,,STB,stb,1,#FF0000,Le Havre,France,5,Dock Océane,3598,0,0,1995,,,1,,0,0,0,0,
Strasbourg,,STR,strasbourg,1,#FF0000,Strasbourg,France,4,Rhenus Sport,6200,0,0,1977,,,1,,0,0,0,0,
