LeagueName,Abbreviation,HostNation,Region,Team Locations,Prestige,Conf#,C1,C2,Div#,D1,D2,D3,D4,D5,D6,ScheduleGames,PlayoffTeams,Round1,Round2,Round3,Round4,3pShot,MaxFouls,ShotClock,Quarters,QuarterLength,OtLength,SalaryCap,LuxuryCap,MLE,LLE,ResignLength,FaLength,ResignRaise,FaRaise,WaiverLength,RookieDraft,DraftLottery,ExpansionDraft,ExpansionLottery,DispersalDraft,AllowTrades,TradeDeadline,RevenueSharing
Ukraine Basketball League,UBL,Ukraine,3,0,1,1,,,1,,,,,,,48,2,0,0,0,7,1,6,24,2,20,3,325000,0,0,0,2,2,25,50,2,0,0,0,0,0,0,122,0
CityName,NickName,Abbreviation,Logo,Division,TeamColor,City,State,Marketsize,ArenaName,Capacity,ClubSeats,LuxurySuites,Opened,NewCity,NewState,NewMarketsize,NewArena,NewCapacity,NewSuites,NewClub,Opens,DLG,,,,,,,,,,,,,,,,,,,,,,
Kyiv,Golden Domes,KYV,ukraine,1,#F20000,Kyiv,Ukraine,3,Peace and Friendship,5000,0,0,1985,,,1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Kharkiv,Miners,KHA,ukraine,1,#008040,Kyiv,Ukraine,2,Olympic Indoor Hall,5000,0,0,1995,,,1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Dnipro,,DNI,ukraine,1,#0062C4,Kyiv,Ukraine,4,Venetoklio Indoor Ha,5000,0,0,1996,,,1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Odesa,,ODE,ukraine,1,#002288,Kyiv,Ukraine,5,Rethymno Indoor Hall,5000,0,0,1998,,,1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Lviv,Lionhearts,LVI,ukraine,1,#262078,Kyiv,Ukraine,4,Glyfada Indoor Hall,5000,0,0,1970,,,1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Zaporizhzia,Cossacks,ZAP,ukraine,1,#0000FF,Kyiv,Ukraine,5,Kalamitsa Sports Cen,5000,0,0,1991,,,1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Kryvyi Rhi,Iron Bloomers,KVR,ukraine,1,#000000,Kyiv,Ukraine,4,Alexandrio Melathron,5000,0,0,2004,,,1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Suez Canal,Titans,SUZ,ukraine,1,#000000,Kyiv,Ukraine,3,P.A.O.K. Sports Aren,5000,0,0,2000,,,1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Mykolaiv,Shipbuildders,MYK,ukraine,1,#008040,Kyiv,Ukraine,5,Drama Indoor Hall,5000,0,0,1994,,,1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Fayoum,Oasis Lions,FAY,ukraine,1,#000040,Kyiv,Ukraine,4,Glyfada Indoor Hall,5000,0,0,1970,,,1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
