SCHOOL NAME, MASCOT, ABBREVIATION, CONFERENCE, PRIMARY HEX COLOR, SECONDARY HEX COLOR, PRESTIGE, HOME STATE, PIPELINE STATES (separated by .);
Bellows Free Academy, Bears, BCB, Division I,FF2D00, 000000, 70, VT, VT;
Brattleboro, Cougars, CADC, Division I,FF4242, FFFFFF, 65, VT, VT;
Burlington, Chargers, DNY, Division I,FF0000, FFFFFF, 80, VT, VT;
Burr & Burton Academy, Golden Falcons, PROV, Division I,4DFF00, F7FF00, 60, VT, VT;
Champlain Valley Union, Lightning, GBL, Division I,0000FF, D48E13, 65, VT, VT;
Colchester, Tigers, HFT, Division I,00EBFA, 000000, 35, VT, VT;
Essex, Highlanders, NJIT, Division I,FF0000, 0000FF, 60, VT, VT;
Mt Anthony Union, Warriors, NYCK, Division I,B20101, 002EA0, 50, VT, VT;
Mt. Mansfield Union, Rams, PHILL, Division I,DB5F5F, FFFFFF, 55, VT, VT;
Rice Memorial, Eagles, POST, Division I,8943CF, E5AF11, 40, VT, VT;
Rutland Senior, Devils, UOSD, Division I,B03737, FFFFFF, 35, VT, VT;
Shenendehowa (NY), Lions, GCL, Division I,2690D5, D5CD26, 50, VT, VT;
South Burlington, Yellowjackets, AIY, Division I,FFF400, 000000, 40, VT, VT;
St. Johnsbury Academy, Greyhounds, ASUMP, Division I,000887, B9B9B9, 43, VT, VT;
Pope Benedict XVI, Falcons, BFU, Division I,9D2235, 000000, 70, VT, VT;
Baptist, Bulldogs, BBB, Division I,A58720, 000000, 35, VT, VT;
Fair Haven Union, Ravens, AUR, Division II, 000000, FFAA00, 50, VT, VT;
Fall Mountain (NH), Bulldogs, BBBB, Division II, 00B2FF, FFFFFF, 58, VT, VT;
Granville Central (NY), Crusaders, BAC, Division II, FF0000, D5D5D5, 75, VT, VT;
Hartford, Cobras, CCC, Division II, FBFF00, 00F3FF, 35, VT, VT;
Harwood Union, Flying Fleet, EFF, Division II, 00F3FF, FFFFFF, 30, VT, VT;
Lake Region Union, Bobcats, LMCB, Division II, 4DA900, FFFC3A, 57, VT, VT;
Lamoille Union, Saints, LSU, Division II, 000B97, 848DFF, 32, VT, VT;
Lyndon Institute, Trojans, MOT, Division II, 256600, 000000, 60, VT, VT;
Middlebury Union, Eagles, PFFE, Division II, F8D132, 000000, 63, VT, VT;
Milton, Royals, QUE, Division II, 001775, DCD42E, 60, VT, VT;
Missiquoi Valley Union, Knights, SAPK, Division II, 000D61, FFFFFF, 65, VT, VT;
Montpelier, Wolves, CWU, Division II, 00E8FF, FFFFFF, 25, VT, VT;
Mt. Abraham Union, Warriors, ESW, Division II, FF0000, 979090, 70, VT, VT;
North Country Union, Golden Bears, KGB, Division II, 730E0E, 8D834C, 65, VT, VT;
Otter Valley Union, Mountaineers, MAM, Division II, A52820, 5A5A5A, 45, VT, VT;
Spaulding, Marauders, MIM, Division II, 000000, B2A818, 60, VT, VT;
Springfield, Fighting Bulldogs, FSFB, Division 3,FF0000, CFCA24, 85, VT, VT;
St. Patrick Academy, Lakers, GVSU, Division 3,2391DE, FFFFFF, 87, VT, VT;
Union 32, Sailors, LSSS, Division 3,3FBFFF, FFF300, 70, VT, VT;
Bellows Falls Union, Huskies, MTH, Division 3,FFF300, 000000, 75, VT, VT;
Bellows Fairfax, Wildcats, NMUW, Division 3,337A2D, FFF300, 70, VT, VT;
Enosburg, Timberwolves, NWT, Division 3,000E65, 006DFF, 70, VT, VT;
Green Mountain, Cardinals, SVSU, Division 3,DE2424, 1100A2, 69, VT, VT;
Hadley-Luzerne (NY), Purple Eagles, ASHU, Division 3,6800B0, D4CB16, 70, VT, VT;
Hazen Union, Oilers, FUO, Division 3,FF9E00, 000000, 90, VT, VT;
Leland & Gray Union, Golden Knights, GUGK, Division 3,801919, C1BE17, 65, VT, VT;
